年份,外商及港澳台商投资工业企业应交所得税,煤炭开采和洗选业外商及港澳台商投资工业企业应交所得税,石油和天然气开采业外商及港澳台商投资工业企业应交所得税,黑色金属矿采选业外商及港澳台商投资工业企业应交所得税,有色金属矿采选业外商及港澳台商投资工业企业应交所得税,非金属矿采选业外商及港澳台商投资工业企业应交所得税,其他采矿业外商及港澳台商投资工业企业应交所得税,农副食品加工业外商及港澳台商投资工业企业应交所得税,食品制造业外商及港澳台商投资工业企业应交所得税,饮料制造业外商及港澳台商投资工业企业应交所得税,烟草制品业外商及港澳台商投资工业企业应交所得税,纺织业外商及港澳台商投资工业企业应交所得税,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应交所得税,家具制造业外商及港澳台商投资工业企业应交所得税,造纸及纸制品业外商及港澳台商投资工业企业应交所得税,印刷业和记录媒介的复制外商及港澳台商投资工业企业应交所得税,文教体育用品制造业外商及港澳台商投资工业企业应交所得税,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应交所得税,化学原料及化学制品制造业外商及港澳台商投资工业企业应交所得税,医药制造业外商及港澳台商投资工业企业应交所得税,化学纤维制造业外商及港澳台商投资工业企业应交所得税,橡胶制品业外商及港澳台商投资工业企业应交所得税,塑料制品业外商及港澳台商投资工业企业应交所得税,非金属矿物制品业外商及港澳台商投资工业企业应交所得税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,金属制品业外商及港澳台商投资工业企业应交所得税,通用设备制造业外商及港澳台商投资工业企业应交所得税,专用设备制造业外商及港澳台商投资工业企业应交所得税,交通运输设备制造业外商及港澳台商投资工业企业应交所得税,电气机械及器材制造业外商及港澳台商投资工业企业应交所得税,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应交所得税,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应交所得税,工艺品及其他制造业外商及港澳台商投资工业企业应交所得税,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应交所得税,电力、热力的生产和供应业外商及港澳台商投资工业企业应交所得税,燃气生产和供应业外商及港澳台商投资工业企业应交所得税,水的生产和供应业外商及港澳台商投资工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2317.04975,34.04311,102.35808,3.1955,6.22257,2.02941,,57.50592,68.27358,50.64116,0.30148,49.24987,44.99818,39.91794,5.91195,12.09342,28.98127,17.387,11.16332,19.03789,212.34421,68.12753,18.53418,15.17775,37.93868,65.58764,41.24359,35.72712,54.54832,134.14858,81.41777,484.58181,129.7837,246.94992,41.25566,17.93704,2.44703,45.22253,21.87026,8.89478
2010,2002.06787,29.78146,96.1366,1.97648,3.65782,1.71765,,52.15374,50.98483,42.16724,0.19121,42.7348,36.89328,28.70652,4.53996,10.31457,27.23687,15.26215,8.32778,28.38543,161.73179,60.98778,14.64743,16.47571,39.65652,51.40097,40.59229,25.92367,44.88724,117.46825,78.3926,412.14266,133.36836,202.56526,36.24629,14.62233,2.23335,48.02505,13.61914,5.91279
2009,1326.92231,15.08612,44.17603,1.1657,3.99457,1.46326,,33.5415,39.7377,33.45683,0.11448,29.2522,29.49642,19.43609,3.72716,7.33633,27.49898,12.67866,5.37754,17.33022,97.66141,50.17587,7.46918,15.78338,28.40753,30.80652,31.31566,28.93026,30.89157,74.91739,45.93542,222.84794,92.16735,149.71845,26.06469,10.80062,1.1267,44.50808,9.33003,3.19447
2008,1055.85079,12.14556,65.38767,1.40928,3.31166,1.29272,,33.01,32.44274,26.96825,0.15084,21.77655,21.61715,14.097,3.11297,5.54049,15.4545,11.11131,4.89601,-9.36594,77.21134,39.39722,5.35791,7.43229,22.41846,25.60744,30.5236,21.35972,28.99605,67.91428,38.69543,121.21364,79.56403,155.22206,24.10971,9.06591,0.5985,25.0419,6.65949,5.10305
