年份,艺术表演团体国内演出农村观众人次,国有艺术表演团体国内演出农村观众人次,集体艺术表演团体国内演出农村观众人次,其他艺术表演团体国内演出农村观众人次,中央艺术表演团体国内演出农村观众人次,省、区、市艺术表演团体国内演出农村观众人次,地、市艺术表演团体国内演出农村观众人次,县、市及以下艺术表演团体国内演出农村观众人次,执行事业会计制度的艺术表演团体国内演出农村观众人次,执行企业会计制度的艺术表演团体国内演出农村观众人次,文化部门艺术表演团体国内演出农村观众人次,其他部门艺术表演团体国内演出农村观众人次,话剧、儿童剧、滑稽剧团国内演出农村观众人次,歌剧、舞剧、歌舞剧团国内演出农村观众人次,歌舞团、轻音乐团国内演出农村观众人次,乐团、合唱团国内演出农村观众人次,文工团、文宣队、乌兰牧骑国内演出农村观众人次,戏曲剧团国内演出农村观众人次,京剧剧团国内演出农村观众人次,曲艺、杂技、木偶、皮影团国内演出农村观众人次,综合性艺术表演团体国内演出农村观众人次
2019,768030,169200,21250,577590,230,11880,40200,715720,153930,614110,206640,561390,,,,,,,,,
2018,778980,181990,22530,574460,330,13100,41430,724120,163110,615860,220270,558710,,,,,,,,,
2017,829563.87,185292.88,21091.75,623179.24,173.52,12133.06,42249.32,775007.97,167537.73,662026.14,223209.95,606353.92,,,,,,,,,
2016,620521.14,182176.71,21983.62,416360.8,524.78,12037.47,44514.85,563444.05,167632.56,452888.58,221572.89,398948.24,,,,,,,,,
2015,584536.88,184751.01,22001.37,377784.5,506.8,16960.53,47535.67,519533.9,170535.89,414000.99,222451.88,362084.99,,,,,,,,,
2014,558626.66,181341.81,21900.04,355384.81,752.76,14591.43,50672.82,492609.65,169858.44,388768.22,220726.44,337900.21,,,,,,,,,
2013,529734.37,190682.57,25959.82,313091.96,866.3,18259.52,50769.78,459838.77,183586.79,346147.58,230945.1,298789.27,,,,,,,,,
2012,521024.34,258311.95,27014.58,235697.79,122.8,16815.71,63525.36,440560.49,202470.57,318553.77,229295.87,291728.45,11519.88,11157.6,40845.95,1056.08,17220.88,344759.75,10734.11,46086.06,48378.17
2011,439235.22,241328.73,33188.77,164717.72,1258.51,25138.31,63247.99,349590.41,261200,178035.22,269667.73,169567.49,3262.72,8844.2,41941.64,1456.06,19675.38,294274.39,9412.77,15744.03,54036.81
2010,563676,267716,48699,247261,1039,32710,62134,467793,,,320777,242899,4306.0,10719.0,45864.0,1254.0,24413.0,354438.0,10889.0,47103.0,75579.0
2009,515891,247114,57395,211382,637,20417,67503,427334,,,301907,213984,2863.0,7326.0,45391.0,285.0,22335.0,355604.0,10911.0,44871.0,37216.0
2008,416580,241199,61020,114361,2618,19473,65942,328547,,,290558,126022,16330.0,5467.0,33024.0,262.0,23995.0,261370.0,6563.0,32965.0,43167.0
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
