年份,艺术表演团体机构数,国有艺术表演团体机构数,集体艺术表演团体机构数,其他艺术表演团体机构数,中央艺术表演团体机构数,省、区、市艺术表演团体机构数,地、市艺术表演团体机构数,县、市及以下艺术表演团体机构数,执行事业会计制度的艺术表演团体机构数,执行企业会计制度的艺术表演团体机构数,文化部门艺术表演团体机构数,其他部门艺术表演团体机构数,话剧、儿童剧、滑稽剧团数,歌剧、舞剧、歌舞剧团数,歌舞团、轻音乐团数,乐团、合唱团数,文工团、文宣队、乌兰牧骑数,戏曲剧团数,京剧剧团数,曲艺、杂技、木偶、皮影团数,综合性艺术表演团体数
2019,17795,1693,173,15929,16,213,499,17067,1513,16282,2052,15743,,,,,,,,,
2018,17123,1721,173,15229,16,214,510,16383,1541,15582,2078,15045,,,,,,,,,
2017,15742,1711,172,13859,16,214,506,15006,1544,14198,2074,13668,,,,,,,,,
2016,12301,1662,176,10463,16,191,496,11598,1534,10767,2031,10270,,,,,,,,,
2015,10787,1669,181,8937,17,187,503,10080,1563,9224,2037,8750,,,,,,,,,
2014,8769,1675,184,6910,18,191,505,8055,1581,7188,2053,6716,,,,,,,,,
2013,8180,1752,185,6243,20,190,505,7465,1601,6579,2067,6113,,,,,,,,,
2012,7321,2399,209,4713,17,223,755,6326,1819,5502,2128,5193,432.0,250.0,1283.0,122.0,308.0,2250.0,114.0,1002.0,1674.0
2011,7055,2213,291,4551,17,249,755,6034,2285,4770,2416,4639,103.0,187.0,1387.0,97.0,340.0,2417.0,109.0,1154.0,1370.0
2010,6864,2247,374,4243,16,258,765,5825,,,2597,4267,109.0,266.0,1232.0,97.0,351.0,2451.0,108.0,1125.0,1233.0
2009,6139,,,,,,,,,,,,89.0,190.0,1137.0,58.0,344.0,2333.0,109.0,1117.0,871.0
2008,5114,,,,,,,,,,,,293.0,156.0,743.0,39.0,452.0,1914.0,90.0,906.0,611.0
2007,4512,,,,,,,,,,,,242.0,164.0,729.0,49.0,320.0,1917.0,116.0,529.0,562.0
2006,2866,,,,,,,,,,,,143.0,109.0,380.0,34.0,330.0,1505.0,93.0,194.0,171.0
2005,2805,,,,,,,,,,,,118.0,97.0,345.0,37.0,351.0,1531.0,109.0,189.0,137.0
2004,2759,,,,,,,,,,,,140.0,92.0,347.0,28.0,313.0,1544.0,110.0,173.0,122.0
2003,2601,,,,,,,,,,,,88.0,104.0,361.0,32.0,361.0,1466.0,104.0,189.0,
2002,2587,,,,,,,,,,,,87.0,109.0,343.0,15.0,383.0,1472.0,111.0,178.0,
2001,2605,,,,,,,,,,,,98.0,112.0,323.0,16.0,385.0,1483.0,109.0,188.0,
2000,2619,,,,,,,,,,,,86.0,79.0,289.0,17.0,419.0,1520.0,109.0,209.0,
