年份,艺术表演团体到农村演出场次,国有艺术表演团体到农村演出场次,集体艺术表演团体到农村演出场次,其他艺术表演团体到农村演出场次,中央艺术表演团体到农村演出场次,省、区、市艺术表演团体到农村演出场次,地、市艺术表演团体到农村演出场次,县、市及以下艺术表演团体到农村演出场次,执行事业会计制度的艺术表演团体到农村演出场次,执行企业会计制度的艺术表演团体到农村演出场次,文化部门艺术表演团体到农村演出场次,其他部门艺术表演团体到农村演出场次,话剧、儿童剧、滑稽剧团到农村演出场次,歌剧、舞剧、歌舞剧团到农村演出场次,歌舞团、轻音乐团到农村演出场次,乐团、合唱团到农村演出场次,文工团、文宣队、乌兰牧骑到农村演出场次,戏曲剧团到农村演出场次,京剧剧团到农村演出场次,曲艺、杂技、木偶、皮影团到农村演出场次,综合性艺术表演团体到农村演出场次
2019,171.3,20.5,3.2,147.5,,1.9,4.4,165,19.4,151.9,25.6,145.7,,,,,,,,,
2018,178.8,21.6,3.3,154.0,,2.3,4.6,171.9,20.0,158.8,26.5,152.3,,,,,,,,,
2017,184.309,21.205,2.696,160.408,0.014,2.006,4.2,178.088,19.284,165.025,25.701,158.607,,,,,,,,,
2016,151.597,19.778,2.733,129.084,0.072,1.764,4.121,145.641,18.517,133.08,24.517,127.08,,,,,,,,,
2015,139.079,19.577,3.144,116.357,0.005,2.087,4.45,132.536,18.813,120.266,24.475,114.605,,,,,,,,,
2014,114.037,18.276,3.365,92.397,0.013,1.626,5.011,107.388,18.044,95.993,23.545,90.492,,,,,,,,,
2013,105.073,18.159,3.483,83.432,0.066,1.728,4.651,98.63,18.238,86.835,23.669,81.405,,,,,,,,,
2012,81.155,24.601,3.961,52.594,0.007,1.576,5.498,74.075,19.701,61.454,22.901,58.254,2.452,1.193,7.919,0.266,2.099,38.911,1.475,18.66,9.656
2011,100.671,21.527,4.878,74.267,0.078,1.975,5.152,93.468,24.523,76.148,25.924,74.747,0.387,0.991,7.791,0.223,2.247,71.539,1.207,4.94,12.553
2010,84.671,20.663,4.971,59.037,0.072,1.884,4.739,77.977,,,26.052,58.619,0.338,1.309,6.746,0.186,2.366,37.418,1.145,22.662,13.647
2009,74.059,19.782,6.537,47.74,0.078,1.519,5.353,67.109,,,26.211,47.848,0.261,0.844,7.597,0.074,2.268,35.881,1.11,22.009,5.127
2008,47.222,21.806,6.244,19.172,0.057,1.504,5.617,40.044,,,25.804,21.418,1.943,0.524,2.843,0.103,3.561,24.882,0.497,8.643,4.723
2007,50.29,19.086,8.334,,,,,,,,,,1.277,0.714,3.798,0.01,2.188,29.398,1.4,5.443,7.46
2006,29.0,17.0,7.1,,,,,,,,,,0.3,0.3,1.7,,2.2,19.8,0.3,1.3,3.4
2005,26.9,15.9,7.1,,,,,,,,,,0.1,0.4,1.2,,2.4,20.3,0.8,1.8,0.7
2004,23.48,15.5,7.09,,,,,,,,,,0.62,0.32,1.24,,1.82,16.7,0.37,1.95,
2003,21.5,13.2,12.0,,,,,,,,,,,,0.1,,0.19,15.7,,0.21,
2002,23.9,14.5,9.3,,,,,,,,,,0.2,0.6,1.2,,2.1,17.8,0.4,2.0,
2001,24.3,14.4,9.8,,,,,,,,,,0.2,0.7,1.3,,2.2,17.4,0.4,2.4,
2000,26.0,14.0,11.0,,,,,,,,,,,0.3,0.9,,2.1,18.3,0.3,2.9,
