年份,艺术表演团体财政拨款收入,国有艺术表演团体财政拨款收入,集体艺术表演团体财政拨款收入,其他艺术表演团体财政拨款收入,中央艺术表演团体财政拨款收入,省、区、市艺术表演团体财政拨款收入,地、市艺术表演团体财政拨款收入,县、市及以下艺术表演团体财政拨款收入,执行事业会计制度的艺术表演团体财政拨款收入,执行企业会计制度的艺术表演团体财政拨款收入,文化部门艺术表演团体财政拨款收入,其他部门艺术表演团体财政拨款收入,话剧、儿童剧、滑稽剧团财政拨款收入,歌剧、舞剧、歌舞剧团财政拨款收入,歌舞团、轻音乐团财政拨款收入,乐团、合唱团财政拨款收入,文工团、文宣队、乌兰牧骑财政拨款收入,戏曲剧团财政拨款收入,京剧剧团财政拨款收入,曲艺、杂技、木偶、皮影团财政拨款收入,综合性艺术表演团体财政拨款收入
2019,1845693,1525193,50416,270084,156133,548225,563368,577967,1384687,461005,1635543,210149,,,,,,,,,
2018,1584115,1390983,46974,146158,129941,553995,542368,357811,1237422,346692,1476686,107428,,,,,,,,,
2017,1483422.9,1275529.7,41243.6,166649.6,113469.9,537830.1,507867.5,324255.4,1130630.5,352792.4,1383058.8,100364.1,,,,,,,,,
2016,1375305.3,1163626.7,38338.5,173340.1,121658.5,502631.6,456313.7,294701.5,1055626.7,319678.6,1287537.8,87767.5,,,,,,,,,
2015,1281042.3,1097353.6,34083.1,149605.6,93247.6,502478.4,432787.2,252529.1,985955.3,295087,1224100.5,56941.8,,,,,,,,,
2014,1195913.8,977288.8,30863,187762,92807.9,463004.8,363465.3,276635.8,882596.1,313317.7,1065331.5,130582.3,,,,,,,,,
2013,1393811,884140,29121,480550,83423,396524,349633,564231,797247,596564,984108,409703,,,,,,,,,
2012,1140718.2,904304.8,29126.9,207286.5,35383.2,426870.5,343059.6,335404.8,827049.8,313668.4,934748.7,205969.4,118868.5,90134.3,182205.8,43563.4,41678.0,421361.0,79606.9,74328.3,168579.0
2011,897100.9,830147.5,25663.3,41290.1,57689.3,343058.6,319414.6,176938.4,803483.7,93617.2,844048,53052.9,65496.3,88736.8,161769.6,44781.4,46251.1,341446.0,73613.8,48595.8,100023.9
2010,710484.8,666673.2,21832.5,21979.1,40551.8,275845.5,255964.4,138123.1,,,679175.1,31309.7,54263.9,70791.8,136514.1,29874.6,41184.7,278484.3,64108.9,48367.6,51003.8
2009,650144.4,607647.5,31663.8,10833.1,34933.7,243896.5,238793.3,132520.9,,,636247,13897.4,62871.5,69104.6,123495.3,23716.3,31281.0,251781.9,56455.1,46417.0,41476.8
2008,573623,539612,29386,4625,34768,216850,224416,97589,,,,,55028.0,60754.0,97568.0,21025.0,23391.0,241939.0,66653.0,40988.0,32930.0
2007,487841.7,455185.5,26931,,,,,,,,,,52919.3,55126.8,84438.1,17092.8,19855.5,198458.4,48817.3,33458.5,26492.3
2006,399919.6,367249.8,20983.1,,,,,,,,,,35368.2,44282.2,69110.6,22202.0,15906.5,158780.7,36946.2,31467.1,22802.3
2005,354766,330779,20541,,,,,,,,,,32069.0,32216.0,61383.0,13798.0,18822.0,148835.0,36184.0,26905.0,20738.0
2004,324536,294544,18097,,,,,,,,,,34761.0,33913.0,55373.0,13575.0,16525.0,134717.0,32278.0,24079.0,
2003,269639.9,249143,19503,,,,,,,,,,23530.0,29089.0,50345.0,11869.0,12947.0,118564.0,25338.0,23297.0,
2002,246661,228137,17735,,,,,,,,,,21185.0,24444.0,45209.0,8795.0,13515.0,113185.0,25801.0,20327.0,
2001,209118,192053,16491,,,,,,,,,,18338.0,21903.8,37119.0,6311.0,11216.0,97462.0,23144.7,16767.6,
2000,172864,157263,15590,,,,,,,,,,14395.0,15125.0,32146.0,5556.0,10799.0,81457.0,17542.0,13386.0,
