年份,艺术表演团体演出场次,国有艺术表演团体演出场次,集体艺术表演团体演出场次,其他艺术表演团体演出场次,中央艺术表演团体演出场次,省、区、市艺术表演团体演出场次,地、市艺术表演团体演出场次,县、市及以下艺术表演团体演出场次,执行事业会计制度的艺术表演团体演出场次,执行企业会计制度的艺术表演团体演出场次,文化部门艺术表演团体演出场次,其他部门艺术表演团体演出场次,话剧、儿童剧、滑稽剧团演出场次,歌剧、舞剧、歌舞剧团演出场次,歌舞团、轻音乐团演出场次,乐团、合唱团演出场次,文工团、文宣队、乌兰牧骑演出场次,戏曲剧团演出场次,京剧剧团演出场次,曲艺、杂技、木偶、皮影团演出场次,综合性艺术表演团体演出场次
2019,296.8,32,4.5,260.3,0.3,6,9.9,280.6,28.7,268.1,40.5,256.3,,,,,,,,,
2018,312.46,33,4.5,275.0,0.7,6,9.9,295.8,29.2,283.3,40.9,271.6,,,,,,,,,
2017,293.579,32.299,4.627,256.654,0.322,5.84,10.19,277.227,28.591,264.988,40.646,252.933,,,,,,,,,
2016,230.6,29.968,4.529,196.103,0.322,5.859,9.56,214.859,27.596,203.004,38.93,191.669,,,,,,,,,
2015,210.776,29.737,4.736,176.303,0.326,6.128,9.55,194.772,27.768,183.008,38.646,172.129,,,,,,,,,
2014,173.912,30.154,5.013,138.744,0.376,6.209,10.042,157.285,28.841,145.071,39.573,134.339,,,,,,,,,
2013,165.105,29.634,5.812,129.661,0.338,6.432,9.605,148.73,29.208,135.897,39.806,125.3,,,,,,,,,
2012,135.018,42.347,5.753,86.918,0.284,6.988,14.674,113.071,32.487,102.531,40.181,94.837,6.198,3.441,17.469,1.013,3.497,49.158,2.269,30.769,23.472
2011,154.72,37.57,7.779,109.37,0.422,6.33,14.441,133.525,40.585,114.134,43.771,110.947,1.742,2.786,18.231,0.781,3.956,83.755,2.068,16.135,27.335
2010,137.149,38.19,7.545,91.414,0.385,6.361,15.715,114.687,,,46.004,91.145,1.524,3.975,16.197,0.675,4.2,47.691,2.056,38.916,23.972
2009,120.11,35.306,9.349,75.455,0.281,5.359,14.919,99.55,,,44.886,75.224,1.263,2.761,19.838,0.564,3.917,45.386,2.071,35.539,10.854
2008,90.525,39.669,9.624,41.232,0.278,5.364,14.568,70.315,,,42.729,47.796,4.286,1.695,8.991,0.356,4.918,32.368,1.335,27.344,10.567
2007,92.2,34.094,11.943,,,,,,,,,,3.031,1.869,8.96,0.26,3.575,37.697,2.282,26.703,10.1
2006,49.0,31,9.9,,,,,,,,,,1.5,1.5,5.1,,3.9,26.4,1.0,7.0,3.6
2005,45.9,29.9,10.7,,,,,,,,,,0.9,1.4,4.0,0.2,4.0,25.9,1.3,8.0,1.5
2004,42.5,29.4,11.33,,,,,,,,,,1.98,1.27,3.78,0.2,3.17,22.31,1.07,7.97,
2003,38.5,25.9,12.2,,,,,,,,,,0.13,0.13,0.3,0.1,0.3,21.6,0.1,0.69,
2002,41.6,28.4,13.0,,,,,,,,,,1.6,1.5,3.8,0.1,3.6,23.9,1.3,7.0,
2001,42.3,28.2,13.9,,,,,,,,,,1.6,1.6,4.3,,3.8,23.3,1.2,7.6,
2000,43.0,28,15.0,,,,,,,,,,0.8,0.8,3.5,,4.0,23.8,1.0,6.7,
