年份,艺术表演团体从业人数,国有艺术表演团体从业人数,集体艺术表演团体从业人数,其他艺术表演团体从业人数,中央艺术表演团体从业人数,省、区、市艺术表演团体从业人数,地、市艺术表演团体从业人数,县、市及以下艺术表演团体从业人数,执行事业会计制度的艺术表演团体从业人数,执行企业会计制度的艺术表演团体从业人数,文化部门艺术表演团体从业人数,其他部门艺术表演团体从业人数,话剧、儿童剧、滑稽剧团从业人数,歌剧、舞剧、歌舞剧团从业人数,歌舞团、轻音乐团从业人数,乐团、合唱团从业人数,文工团、文宣队、乌兰牧骑从业人数,戏曲剧团从业人数,京剧剧团从业人数,曲艺、杂技、木偶、皮影团从业人数,综合性艺术表演团体从业人数
2019,412541,99134,5548,307859,4953,30440,37856,339292,79655,332886,113764,298777,,,,,,,,,
2018,416374,99953,5673,310748,4798,29622,38241,343713,80963,335411,114401,301973,,,,,,,,,
2017,402969,100294,5760,296915,4899,29574,38421,330075,82286,320683,115593,287376,,,,,,,,,
2016,332920,97648,6076,229196,4967,29831,37769,260353,82075,250845,115235,217685,,,,,,,,,
2015,301878,97704,6282,197892,5117,29662,37966,229133,83589,218289,115404,186474,,,,,,,,,
2014,262887,97899,6629,158359,5291,29120,38346,190130,84179,178708,115292,147595,,,,,,,,,
2013,260865,99035,6633,155197,5313,28985,39501,187066,86470,174395,117004,143861,,,,,,,,,
2012,242047,123311,7392,111344,3367,31613,48816,158251,98199,143848,120048,121999,14495.0,13589.0,40276.0,7178.0,8854.0,92528.0,7378.0,20942.0,44185.0
2011,226599,127046,9823,89730,5463,33333,48563,139240,125105,101494,132375,94224,7200.0,13091.0,39590.0,7231.0,10433.0,94003.0,8067.0,22034.0,33017.0
2010,220653,128099,13016,79538,5060,31376,49025,135192,,,135940,84713,6726.0,13316.0,37597.0,7323.0,11411.0,95293.0,7933.0,21805.0,27182.0
2009,208174,,,,,,,,,,,,6341.0,12723.0,38005.0,6049.0,10831.0,92387.0,8139.0,21501.0,20337.0
2008,184678,,,,,,,,,,,,12248.0,11441.0,29260.0,2764.0,10773.0,82205.0,7383.0,18116.0,17871.0
2007,185413,,,,,,,,,,,,11596.0,12458.0,32927.0,2710.0,9604.0,84713.0,8471.0,14375.0,17030.0
2006,144167,,,,,,,,,,,,8485.0,11096.0,21931.0,2503.0,10068.0,71459.0,7490.0,9664.0,8961.0
2005,141678,,,,,,,,,,,,8383.0,9671.0,21585.0,2425.0,10206.0,72525.0,7981.0,9218.0,7665.0
2004,142081,,,,,,,,,,,,9596.0,10916.0,21666.0,2290.0,9335.0,73529.0,8044.0,8845.0,5904.0
2003,137059,,,,,,,,,,,,6831.0,11576.0,22468.0,2276.0,10186.0,74283.0,8689.0,9439.0,
2002,137459,,,,,,,,,,,,7271.0,11056.0,22592.0,1702.0,10685.0,75169.0,9263.0,8984.0,
2001,138200,,,,,,,,,,,,7623.0,11035.0,21754.0,1656.0,10878.0,75653.0,9347.0,9601.0,
2000,141440,,,,,,,,,,,,7160.0,9038.0,22025.0,1793.0,12335.0,79120.0,9583.0,9969.0,
