年份,艺术表演团体国内演出场次,国有艺术表演团体国内演出场次,集体艺术表演团体国内演出场次,其他艺术表演团体国内演出场次,中央艺术表演团体国内演出场次,省、区、市艺术表演团体国内演出场次,地、市艺术表演团体国内演出场次,县、市及以下艺术表演团体国内演出场次,执行事业会计制度的艺术表演团体国内演出场次,执行企业会计制度的艺术表演团体国内演出场次,文化部门艺术表演团体国内演出场次,其他部门艺术表演团体国内演出场次,话剧、儿童剧、滑稽剧团国内演出场次,歌剧、舞剧、歌舞剧团国内演出场次,歌舞团、轻音乐团国内演出场次,乐团、合唱团国内演出场次,文工团、文宣队、乌兰牧骑国内演出场次,戏曲剧团国内演出场次,京剧剧团国内演出场次,曲艺、杂技、木偶、皮影团国内演出场次,综合性艺术表演团体国内演出场次
2019,2956.2,311,45,2601,3,57,95,2801,279,2677,393,2563,,,,,,,,,
2018,3108.5,316,45,2747,3,57,95,2953,281,2828,393,2715,,,,,,,,,
2017,2921.5,311.45,45.55,2564.52,2.84,55.63,95.88,2767.16,277.88,2643.62,392.61,2528.89,,,,,,,,,
2016,2290.33,287.62,44.7,1958,2.89,53.7,90.81,2142.93,266.48,2023.85,374.28,1916.05,,,,,,,,,
2015,2092.73,285.56,46.94,1760.24,3.08,57.67,90.59,1941.39,268.84,1823.89,371.91,1720.82,,,,,,,,,
2014,1710.84,278.01,48.91,1383.91,3.52,57.85,92.73,1556.75,266.62,1444.22,367.75,1343.09,,,,,,,,,
2013,1628.1,277.89,56.22,1294.01,3.2,59.46,89.99,1475.45,277.13,1350.97,375.68,1252.44,,,,,,,,,
2012,1249.81,392.33,57.16,800.32,2.63,64.38,135.31,1047.51,308.71,941.1,378.47,871.33,54.47,32.54,162.32,8.67,32.75,479.42,21.83,278.55,201.12
2011,1465.93,351.68,76.42,1037.84,4.02,58.52,134.45,1268.94,385.24,1080.69,414.52,1051.41,16.77,24.42,159.98,7.41,37.3,816.49,19.55,146.98,256.59
2010,1277.82,354.36,72.92,850.54,3.64,56.42,141.61,1076.15,,,428.17,849.65,14.76,28.46,145.15,6.52,38.88,460.35,19.19,370.01,213.7
2009,1126.35,332.97,90.55,702.82,3.05,48.73,138.18,936.39,,,421.86,704.49,12.0,22.93,171.82,5.64,36.65,434.54,19.59,342.32,100.47
2008,851.93,373.3,92.45,386.18,3.43,47.63,130.84,670.03,,,402.14,449.79,39.01,16.16,75.88,2.53,48.04,320.47,11.92,256.03,93.81
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
