省份编码,省份,年份,人口数(人口抽样调查)(人),男性人口数(人口抽样调查)(人),女性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在本乡、镇、街道人口数(人口抽样调查)(人),住本乡、镇、街道，户口在本乡、镇、街道男性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上人口数(人口抽样调查)(人),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上女性人口数(人口抽样调查)(人),住本乡、镇、街道，户口待定人口数(人口抽样调查)(人),住本乡、镇、街道，户口待定男性人口数(人口抽样调查)(人),住本乡、镇、街道，户口待定女性人口数(人口抽样调查)(人),居住在港澳台或国外，户口在本乡、镇、街道人口数(人口抽样调查)(人),居住在港澳台或国外，户口在本乡、镇、街道男性人口数(人口抽样调查)(人),居住在港澳台或国外，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)
110000,北京市,2019,16666,8398,8269,7898,4076,3822,8594,4243,4351,36,18,18,138,61,77
110000,北京市,2018,17673,8781,8892,8395,4154,4241,9116,4555,4561,26,14,13,135,58,78
110000,北京市,2017,17801,9017,8784,8834,4489,4344,8795,4446,4349,51,27,24,122,55,67
110000,北京市,2016,18132,9324,8808,9455,4880,4575,8541,4373,4168,46,31,15,90,40,50
110000,北京市,2015,335775,175460,160315,152756,77840,74916,180600,96515,84086,963,464,499,1456,641,814
110000,北京市,2014,17757,8977,8780,7080,3585,3494,10588,5348,5240,42,22,20,48,22,26
110000,北京市,2013,17454,9047,8407,8139,4349,3790,9206,4644,4562,74,38,36,34,16,18
110000,北京市,2012,17266,8851,8415,8483,4389,4094,8648,4399,4248,94,45,49,42,18,24
110000,北京市,2011,17246,8796,8450,7396,3755,3641,9765,5000,4764,48,24,24,37,16,21
110000,北京市,2010,,,,,,,,,,,,,,,
110000,北京市,2009,15096,7705,7390,8167,4128,4039,6868,3542,3326,60,36,24,,,
110000,北京市,2008,14813,7530,7284,8337,4248,4089,,,,48,27,21,,,
110000,北京市,2007,14554,7243,7311,8559,4270,4289,,,,72,39,33,,,
110000,北京市,2006,14294,7046,7248,8828,4341,4486,,,,46,21,25,,,
110000,北京市,2005,203582,103122,100461,127395,64088,63307,75285,38568,36718,843,436,407,58,30,28
110000,北京市,2004,14213,7280,6933,9902,4998,4904,,,,51,21,31,,,
110000,北京市,2003,14070,7242,6827,9659,4884,4776,,,,48,24,23,,,
110000,北京市,2002,13723,7259,6464,9515,4752,4764,,,,56,31,25,,,
110000,北京市,2001,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,
120000,天津市,2019,12095,6675,5419,8054,4094,3959,4007,2563,1444,13,6,7,21,12,9
120000,天津市,2018,12794,6863,5931,8563,4363,4199,4160,2473,1687,57,18,38,15,9,6
120000,天津市,2017,12778,6725,6053,8560,4368,4191,4181,2342,1840,26,9,16,11,5,6
120000,天津市,2016,13046,6961,6085,8877,4475,4402,4149,2477,1671,12,6,6,8,3,6
120000,天津市,2015,239370,130778,108592,150928,76116,74813,87774,54297,33477,471,275,195,198,90,107
120000,天津市,2014,12517,6269,6248,9528,4808,4720,2961,1449,1512,16,7,9,13,6,7
120000,天津市,2013,12150,6040,6109,9242,4607,4635,2881,1420,1461,14,7,7,13,7,6
120000,天津市,2012,11791,5854,5937,8929,4482,4447,2825,1352,1473,26,15,11,12,6,6
120000,天津市,2011,11577,5754,5822,8557,4201,4356,2970,1532,1438,36,15,22,14,7,7
120000,天津市,2010,,,,,,,,,,,,,,,
120000,天津市,2009,10473,5298,5175,9176,4585,4591,1286,708,579,11,5,6,,,
120000,天津市,2008,10114,4986,5129,9466,4683,4783,,,,5,2,3,,,
120000,天津市,2007,9896,4956,4940,8542,4253,4289,,,,4,2,2,,,
120000,天津市,2006,9694,4768,4926,8129,3998,4131,,,,22,12,11,,,
120000,天津市,2005,138060,69308,68752,109521,54925,54597,28075,14134,13941,455,244,210,9,5,4
120000,天津市,2004,9868,4894,4975,8533,4239,4294,,,,29,13,16,,,
120000,天津市,2003,9956,4914,5043,8623,4281,4342,,,,34,14,20,,,
120000,天津市,2002,9961,4948,5013,8644,4304,4340,,,,30,15,15,,,
120000,天津市,2001,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,
130000,河北省,2019,59087,30160,28927,51733,26471,25261,7258,3637,3621,78,36,42,19,16,3
130000,河北省,2018,61907,31210,30697,54545,27924,26621,7226,3220,4006,123,56,67,13,10,3
130000,河北省,2017,62086,31523,30563,55460,28511,26950,6275,2841,3434,330,159,171,21,12,9
130000,河北省,2016,62750,32082,30668,55837,28693,27144,6352,3102,3250,544,276,268,17,12,6
130000,河北省,2015,1155542,583919,571624,1002236,509558,492678,149875,72519,77357,3047,1555,1492,384,287,97
130000,河北省,2014,60936,31198,29738,55075,28407,26668,5612,2662,2950,232,116,116,17,13,4
130000,河北省,2013,60517,31069,29449,54572,28175,26397,5621,2741,2880,308,146,162,16,7,9
130000,河北省,2012,60806,31087,29719,55622,28647,26975,4834,2247,2586,343,186,157,7,7,
130000,河北省,2011,61861,32083,29778,54680,27956,26725,6612,3832,2781,547,279,268,22,17,5
130000,河北省,2010,,,,,,,,,,,,,,,
130000,河北省,2009,62243,31671,30572,58375,29821,28553,3518,1666,1852,351,184,167,,,
130000,河北省,2008,62981,32103,30879,59692,30405,29286,,,,150,78,72,,,
130000,河北省,2007,63501,32330,31171,60310,30849,29461,,,,274,117,157,,,
130000,河北省,2006,63675,32179,31495,60036,30409,29627,,,,257,129,129,,,
130000,河北省,2005,906856,455500,451355,841012,422905,418107,63485,31554,31930,2336,1026,1310,23,15,8
130000,河北省,2004,66078,33769,32309,61848,31612,30236,,,,221,123,98,,,
130000,河北省,2003,66569,33965,32604,62672,32010,30661,,,,196,114,81,,,
130000,河北省,2002,66463,33751,32712,62715,31872,30843,,,,179,79,100,,,
130000,河北省,2001,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,
140000,山西省,2019,29012,14672,14339,23448,11926,11522,5461,2695,2766,76,37,39,26,14,13
140000,山西省,2018,30481,15593,14888,23867,12177,11690,6500,3356,3144,108,57,51,6,2,4
140000,山西省,2017,30550,15887,14664,24546,12696,11850,5837,3104,2733,165,83,82,3,3,
140000,山西省,2016,30910,15909,15002,25804,13372,12431,4993,2479,2514,112,56,55,2,1,1
140000,山西省,2015,569491,295031,274461,453454,231849,221605,114244,62267,51977,1731,881,850,62,34,28
140000,山西省,2014,30107,15298,14809,24307,12611,11696,5663,2614,3049,129,68,61,7,5,2
140000,山西省,2013,29957,15381,14576,23635,12157,11478,6181,3148,3033,139,74,64,3,2,1
140000,山西省,2012,30128,15393,14736,24603,12583,12020,5358,2711,2647,165,98,67,2,1,2
140000,山西省,2011,30698,15718,14980,25890,13291,12599,4629,2337,2292,174,88,86,4,2,2
140000,山西省,2010,,,,,,,,,,,,,,,
140000,山西省,2009,30378,15503,14875,28100,14389,13711,2044,1001,1042,234,112,121,,,
140000,山西省,2008,30779,15611,15167,28576,14522,14053,,,,163,89,74,,,
140000,山西省,2007,31069,15829,15240,28691,14655,14036,,,,169,94,74,,,
140000,山西省,2006,31182,15766,15416,28314,14414,13899,,,,209,93,116,,,
140000,山西省,2005,444096,225294,218802,404399,205474,198925,37431,18669,18763,2266,1152,1114,1,,1
140000,山西省,2004,32352,16604,15748,29572,15244,14329,,,,217,104,112,,,
140000,山西省,2003,32558,16677,15881,29276,14973,14303,,,,324,166,158,,,
140000,山西省,2002,32455,16711,15744,29146,15004,14142,,,,287,134,154,,,
140000,山西省,2001,,,,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,19744,10191,9553,13129,6764,6365,6552,3393,3159,50,27,23,12,7,5
150000,内蒙古自治区,2018,20781,10608,10174,14519,7410,7110,6199,3167,3032,52,25,27,11,7,5
150000,内蒙古自治区,2017,20849,10465,10384,14525,7411,7114,6204,2997,3207,114,54,61,5,4,2
150000,内蒙古自治区,2016,21136,10675,10461,14779,7614,7165,6286,3025,3261,66,33,34,5,3,2
150000,内蒙古自治区,2015,390222,199239,190983,274080,139971,134109,114930,58678,56252,1130,549,582,81,41,40
150000,内蒙古自治区,2014,20671,10533,10138,14611,7525,7086,5976,2964,3013,82,42,39,3,2,1
150000,内蒙古自治区,2013,20613,10699,9914,14904,7753,7151,5611,2892,2719,92,48,43,7,5,2
150000,内蒙古自治区,2012,20775,10613,10162,14184,7319,6864,6486,3235,3251,97,54,43,9,5,4
150000,内蒙古自治区,2011,21203,10540,10663,14391,7338,7053,6690,3139,3552,110,58,52,12,6,6
150000,内蒙古自治区,2010,,,,,,,,,,,,,,,
150000,内蒙古自治区,2009,21499,11012,10487,18880,9700,9181,2548,1276,1272,71,36,34,,,
150000,内蒙古自治区,2008,21816,11185,10631,18932,9730,9202,,,,74,39,35,,,
150000,内蒙古自治区,2007,22066,11201,10865,19276,9835,9441,,,,101,57,44,,,
150000,内蒙古自治区,2006,22180,11310,10870,19461,9997,9464,,,,93,38,56,,,
150000,内蒙古自治区,2005,315884,161560,154324,255807,130741,125066,57961,29780,28180,2105,1031,1074,12,7,4
150000,内蒙古自治区,2004,23233,11941,11292,20141,10306,9834,,,,148,83,66,,,
150000,内蒙古自治区,2003,23510,12006,11505,20666,10615,10050,,,,201,99,103,,,
150000,内蒙古自治区,2002,23586,12128,11458,20441,10549,9893,,,,202,103,99,,,
150000,内蒙古自治区,2001,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,,,,
210000,辽宁省,2019,33800,16960,16840,25954,13130,12824,7712,3769,3943,28,14,14,106,47,60
210000,辽宁省,2018,35744,17905,17839,28159,14315,13845,7356,3465,3891,32,17,15,196,108,88
210000,辽宁省,2017,35969,17996,17973,29527,15016,14511,6184,2851,3334,82,39,43,176,90,86
