年份,县市级群众文化机构数,县市级群众文化机构从业人员,县市级群众文化机构组织文艺活动,县市级群众文化机构参加文艺活动人次,县市级群众文化机构举办训练班班次,县市级群众文化机构参加培训人次,县市级群众文化机构举办展览,县市级群众文化机构参观展览人次,县市级群众文化机构组织各类理论研讨和讲座次数,县市级群众文化机构参加研讨和讲座人次,县市级群众文化机构藏书,县市级群众文化机构拥有计算机台数,县市级群众文化机构收入,县市级群众文化机构总支出,县市级群众文化机构馆办文艺团体数,县市级群众文化机构馆办文艺团体演出场次,县市级群众文化机构馆办老年大学数,县市级群众业余文艺团体数
2019,2936,41629,269000,23356,264000,1441,27000,4052,31806,480,,54000,89.3,883000,6805,161000,671,81000
2018,2936,42390,238000,20751,208000,1214,25000,3470,29423,513,,55000,85.5548,950601.7,6654,146000,685,77000
2017,2938,42932,220000,17415.814,162000,1057.357,24000,3304.682,,,,132000,80.78577,791500.2,6881,139000,744,81000
2016,2933,43064,207170,15705.992,139870,918.896,22866,3256.913,27714,404.383,645.055,43855,77.65346,724113.2,6484,132238,747,78294
2015,2929,42981,181900,14254.275,128900,841.165,21500,3185.798,22332,361.01,584.749,40000,66.85009,652512,6343,137300,746,73600
2014,2928,43110,315636,11778.576,113209,788.236,20726,3227.331,20807,337.224,524.477,32308,57.51443,556355,5289,120008,617,64198
2013,2930,43672,146316,12620,83533,643,19033,2907,19030,333,486.0,28242,53.73,529600,4957,107174,632,54770
2012,2919,41792,136066,11219.39,84720,571.61,18408,2971.07,16350,286.85,463.04,24367,45.76992,445495.3,7155,104592,626,50559
2011,2906,40633,129646,10092,77173,457.16,16602,2447.39,13464,244.39,429.34,19393,40.40567,391034.1,6702,118501,609,47090
2010,2890,40040,118875,,71898,335.8,15516,,10360,,410.0,13657,31.2,302000,4745,63380,686,74986
2009,2862,40325,109580,,53997,278.702,15593,,9542,,356.787,11618,26.97,265100,4353,64391,697,64675
2008,2829,39768,89172,,55771,,14523,,10026,,442.8,8512,23.40783,229382.4,5193,,554,69337
2007,2806,,,,,,,,,,,,,,,,,
2006,2819,,,,,,,,,,,,,,,,,
2005,2851,,,,,,,,,,,,,,,,,
2004,2841,,,,,,,,,,,,,,,,,
2003,2846,,,,,,,,,,,,,,,,,
2002,2854,,,,,,,,,,,,,,,,,
2001,2842,,,,,,,,,,,,,,,,,
2000,2907,,,,,,,,,,,,,,,,,
