年份,省、区、直辖市(级)群众文化机构数,省、区、直辖市(级)群众文化机构从业人员,省、区、直辖市(级)群众文化机构组织文艺活动,省、区、直辖市(级)群众文化机构参加文艺活动人次,省、区、直辖市(级)群众文化机构举办训练班班次,省、区、直辖市(级)群众文化机构参加培训人次,省、区、直辖市(级)群众文化机构举办展览,省、区、直辖市(级)群众文化机构参观展览人次,省、区、直辖市(级)群众文化机构组织各类理论研讨和讲座次数,省、区、直辖市(级)群众文化机构参加研讨和讲座人次,省、区、直辖市(级)群众文化机构藏书,省、区、直辖市(级)群众文化机构拥有计算机台数,省、区、直辖市(级)群众文化机构收入,省、区、直辖市(级)群众文化机构总支出,省、区、直辖市(级)群众文化机构馆办文艺团体数,省、区、直辖市(级)群众文化机构馆办文艺团体演出场次,省、区、直辖市(级)群众文化机构馆办老年大学数,省、区、直辖市(级)群众业余文艺团体数
2019,31,1792,3000,2024,3000,25,1000,381,652,8,,3000,10.1,10.2,133,2000,10,
2018,31,1799,3000,1136,4000,23,1000,216,1046,12,,2000,8.94357,9.11559,131,2000,12,0.0
2017,31,1839,3000,619.517,2000,19.151,0,246.403,,,,11000,9.38807,9.41566,112,2000,11,
2016,31,1859,2386,421.416,3332,24.475,489,196.583,969,14.174,17.158,2223,7.90405,7.1851,100,1522,11,212.0
2015,31,1804,2700,341,2100,19.357,500,207.497,984,15.718,16.925,2400,7.94626,7.37197,101,1400,12,200.0
2014,31,1819,5900,2490.525,2012,32.317,447,299.073,793,13.53,17.506,1973,6.17671,6.0968599999999995,97,1473,12,160.0
2013,31,1900,2066,583,2019,40,372,255,577,31,16.0,2250,7.03,6.8,93,1347,13,92.0
2012,31,1837,1552,216.96,6283,21.57,408,212.04,827,19.06,11.79,1474,5.65655,5.29029,102,21333,13,60.0
2011,31,1720,1567,275,2160,17.6,279,187.17,1778,25.74,11.68,1247,4.53716,4.36368,88,1381,11,142.0
2010,31,1698,1259,,2570,6.2,269,,460,,13.7,1130,3.8,4.2,85,911,9,88.0
2009,31,1711,976,,1672,6.322,330,,635,,10.786,885,3.32,2.93,100,2015,9,82.0
2008,31,1647,796,,5774,,214,,200,,13.7,913,2.6023,2.35948,109,,14,130.0
2007,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
