年份,乡镇(街道)文化站数,乡镇(街道)文化站从业人员数,乡镇(街道)文化站组织文艺活动,乡镇(街道)文化站参加文艺活动人次,乡镇(街道)文化站举办训练班班次,乡镇(街道)文化站参加培训人次,乡镇(街道)文化站举办展览,乡镇(街道)文化站参观展览人次,乡镇(街道)文化站组织各类理论研讨和讲座次数,乡镇(街道)文化站参加研讨和讲座人次,乡镇(街道)文化站藏书,乡镇(街道)文化站拥有计算机台数,乡镇(街道)文化站收入,乡镇(街道)文化站支出,乡镇(街道)文化站办文艺团体数,乡镇(街道)文化站办文艺团体演出场次,乡镇(街道)文化站办老年大学数,乡镇(街道)文化站群众业余文艺团体数
2019,40747,136481,1059000,29165,522000,3398,133000,6877,,,,332000,167.2,1781000,,,,351000
2018,41138,131079,961000,27236,476000,3239,129000,6268,,,,332000,168.85619,1700188.5,,,,341000
2017,41193,125591,862000,26507.207,439000,3015.106,126000,6259.219,,,,330000,132.41312,1372203.3,,,,326000
2016,41175,126539,827953,22983.643,393071,2987.87,122771,6263.138,,,26650.857,321749,113.41764,1112606.4,,,,313485
2015,40976,118192,749700,21973.534,367600,2743.478,114000,6334.075,,,25563.947,308100,106.64516,1044621.8,,,,303000
2014,41110,114856,1088406,19076.835,324757,2552.459,106842,5690.382,,,24243.466,300653,104.68612,1003105.9,,,,331269
2013,40945,108434,570207,15314,282426,2244,115494,5093,,,22461.0,255418,86.24,850800,,,,282094
2012,40575,102631,531246,17949.63,268730,1962.63,92844,4933.37,,,20265.67,202460,77.36331,811821.1,,,,247971
2011,40390,95728,470417,15282,236761,1799.26,88385,4371.95,,,17526.53,144137,70.28511,704813.7,,,,216752
2010,40118,89842,438767,,267796,1375.8,99237,,,,15686.6,96009,48.6,483000,,,,222568
2009,38736,,427818,,235728,1244.451,92159,,,,13525.488,68467,41.06,408300,,,,189431
2008,37938,,371570,,222622,,83924,,,,11959.3,,31.74289,322379.6,,,,
2007,37384,,,,,,,,,,,,,,,,,
2006,36874,,,,,,,,,,,,,,,,,
2005,38362,,,,,,,,,,,,,,,,,
2004,38181,,,,,,,,,,,,,,,,,
2003,38588,,,,,,,,,,,,,,,,,
2002,39273,,,,,,,,,,,,,,,,,
2001,40138,,,,,,,,,,,,,,,,,
2000,42024,,,,,,,,,,,,,,,,,
