年份,国民总收入指数(1978年=100),国内生产总值指数(1978年=100),第一产业增加值指数(1978年=100),第二产业增加值指数(1978年=100),第三产业增加值指数(1978年=100),人均国内生产总值指数(1978年=100)
2019,3914,3923.3,573.1,5858.2,5692,2683.9
2018,3683.02762616964,3702.98308816976,555.945991281853,5585.9122593244,5310.65834804557,2542.24639700433
2017,3466.11423312931,3468.8439658698,537.234554953092,5280.06917213368,4918.02715696158,2392.38253933828
2016,3230.53139257079,3243.51076057958,516.764028010557,4987.39442816942,4542.38242679225,2249.51780627605
2015,3024.1407140956,3035.60911108818,500.36305979876,4703.69203960167,4202.1712796005,2116.75966344105
2014,2839.52287988279,2835.92248236003,481.588238925164,4440.51330606746,3863.11674071925,1987.59030129357
2013,2618.42268289539,2639.89045629368,462.841010800215,4143.98756478117,3565.6746858027,1859.59043019791
2012,2443.95744758709,2449.64717947209,445.866001166342,3837.47982754994,3292.4303448605,1734.11976453598
2011,2249.89197999595,2271.05722471873,426.802680379581,3541.29836650063,3048.14866931604,1615.54718016352
2010,2064.18338170067,2073.06250399569,409.700592577244,3199.33214501377,2783.99921976353,1481.78395769848
2009,1870.63697996035,1873.7706713512,392.994137919562,2839.21730149618,2538.54752862666,1345.81819777694
2008,1723.43953589525,1712.7902180873,377.870165005251,2574.2543241413,2316.4765189331,1236.32950381605
2007,1565.58015644741,1562.04251079155,359.342451450432,2343.66168727933,2096.8172824022,1133.30857952781
2006,1364.88845893376,1367.44352448045,347.111458869636,2037.068350648,1806.48770182836,997.31631674944
2005,1204.57411652802,1213.12272097838,331.354624333976,1795.55386680289,1582.77497419507,889.719791446238
2004,1086.17391870314,1089.03197297926,315.353840412959,1601.33740060849,1408.68981219543,803.421296177854
2003,982.920505799152,989.0074991185,297.209161737697,1440.752271451,1279.23115339691,733.975749297299
2002,889.652646809036,898.786987373659,290.322547269827,1278.76773788211,1167.82306950679,671.187644315944
2001,811.776469870829,823.565550658916,282.690066564023,1163.62952018574,1056.99085813748,619.148920663429
2000,750.993948564593,760.197512144611,275.424180468056,1072.5558973177,958.640233756538,575.675866296347
