年份,国民总收入指数(上年=100),国内生产总值指数(上年=100),第一产业增加值指数(上年=100),第二产业增加值指数(上年=100),第三产业增加值指数(上年=100),人均国内生产总值指数(上年=100)
2019,106.3,106,103.1,104.9,107.2,105.6
2018,106.258114373931,106.749773832541,103.482917499675,105.792406826881,107.983510024507,106.264209640466
2017,107.292386667416,106.947200793314,103.96129100188,105.868289508269,108.269773323216,106.350904743392
2016,106.824771000675,106.848762204989,103.277813557698,106.031483060098,108.09607996807,106.271762691244
2015,106.501720254511,107.041328878707,103.898521466284,105.926763763428,108.776709626904,106.49879213354
2014,108.444022366279,107.425763656177,104.05046823585,107.155565422213,108.341816938625,106.883229178698
2013,107.138636373581,107.766150097688,103.807199828977,107.987214291806,108.299168465894,107.235409469859
2012,108.625545995834,107.863736448802,104.466541955596,108.363640405199,108.01409977156,107.339468994057
2011,108.996710270106,109.550832179031,104.174289252245,110.688675198036,109.488129439021,109.02717442513
2010,110.34655060355,110.635871064242,104.251069684175,112.683595698287,109.668981508873,110.102832622277
2009,108.540911415766,109.398725632826,104.002425784026,110.292804983178,109.586585828888,108.855947675999
2008,110.083123422186,109.650678919062,105.156004663528,109.838989906843,110.475840616844,109.090280101044
2007,114.703889991892,114.230860933364,103.523649902146,115.050714254816,116.071494994402,113.635820500923
2006,113.308798537679,112.720955665361,104.755278296578,113.450695538037,114.134209302056,112.093304694088
2005,110.900666623098,111.394591809793,105.073914400428,112.128391313448,112.357948534343,110.741375126467
2004,110.5047572306,110.113621377989,106.105019969497,111.145922330962,110.120036433975,109.461558770442
2003,110.48362631468,110.038030480222,102.372056367179,112.667236494186,109.539808452077,109.354776643028
2002,109.593303061691,109.133630790477,102.69994655227,109.894748775194,110.485635757022,108.404879975686
2001,108.093609998112,108.335733477414,102.638071241102,108.491270533852,110.259388341708,107.551654830828
2000,108.613250417146,108.490093407259,102.328518033346,109.473841433789,109.776352063784,107.638597677528
