年份,废水排放总量,化学需氧量排放量,氨氮排放量,总氮排放量,总磷排放量,石油类排放量,挥发酚排放量,铅排放量,汞排放量,镉排放量,总铬排放量,砷排放量,六价铬排放量
2019,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2017,,2143.98,96.34,304.14,31.54,7639.29,244.1,52321.0,2059.0,8429.0,76414.0,43297.0,24844.46
2016,7110953.8835968,1046.52734351,141.78396742,212.11408259,13.93836445,8838.7004,381.1898163,52930.4684,612.9797,11219.3707,52877.5254,41946.7091,15535.448
2015,7353226.8276606,2223.5,229.9136315,461.3313,54.6773,15192.031,988.2119035,79429.5325,1079.9688,15819.9427,105287.9811,112101.2887,23597.578
2014,7161750.5251028,2294.6,238.53423089,456.13668771,53.44921276,16203.6399,1378.4254919,73184.741,745.9142,17251.0976,132797.4327,109729.8472,34925.3293
2013,6954432.7040636,2352.7,245.65528061,448.09731951,48.73314593,18385.3496,1277.334352,76111.9677,916.524,18435.7174,163117.6819,112230.0289,58291.4514
2012,6847612.1389104,2424.0,253.58926186,451.37326386,48.87845068,17493.8763,1501.3076667,99358.8079,1223.4417,27249.8936,190079.0841,128493.7522,70533.6046
2011,6591922.4397,2499.86136235,260.44046215,447.0788388,55.37085374,21012.0887,2430.568662,155242.003,2829.151,35898.983,293166.3446,146615.967,106395.368
2010,6172562.0,1238.1,120.28757,,,,,,,,,,
2009,5890877.2492,1277.5,122.60963132,,,,,,,,,,
2008,5716801.0,1320.7,126.97389,,,,,,,,,,
2007,5568494.1576,1381.8,132.34255262,,,,,,,,,,
2006,5144802.0,1428.2,141.32718,,,,,,,,,,
2005,5245089.0,1414.2,149.78079,,,,,,,,,,
2004,4824094.0,1339.17531,133.0073,,,,,,,,,,
2003,,,,,,,,,,,,,
2002,,,,,,,,,,,,,
2001,,,,,,,,,,,,,
2000,,,,,,,,,,,,,
