年份,发生地质灾害起数,发生滑坡灾害起数,发生崩塌灾害起数,发生泥石流灾害起数,发生地面塌陷灾害起数,地质灾害人员伤亡,地质灾害死亡人数,地质灾害直接经济损失,地质灾害防治项目数,地质灾害防治投资
2019,6181,4220,1238,599,121,299,211,276868.37,,
2018,2966,1631,858,339,122,185,105,147128.25,,
2017,7521,5524,1356,387,206,523,329,359476.62,17602.0,1635940.5
2016,10997,8194,1905,652,225,593,362,354289.79,28190.0,1360233.96
2015,8355,5668,1870,483,292,422,226,250527.54,26289.0,1762662.91
2014,10937,8149,1860,554,307,637,360,567027.45,32019.0,1634039.1
2013,15374,9832,3288,1547,385,929,482,1043567.56,36984.0,1235363.1
2012,14675,11112,2152,952,364,636,293,625253.0,26882.0,1024183.0
2011,15804,11504,2445,1356,386,413,244,413151.0,20871.0,928085.45
2010,30670,22250,5688,1981,478,3445,2244,638508.5,28106.0,1159813.0
2009,10580,6310,2378,1442,326,845,331,190109.4,28061.0,542367.6
2008,26580,13450,8080,843,454,1598,656,326936.35,5325.0,529938.93
2007,25364,15478,7722,1215,578,1123,598,247528.42,3492.0,244884.66
2006,102804,88523,13160,417,398,1227,663,431590.13,2914.0,193569.86
2005,17751,9367,7654,566,137,1223,578,357678.07,3179.0,166860.16
2004,13555,9130,2593,1157,445,1407,734,408828.0,2247.0,175231.0
2003,,,,,,,,,,
2002,,,,,,,,,,
2001,,,,,,,,,,
2000,,,,,,,,,,
