年份,工业污染治理完成投资,治理废水项目完成投资,治理废气项目完成投资,治理固体废物项目完成投资,治理噪声项目完成投资,治理其他项目完成投资,工业污染治理本年竣工项目数
2019,6151513.427,699004.322,3676995.44,170728.99,14168.469,1590616.206,
2018,6212735.619,640082.354,3931104.173,184249.471,15181.062,1442118.559,
2017,6815345.489,763760.067,4462627.893,127419.4,12862.42,1448675.709,
2016,8190040.51,1082394.94,5614702.3,466732.87,6236.03,1019974.37,
2015,7736822.2,1184138.3,5218073.1,161468.1,27892.3,1145250.5,
2014,9976510.87,1152472.73,7893934.91,150504.16,10950.24,768648.829999999,
2013,8496646.573,1248822.263,6409108.71,140480.06,17627.91,680607.63,
2012,5004572.672,1403447.54,2577138.652,247499.33,11626.79,764860.36,
2011,4443610.1,1577471.08,2116810.6,313875.25,21622.5,413830.670000002,7005.0
2010,3969768.2,1295519.1,1881882.5,142692.2,14193.2,620020.6,5866.0
2009,4426206.9,1494606.0,2324616.0,218535.7,14100.0,374349.2,8236.0
2008,5426403.8,1945977.4,2656986.8,196850.6,28382.9,598206.0,11184.0
2007,5523909.4,1960721.8,2752642.2,182531.9,18278.6,606837.9,12547.0
2006,4839485.1,1511164.5,2332697.1,182630.5,30145.1,782847.9,11972.0
2005,4581908.7,1337146.9,2129571.3,274181.3,30613.3,810395.9,11158.0
2004,3081059.5,1055868.1,1427974.9,226464.8,13416.1,357335.6,11290.0
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
