年份,二氧化硫排放量,氮氧化物排放量,烟(粉)尘排放量
2019,,,
2018,,,
2017,696.32,1785.22,796.26426476
2016,1102.86430442,1394.3109,1010.6627
2015,1859.1,1851.02419087,1538.0132697
2014,1974.4,2078.00153363,1740.75075824
2013,2043.9,2227.35874475,1278.1410759
2012,2118.0,2337.7617223,1235.7747786
2011,2217.90816901,2404.2744886,1278.8255366
2010,2185.0,,
2009,2214.0,,
2008,2321.0,,
2007,2468.0,,
2006,2588.8,,
2005,2549.4,,
2004,2254.9,,
2003,,,
2002,,,
2001,,,
2000,,,
