年份,自然保护区个数,国家级自然保护区个数,自然保护区面积,国家级自然保护区面积,自然保护区占辖区面积比重
2019,,474,,9811.41,
2018,,474,,9860.92,
2017,2750.0,,14716.727,,14.2871467236954
2016,2750.0,,14733.2,,14.88
2015,2740.0,428,14703.0,9648.8321,
2014,2729.0,428,14699.1506,9651.6325,
2013,2697.0,407,14631.0,9403.9262,14.8
2012,2669.0,363,14979.0,9414.564,14.9
2011,2640.0,335,14971.1464,9315.2684,14.93
2010,2588.0,319,14944.0,9267.6,14.9
2009,2541.0,319,14775.0,9267.11,14.7
2008,2538.0,303,14894.0,9120.2874,14.9
2007,2531.0,303,15188.0,9365.5782,15.2
2006,2395.0,265,15153.504,9169.7,15.8
2005,2349.0,243,14994.9,8898.9,15.0
2004,2194.0,226,14822.8,8871.3,14.81
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
