年份,森林火灾次数,一般火灾次数,较大火灾次数,重大火灾次数,特别重大火灾次数,火场总面积,受害森林面积,天然林受害面积,人工林受害面积,森林火灾伤亡人数,森林火灾死亡人数,森林火灾其他损失折款
2019,2345,1534,802,8,1,39704.7,13504.9,,,76,,16219.9
2018,2478,1579,894,3,2,28595.2,16309.07,,,39,,20444.73
2017,3223,2258,958,4,3,44428.4,24502.43,,,46,,4624.06
2016,2034,1340,693,1,,18161.4619,6223.7522,,,36,,4135.68404
2015,2936,1676,1254,6,,33076.6168766667,12940.02921,,,26,,6371.4492
2014,3703,2080,1620,2,1,55339.6023667,19110.37863,,,112,,42512.7928
2013,3929,2347,1582,,,42890.42227,13724.3782,,,55,,6061.6292
2012,3966,2397,1568,1,,43171.168,13947.995,,,21,,10801.54
2011,5550,2993,2548,9,,63416.209,26949.816,1696.021,23915.763,91,45.0,20173.418
2010,7723,4795,2902,22,4,116243.402,45761.081,20208.822,21048.672,108,65.0,11610.68
2009,8859,4945,3878,35,1,213635.876,46155.872,5124.45,36057.61,110,39.0,14511.449
2008,14144,5673,,13,,184494.535,52539.053,2998.149,45465.147,174,97.0,12593.914
2007,9260,3205,,4,,125128.049,29285.886,1590.863,23306.037,94,61.0,12415.49
2006,8170,2691,,7,5,562303.574,408254.895,333585.051,18899.509,102,41.0,5374.948
2005,11542,4949,,16,3,290632.805,73701.336,30435.2,36306.464,152,92.0,15028.773
2004,13466,6531,,38,3,344211.219,142238.263,74471.382,59105.822,252,131.0,20212.973
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
