年份,水资源总量,地表水资源量,地下水资源量,地表水与地下水资源重复量,人均水资源量
2019,29041,27993.3,8191.5,7143.8,2077.74832494464
2018,27462.5,26323.2,8246.5,7107.2,1971.84666087468
2017,28761.2,27746.3,8309.6,7294.7,2074.53142863325
2016,32466.4,31273.9,8854.8,7662.3,2354.91580623284
2015,27962.6,26900.8,7797.0,6735.2,2039.24971922813
2014,27266.9,26263.911795045,7745.03124504941,6742.04304009445,1998.643963
2013,27957.8573804188,26839.4743757199,8081.11403849752,6962.74789039575,2059.69274487755
2012,29528.7897250466,28373.2637591481,8296.39981885266,7140.87385295423,2186.2
2011,23256.7,22213.6,7214.5,6171.4,1730.2
2010,30906.4063979384,29797.6220653495,8417.04784382269,7308.24545537226,2310.40523866909
2009,24180.20107,23125.2136050167,7267.03424388506,6212.07026999993,1816.175778
2008,27434.3,26377.0,8122.0,7064.7,2071.052463
2007,25255.1558,24242.4696529476,7617.1736297503,6604.48748507771,1916.339878
2006,25330.1423466444,24358.0511575601,7642.91287580847,6670.82168672419,1932.09427366816
2005,28053.1,26982.37,8091.12,7020.4,2151.8
2004,24129.56,23126.4,7436.3,6433.1,1856.29
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
