年份,生活垃圾清运量,无害化处理厂数,生活垃圾卫生填埋无害化处理厂数,生活垃圾堆肥无害化处理厂数,生活垃圾焚烧无害化处理厂数,生活垃圾无害化处理能力,生活垃圾卫生填埋无害化处理能力,生活垃圾堆肥无害化处理能力,生活垃圾焚烧无害化处理能力,生活垃圾无害化处理量,生活垃圾卫生填埋无害化处理量,生活垃圾堆肥无害化处理量,生活垃圾焚烧无害化处理量,粪便清运量,粪便无害化处理量,生活垃圾无害化处理率
2019,24206.185336,1183,652,,389,869875.25,367013.46,,456499.45,24012.818869,10948.033085,,12174.2,,,99.2011691874786
2018,22801.753899,1091,663,,331,766194.98,373498.44,,364594.67,22565.359359,11706.018323,,10184.917453,,,98.9632615936164
2017,21520.86,1013,654,,286,679889.0,360524.0,,298062.0,21034.16,12037.62,,8463.32,,,97.74
2016,20362.01,940,657,,249,621351.0,350103.0,,255850.0,19673.78,11866.43,,7378.42,1299.16,647.06,96.62
2015,19141.87,890,640,,220,576894.0,344135.0,,219080.0,18013.01,11483.14,,6175.52,1436.77,673.67,94.1
2014,17860.18,818,604,,188,533455.0,335316.0,,185957.0,16393.74,10744.25,,5329.88,1551.97,691.97,91.79
2013,17238.58,765,580,,166,492300.0,322782.0,,158488.0,15393.98,10492.69,,4633.72,1682.41,677.84,89.3
2012,17080.87,701,540,,138,446268.0,310927.0,,122649.0,14489.54,10512.49,,3584.06,1811.8,801.38,84.83
2011,16395.28,677,547,,109,409119.0,300195.0,,94114.0,13089.64,10063.74,2599.28,2599.28,1962.86,652.83,79.7
2010,15804.8,628,498,11.0,104,387607.0,289957.0,5480.0,84940.0,12317.8,9598.3,180.8,2316.7,1950.52,690.8,77.9
2009,15733.68,567,447,16.0,93,356130.0,273498.0,6979.0,71253.0,11232.29,8898.61,178.83,2021.96,2140.96,846.13,71.39
2008,15437.7,509,407,14.0,74,315153.0,253268.0,5386.0,51606.0,10306.6,8424.01,174.01,1569.74,2330.71,903.91,66.76
2007,15214.53,460,366,17.0,66,271791.0,215179.0,7890.0,44682.0,9437.69,7632.68,249.97,1435.05,2506.29,908.32,62.03
2006,14841.3,419,324,20.0,69,258048.0,206626.0,9506.0,39966.0,7872.6,6408.2,288.2,1137.6,2130.5,855.2,52.15
2005,15576.8,471,356,46.0,67,256312.0,211085.0,11767.0,33010.0,8051.1,6857.11,345.43,791.04,3804.6,2713.79,51.686482461096
2004,15509.3,559,444,61.0,54,238519.0,205889.0,15347.0,16907.0,8088.71,6888.9,730.01,449.0,3576.3,2557.77,52.1191156273978
2003,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
