年份,环境污染治理投资总额,城镇环境基础设施建设投资额,城镇燃气建设投资额,城镇集中供热建设投资额,城镇排水建设投资额,城镇园林绿化建设投资额,城镇市容环境卫生建设投资额,工业污染源治理投资,建设项目“三同时”环保投资额
2019,,6017.844553,376.471078,699.601649,1930.018358,2327.346597,684.406871,6151513.427,
2018,,,,,,,,6212735.619,
2017,9538.9532731,6085.7492,566.6709,778.3337,1727.5159,2390.2286,623.0001,6815345.489,
2016,9219.8,5412.0225,532.0217,662.5188,1485.4815,2170.8903,561.1102,8190040.51,
2015,8806.3,4946.8,463.1,687.8,1248.5,2075.4,472.0,7736822.2,
2014,9575.5,5463.9,574.0,763.0,1196.1,2338.5,592.2,9976510.87,
2013,9037.2,5222.99,607.9039,819.4806,1054.9966,2234.8595,505.7494,8496646.573,3425.8419
2012,8253.4606672,5062.6513,551.8086,798.0748,934.0837,2380.0446,398.6396,5004572.672,2690.3521
2011,7114.03349418,4557.2339,444.0928,593.3411,971.6257,1991.944,556.2303,4443610.1,2112.4
2010,7612.191701,5182.2109,357.933,557.4739,1172.6854,2670.5958,423.5228,3969768.2,2033.003981
2009,5258.38720004,3245.0627,219.2004,441.5236,1035.5445,1137.64,411.1542,4426206.9,1570.70381004
2008,4937.0293,2247.7293,199.2385,328.1769,637.1604,823.9239,259.2296,5426403.8,2146.7
2007,3387.3,1467.5,160.1,230.0,410.0,525.6,141.8,5523909.4,1367.4
2006,2566.0,1314.9,155.0462,223.5859,331.5242,429.0132,175.754,4839485.1,767.2
2005,2388.0013,1289.7,142.4,220.2,368.0,411.3,147.8,4581908.7,640.1
2004,1909.8,1141.2,148.323,173.3545,352.2779,359.4619,107.799,3081059.5,460.5
2003,1627.7,1072.4,133.5,145.8,375.2,321.9,96.0,2218281.0,333.5
2002,1367.2,789.1,88.4,121.4,275.0,239.5,64.8,1883662.8,389.7
2001,1106.7,595.8,75.5,82.0,224.5,163.2,50.6,1745280.0,336.4
2000,1014.9,515.5,70.9,67.8,149.3,143.2,84.3,2347894.7,260.0
