年份,活猪出口数量,活家禽出口数量,牛肉出口数量,猪肉出口数量,冻鸡出口数量,水海产品出口数量,鲜蛋出口数量,谷物及谷物粉出口数量,稻谷和大米出口数量,玉米出口数量,蔬菜出口数量,鲜或冷藏蔬菜出口数量,橘、橙出口数量,苹果出口数量,松子仁出口数量,大豆出口数量,花生及花生仁出口数量,食用植物油出口数量,食糖出口数量,天然蜂蜜出口数量,茶叶出口数量,辣椒干出口数量,猪肉罐头出口数量,蘑菇罐头出口数量,啤酒出口数量,肠衣出口数量,填充用羽毛；羽绒出口数量,药材出口数量,烤烟出口数量,纸烟出口数量,锯材出口数量,生丝出口数量,山羊绒出口数量,棉花出口数量,天然石墨出口数量,天然碳酸镁；氧化镁出口数量,萤石出口数量,天然硫酸钡出口数量,滑石出口数量,氧化铝出口数量,煤出口数量,焦炭、半焦炭出口数量,原油出口数量,成品油出口数量,石蜡出口数量,仲钨酸铵出口数量,氧化锌及过氧化锌出口数量,合成有机染料出口数量,医药品出口数量,中式成药出口数量,医用敷料出口数量,洗衣粉出口数量,烟花、爆竹出口数量,松香及树脂酸出口数量,新的充气橡胶轮胎出口数量,纸及纸板出口数量,棉纱线出口数量,丝织物出口数量,棉机织物出口数量,亚麻及苎麻机织物出口数量,合成短纤与棉混纺机织物出口数量,地毯出口数量,塑料编织袋出口数量,水泥及水泥熟料出口数量,平板玻璃出口数量,玻璃制品出口数量,家用陶瓷器皿出口数量,生铁及镜铁出口数量,钢坯及粗锻件出口数量,钢材出口数量,未锻造铜及铜合金出口数量,铜材出口数量,未锻造铝及铝合金出口数量,铝材出口数量,未锻造的锌及锌合金出口数量,未锻造的锡及锡合金出口数量,未锻造的锑、粉末及废碎料出口数量,未锻造的锰出口数量,钢铁或铜制标准紧固件出口数量,手用或机用工具出口数量,电扇出口数量,纺织机械及零件出口数量,缝纫机出口数量,金属加工机床出口数量,电子计算器出口数量,自动数据处理设备及其部件出口数量,自动数据处理设备的零件出口数量,轴承出口数量,电动机及发电机出口数量,静止式变流器出口数量,原电池出口数量,蓄电池出口数量,电话机出口数量,收音设备出口数量,电视机出口数量,电容器出口数量,通断保护电路装置及零件出口数量,二极管及类似半导体器件出口数量,电线和电缆出口数量,集装箱出口数量,汽车出口数量,汽车零件出口数量,自行车出口数量,船舶出口数量,照相机出口数量,医疗仪器及器械出口数量,手表出口数量,日用钟出口数量,家具及其零件出口数量,非针织或钩编织物制服装出口数量,针织或钩编服装出口数量,皮鞋出口数量,橡胶或塑料底布鞋出口数量,塑料制品出口数量,玩具出口数量,足球、篮球、排球出口数量,伞出口数量,竹编结品出口数量,藤编结品出口数量,草编结品出口数量,柳编结品出口数量,机电产品出口数量,高新技术产品出口数量
2019,,,0.021804,2.6629824,94327.344,418.5479968,,318.0407538,274.7556124,2.6135628,978.8906145,651.4106893,694119.262,971146.153,10434.128,11.4453822,19.1420776,266564.153,185600.034,120845.474,366558.033,73054.63,29013.292,254443.735,41760.2219,95670.911,46056.801,132514.029,121869.452,,,4305.183,2940.435,52142.776,288885.193,309.3924283,37.4127692,112.6144845,68.9555204,27.4838199,602.5057259,652.259178,81.0025936,6684.7081179,57.5773949,3160.75,19217.83,218216.718,1100893.699,12639.742,219041.528,591668.423,345279.309,35256.286,,628.7446534,374971.607,,,33806.9256,168277.536,,587926.8121,552.5841609,,384.5236216,3904589.242,,3.6653852,6429.3712178,316742.907,524233.33,577707.975,5148423.726,64039.528,6131.55,12951.94,393968.574,3171115.634,1882461.908,75163.5029,,1185.0593,943.1787,18568.1787,148430,550962.387,581910.0576,264289.4123,,2985619.2674,272016.5199,106512.082,22035.0779,9474.0795,100906.824,,53491880.2386,2294091.055,2415638,1215410,,5251.0312,,3198.8769,,64425.4143,23616.1496,,,,,,14234923.594,,23667.2066,,28744.638,9398.919,19143.692,46460.227,,
2018,158.0,240.0,0.0434,4.1762,109085.0,425.0,1177.0,249.0,208.9343,1.2192,948.0,629.0,708817.0,1118478.0,12750.0,13.0,20.0,294727.0,195747.0,123478.0,364742.0,77243.0,50028.0,241694.0,38571.0,102856.0,49355.0,128400.0,127493.0,14332.0,250000.0,4581.0,3212.0,47349.0,340000.0,315.0,40.0,121.0,70.0,146.15,493.0,976.0,263.0,5860.0,51.0,5641.0,11758.0,220739.0,1032308.0,11266.0,207162.0,552983.0,379031.0,47085.0,48620.0,565.0,402072.0,,,34826.0,168955.0,63568.0,637709.0,904.0,19347.0,378.0,3630000.0,,1.0,6933.0,281849.0,509868.0,562500.0,5230000.0,24283.0,6105.0,5326.0,424387.0,3290000.0,1850000.0,72129.0,,1089.0,962.0,18790.0,147293,520000.0,630515.0,269913.0,542350.0,2957800.0,265379.0,119981.0,22506.0,9688.0,104644.0,25907797.0,58121000.0,2420000.0,3400000,1150000,,5927.0,,3425.0,,63342.0,24235.0,,,,67916.0,294235.0,13120000.0,,23895.0,47301.0,29505.0,9182.0,16590.0,50009.0,,
2017,157.0,230.0,0.0922,5.1289,128674.0,421.0,1369.0,156.0,119.6843,8.5921,925.0,621.0,561681.0,1334636.0,16153.0,11.0,15.0,200055.0,157933.0,129274.0,355258.0,61716.0,43095.0,226418.0,36095.0,105955.0,53376.0,155553.0,146865.0,12468.0,280000.0,5936.0,3072.0,17083.0,340000.0,288.0,34.0,202.0,70.0,5.5737,817.0,809.0,486.0,5216.0,52.0,5427.0,13405.0,257382.0,1012529.0,12330.0,204198.0,535383.0,323410.0,56609.0,48351.0,652.0,393512.0,,,27275.0,173908.0,58498.0,656350.0,1286.0,21032.0,387.0,3440000.0,9.0,1.0,7541.0,338034.0,477989.0,551195.0,4240000.0,16445.0,2181.0,2890.0,435618.0,2920000.0,1700000.0,69345.0,,1089.0,911.0,20186.0,154208,510000.0,595727.0,278218.0,543586.0,2946100.0,245965.0,129498.0,22891.0,8151.0,,25031508.0,59526400.0,2410000.0,3000000,1040000,,5640.0,,3760.0,,68134.0,26482.0,,,,68232.0,287561.0,11680000.0,,22607.0,46292.0,28853.0,8500.0,16561.0,51072.0,,
2016,155.0,440.0,0.4143,4.8539,115250.0,409.0,1303.0,67.0,48.458,0.4071,827.0,538.0,723683.0,1339079.0,13771.0,13.0,12.0,126048.0,149052.0,128330.0,328699.0,80202.0,38963.0,236456.0,29158.0,96537.0,43678.0,151930.0,119950.0,13976.0,260000.0,6927.0,2995.0,7757.0,240000.0,200.0,37.0,160.0,76.0,10.5517,879.0,1012.0,294.0,4831.0,64.0,3545.0,15751.0,259114.0,945197.0,11435.0,185370.0,534185.0,313926.0,59720.0,46868.0,683.0,355657.0,,,24568.0,195459.0,52442.0,703791.0,1785.0,22661.0,368.0,3140000.0,13.0,1.0,10853.0,428520.0,452313.0,511648.0,4070000.0,22642.0,736.0,5817.0,331115.0,2760000.0,1520000.0,61584.0,,1112.0,831.0,20639.0,159189,520000.0,539651.0,290624.0,516056.0,2785500.0,227917.0,136405.0,21869.0,8029.0,,23672656.0,70256700.0,2240000.0,1990000,730000,,5757.0,,3805.0,,61148.0,28714.0,,,,69039.0,266940.0,10410000.0,,23044.0,43716.0,25552.0,8261.0,16012.0,50474.0,,
2015,169.0283,432.5333,0.4702073,7.1491995,130672.148,390.5641259,1207.02397,47.8407427,28.7237762,1.1109597,832.6249476,566.304216,751322.904,833021.457,13438.577,13.3602879,12.7646085,135348.597,74979.116,144756.094,324954.812,51309.319,42028.331,236776.519,26547.5118,94248.947,39275.223,184453.545,101006.605,13158.6125,268771.0,6694.944,2596.017,28915.682,250672.479,214.0947201,33.6635025,207.1702928,62.5266667,29.2591423,533.3677887,985.4067939,286.5567368,3615.4873403,61.6298867,1672.38,13414.041,252942.247,875948.451,12369.223,176079.137,457081.086,334264.89,85822.006,44451.3877,593.4441762,343935.478,,,31779.0212,215487.8654,49279.5336,677509.0987,1575.2867191,21459.9756,342.3351263,3351468.28,16.9375169,0.6688872,11239.5643132,218363.188,466076.628,565643.168,4195160.278,96683.042,562.039,4105.551,295130.753,2724726.898,1514756.903,56747.6545,,1146.853,840.5255,23541.0221,171507.6688,544353.588,519397.115,305499.1696,508837.2808,2820642.0918,234923.9043,144557.3875,22008.3141,7183.4182,,23795703.0,72241015.4635,2167492.742,2717436,722777,,5781.3337,,5159.4654,,68151.4433,29580.4232,,,,83900.0889,266304.7634,9729379.972,,23121.6395,45928.3043,24600.133,8739.899,17464.138,50006.836,,
2014,173.3227,493.4578,0.6493991,9.151633,117063.285,402.6060077,1141.428455,70.9312147,41.9205039,2.0035738,802.5606044,554.8757081,836682.013,865048.018,11428.443,20.7071153,13.8188869,133858.279,46217.815,129824.266,301484.102,38391.751,50087.813,265364.431,25821.126,90534.345,41406.921,203216.359,88042.519,12607.834,402659.0,6359.313,2374.419,13470.181,282602.625,228.4281951,41.0180229,267.3009258,67.4000415,11.8028354,574.1546904,850.7112605,60.0193262,2966.7469939,48.1532189,3022.611,12443.657,271374.275,874719.781,12990.303,183460.29,454025.012,334407.849,122472.822,47587.4392,630.2003406,431379.364,,,29924.5425,225039.3188,48638.6386,639398.3929,1390.7776151,21896.1924,350.0971989,3162501.759,24.2032842,0.6927786,9377.7561694,268719.17,507857.533,666772.21,3668647.7,132718.551,940.628,1443.597,308696.899,2788752.841,1583413.22,57919.2685,,1340.4555,829.3806,29133.5357,191811.727,676684.082,536891.7542,297002.8509,532843.3545,2765112.1741,219825.2283,142122.5497,23156.7544,7403.3613,,25449617.0,56656856.3425,2173164.395,3022277,897103,,6265.4969,,5675.8801,,66789.6546,32699.3344,,,,96479.6982,258235.3932,9514692.219,,24544.7942,47866.0261,24166.719,10060.138,17968.451,53424.961,,
2013,168.0,717.0,0.5874,7.3395,99938.0,384.0,1074.0,95.0,47.8473,7.764,778.0,519.0,866531.0,994664.0,10683.0,21.0,13.0,115491.0,47771.0,124901.0,325806.0,47168.0,48624.0,275028.0,24944.0,79462.0,38673.0,197475.0,101547.0,12943.0,450000.0,6690.0,2844.0,6733.0,250000.0,193.0,45.0,206.0,66.0,18.6301,751.0,467.0,162.0,2851.0,50.0,2798.0,9617.0,290087.0,817740.0,14235.0,181579.0,422925.0,325695.0,133143.0,44003.0,565.0,523286.0,,,27758.0,214371.0,47817.0,629190.0,1454.0,19506.0,358.0,2510000.0,26.0,,6233.0,293347.0,488978.0,572280.0,3070000.0,5395.0,3002.0,2167.0,222750.0,2570000.0,1500000.0,56143.0,,1298.0,759.0,32031.0,187040,740000.0,474381.0,308576.0,495132.0,2724900.0,202032.0,129522.0,24090.0,5962.0,93848.0,,35158400.0,1950000.0,2700000,920000,,5695.0,3045146.0,6841.0,,63420.0,36653.0,,,,86582.0,222735.0,8964651.0,,23366.0,46245.0,25741.0,10183.0,18979.0,54063.0,,
2012,164.0,736.0,1.22,6.6243,89874.0,368.0,1230.0,96.0,27.9214,25.73,741.0,485.0,942596.0,975878.0,11576.0,32.0,15.0,99519.0,47144.0,110158.0,313484.0,51957.0,48109.0,307841.0,22574.0,82809.0,35810.0,196660.0,100800.0,12172.0,470000.0,7674.0,2342.0,17558.0,260000.0,213.0,43.0,295.0,75.0,4.3293,928.0,102.0,243.0,2427.0,46.0,2533.0,11567.0,269723.0,764623.0,14483.0,173248.0,372012.0,336051.0,167814.0,41349.0,471.0,447413.0,,,23841.0,218468.0,48025.0,609141.0,1200.0,17632.0,342.0,2560000.0,30.0,,5573.0,274180.0,492980.0,631212.0,2830000.0,7937.0,1738.0,9583.0,42746.0,2470000.0,1450000.0,53550.0,,1326.0,745.0,34827.0,183315,800000.0,439385.0,309632.0,404748.0,2646800.0,220640.0,112951.0,26091.0,6157.0,87584.0,,32391700.0,1860000.0,2480000,990000,,5715.0,2758091.0,10093.0,,66216.0,38993.0,,,,83644.0,199268.0,8513265.0,,20992.0,46661.0,31936.0,12444.0,21840.0,64430.0,,
2011,156.0,723.0,2.1979,8.069,109115.0,288.0,1285.0,116.0,51.5667,13.6083,772.0,505.0,792721.0,1034635.0,9633.0,21.0,17.0,121602.0,59389.0,99894.0,322580.0,63107.0,45108.0,326575.0,22091.0,86443.0,32796.0,196620.0,103496.0,11490.0,540000.0,7122.0,2492.0,25698.0,440000.0,207.0,72.0,289.0,67.0,7.628,1466.0,330.0,252.0,2570.0,45.0,5136.0,17608.0,243532.0,758139.0,14693.0,171515.0,348534.0,327232.0,231153.0,39733.0,450.0,392909.0,,,25978.0,255738.0,56237.0,629812.0,1061.0,18726.0,328.0,1780000.0,87.0,,4888.0,156516.0,500347.0,766122.0,3000000.0,48369.0,1227.0,5062.0,56386.0,2600000.0,1520000.0,54785.0,,1280.0,762.0,36936.0,183427,940000.0,483970.0,337146.0,334308.0,2745300.0,240516.0,100627.0,27029.0,6570.0,91636.0,,31223600.0,1800000.0,3240000,820000,,5572.0,2850743.0,11398.0,,68175.0,40817.0,,,,91208.0,185862.0,7950000.0,,19384.0,53506.0,39171.0,16142.0,28653.0,69452.0,,
2010,172.0,696.0,2.0,11.0,100000.0,243.0,1298.0,120.0,62.0,13.0,655.0,421.0,814322.0,1122953.0,7027.0,16.0,19.0,92461.0,94348.0,101138.0,302525.0,44535.0,41932.0,329621.0,19410.0,74961.0,32087.0,226056.0,90784.0,9841.0,530000.0,8509.0,2740.0,6453.0,590000.0,249.0,60.0,257.0,59.0,5.704,1910.0,335.0,303.0,2688.0,52.0,5475.0,16581.0,272830.0,686782.0,13910.0,157116.0,294172.0,301104.0,249802.0,36962.0,380.0,525104.0,,,25593.0,250072.0,56690.0,567830.0,1616.0,17398.0,312.9206,1890000.0,71.0,14.0,4256.0,39538.0,508580.0,754378.0,2180000.0,43395.0,714.0,5173.0,102890.0,2250000.0,1350000.0,52118.0,,1191.0,761.0,37446.0,166724,960000.0,409997.0,352969.0,317405.0,2547600.0,256168.0,90395.0,25731.0,6723.0,89661.0,,29548600.0,1740000.0,2500000,540000,,5816.0,2034908.0,12850.0,,67138.0,43163.0,,,,100179.0,179274.0,7426674.0,,22691.0,50163.0,39775.0,18689.0,35675.0,88320.0,,
