年份,就业人员,城镇就业人员,乡村就业人员
2019,77471,44247,33224
2018,77586,43419,34167
2017,77640,42462,35178
2016,77603,41428,36175
2015,77451,40410,37041
2014,77253,39310,37943
2013,76977,38240,38737
2012,76704,37102,39602
2011,76420,35914,40506
2010,76105,34687,41418
2009,75828,33322,42506
2008,75564,32103,43461
2007,75321,30953,44368
2006,74978,29630,45348
2005,74647,28389,46258
2004,74264,27293,46971
2003,73736,26230,47506
2002,73280,25159,48121
2001,72797,24123,48674
2000,72085,23151,48934
