年份,城镇单位就业人员平均工资,城镇单位在岗职工平均工资,国有单位就业人员平均工资,城镇集体单位就业人员平均工资,其他单位就业人员平均工资,城镇单位就业人员平均货币工资指数(上年=100),城镇单位在岗职工平均货币工资指数(上年=100),国有城镇单位就业人员平均货币工资指数(上年=100),城镇集体单位就业人员平均货币工资指数(上年=100),其他城镇单位就业人员平均货币工资指数(上年=100),城镇单位就业人员平均实际工资指数(上年=100),城镇单位在岗职工平均实际工资指数(上年=100),国有城镇单位就业人员平均实际工资指数(上年=100),城镇集体单位就业人员平均实际工资指数(上年=100),其他城镇单位就业人员平均实际工资指数(上年=100)
2019,90501,93383,98899,62612,87195,109.813985657603,110.194232040026,110.533786351342,103.211130159567,109.744125457818,106.822943246695,107.192832723761,107.523138474068,100.399932061836,106.754985853908
2018,82413,84744,89474,60664,79453,110.9,111.3,110.3,109.8,111.4,108.619000979432,109.010773751224,108.031341821743,107.541625857003,109.108716944172
2017,74318,76121,81114,55243,71304,109.988308247865,110.331482904063,111.822768755687,109.33362360718,108.809571042713,108.2,108.487200495637,109.953558265179,107.506021245998,106.990728655568
2016,67569,68993,72538,50527,65531,108.931306324461,109.095365348429,111.0910316099,108.410753749437,107.593668932453,106.690799534242,106.851484180636,108.806103437708,106.18095372129,105.380674762442
2015,62029,63241,65296,46607,60906,110.1,110.250867314029,114.0,109.0,107.8,108.5,108.621544151752,112.3,107.4,106.2
2014,56360,57361,57296,42742,56485,109.5,109.5,108.8,109.9,109.8,107.221380932626,107.247796278159,106.571836282997,107.602826191679,107.521840391675
2013,51483,52388,52657,38905,51453,110.1,110.1,108.9,115.2,111.0,107.309941520468,107.309941520468,106.140350877193,112.2,108.187134502924
2012,46769,47593,48357,33784,46360,111.9,112.1,111.2,117.3,112.2,108.974919342067,109.169691315869,108.293217433761,114.3,109.2
2011,41799,42452,43483,28791,41323,114.395577328334,114.281099415834,113.358012461222,119.912536443149,115.424150163403,108.637775240583,108.529059274297,107.65243348644,113.877052652563,109.61457755309
2010,36539,37147,38359,24010,35801,113.3,113.5,112.4,116.5,114.2,109.786821705426,109.980620155039,108.914728682171,112.887596899225,110.658914728682
2009,32244,32736,34130,20607,31350,111.6,112.0,112.7,113.8,109.8,112.613521695257,113.017154389506,113.72351160444,114.833501513623,110.79717457114
2008,28898,29229,30287,18103,28552,116.9,117.2,116.0,117.2,117.6,110.700757575758,110.984848484848,109.848484848485,110.984848484848,111.363636363636
2007,24721,24932,26100,15444,24271,118.5,118.7,120.2,120.0,115.6,113.397129186603,113.588516746411,115.023923444976,114.832535885167,110.622009569378
2006,20856,21001,21706,12866,21004,114.593406593407,114.359616641255,114.374538939825,115.121689334288,114.388410848491,112.8999079738,112.669573045571,112.684274817562,113.420383580579,112.697941722652
2005,18200,18364,18978,11176,18362,114.321608040201,114.6,115.402858011554,114.943947341356,111.156849688238,112.521267756103,112.795275590551,113.585490168852,113.133806438342,109.406348118344
2004,15920,16024,16445,9723,16519,113.966640418069,114.1,114.535450619863,112.704300452069,111.29151788722,110.325886174316,110.454985479187,110.876525285444,109.103872654472,107.736222543291
2003,13969,14040,14358,8627,14843,112.899054392629,113.0,113.04621683332,112.977998952331,110.062286815957,111.892026157214,111.99207135778,112.037875949772,111.970266553351,109.080561760116
2002,12373,12422,12701,7636,13486,114.205279675097,114.3,114.993209597103,111.458181287403,108.434509930047,115.358868358684,115.454545454545,116.154757168791,112.584021502428,109.529808010149
2001,10834,10870,11045,6851,12437,116.082717239901,116.0,116.989725664654,109.774074667521,110.669158213205,115.275786732772,115.19364448858,116.176490233023,109.010997683735,109.899859198813
2000,9333,9371,9441,6241,11238,112.188965019834,112.3,111.820442970508,108.388329281,110.806547032144,111.298576408566,111.40873015873,110.932979137409,107.528104445437,109.927129992206
