年份,城镇集体单位就业人员,农林牧渔业城镇集体单位就业人员,采矿业城镇集体单位就业人员,制造业城镇集体单位就业人员,电力、燃气及水的生产和供应业城镇集体单位就业人员,建筑业城镇集体单位就业人员,交通运输、仓储及邮电通信业城镇集体单位就业人员,信息传输、计算机服务和软件业城镇集体单位就业人员,批发和零售业城镇集体单位就业人员,住宿和餐饮业城镇集体单位就业人员,金融业城镇集体单位就业人员,房地产业城镇集体单位就业人员,租赁和商务服务业城镇集体单位就业人员,科学研究、技术服务和地质勘查业城镇集体单位就业人员,水利、环境和公共设施管理业城镇集体单位就业人员,居民服务和其他服务业城镇集体单位就业人员,教育业城镇集体单位就业人员,卫生、社会保障和社会福利业城镇集体单位就业人员,文化、体育和娱乐业城镇集体单位就业人员,公共管理和社会组织城镇集体单位就业人员
2019,295.6216,3.1582,3.1539,31.5225,3.2678,94.7235,8.4568,0.6871,12.9141,3.0524,9.4647,9.9096,26.2394,4.3125,5.0005,3.2326,37.7003,33.1997,1.5442,4.0818
2018,347.3982,1.5563,4.0655,38.427,2.9133,116.7857,9.2749,0.5699,17.791,3.8594,33.0832,7.2429,23.2761,3.909,7.95,3.2751,22.8815,46.2101,1.3232,3.0041
2017,406.0191,1.811,7.7417,52.7833,3.201,132.9879,12.2263,0.7712,21.2129,4.2339,41.975,7.4081,27.6965,4.1843,10.0084,3.7847,18.9284,50.9822,1.6834,2.3989
2016,453.3,1.9475,9.4174,66.5154,3.4964,149.0775,13.7356,0.597,27.9712,4.8591,44.9178,7.9795,29.0628,4.5532,10.644,4.2036,18.984,51.2202,1.8455,2.3174
2015,481.4449,2.1291,10.666,74.3777,3.8089,154.6684,14.7938,0.7354,31.6949,5.4465,46.4842,8.0367,31.7692,4.7963,10.9217,4.8906,20.8648,51.5272,1.8446,1.9889
2014,536.7103,2.5727,13.2681,87.9182,4.0227,173.7135,17.3624,0.7841,35.0474,6.696,46.9697,8.9229,35.9985,5.4238,11.1641,5.6756,22.1752,54.9307,1.9287,2.136
2013,566.1703,2.474,15.8065,97.4077,4.2035,181.57,18.9524,0.8775,38.3042,9.9896,48.7228,8.2784,38.1169,5.5374,10.6723,5.3765,21.7924,53.9621,2.0343,2.0918
2012,589.6674,4.9842,20.5983,113.7366,5.1263,184.9842,17.7374,1.252,40.9294,9.3003,50.1127,8.7235,33.7214,5.419,10.5909,6.0828,18.9994,52.561,2.4983,2.3097
2011,603.0617,4.0157,20.4086,124.1199,5.4916,187.3833,17.495,1.3044,46.7557,9.9724,50.1926,8.571,31.8491,3.7333,10.8072,6.0004,19.0865,51.4562,2.016,2.4028
2010,597.5,4.4,18.8,134.4,5.2,161.7,19.8,1.0,48.0,9.6,52.1,9.2,37.6,4.2,10.5,7.8,17.5,51.4,2.2,2.2
2009,618.1304,4.9158,17.6342,148.5334,5.1141,163.6677,20.5734,1.1373,52.4767,10.4369,53.1491,8.7076,36.715,4.1753,10.5346,8.2089,17.3975,49.8592,2.1977,2.696
2008,661.8208,4.8526,22.1751,165.1745,5.0541,169.2028,22.1973,0.7722,58.6385,11.0416,60.0882,7.3945,33.1098,3.4362,10.7962,8.7662,24.5773,49.8023,2.3133,2.4281
2007,718.4366,5.9543,23.2105,182.0547,5.5869,181.4745,24.6431,0.9458,69.0001,11.5859,61.3113,7.6669,34.4403,3.3706,10.1578,8.855,34.312,48.6545,2.2694,2.943
2006,763.6,7.1,25.1,203.9,5.968,184.9229,27.1587,1.1407,77.4333,12.7273,62.066,7.9616,34.116,3.5316,9.997,9.8099,36.0171,48.8479,2.2674,3.6302
2005,809.9329,,,,,,,,,,,,,,,,,,,
2004,897.2,,,,,,,,,,,,,,,,,,,
2003,999.9,,,,,,,,,,,,,,,,,,,
2002,1122.0,,,,,,,,,,,,,,,,,,,
2001,1291.0,,,,,,,,,,,,,,,,,,,
2000,1499.3,,,,,,,,,,,,,,,,,,,
