年份,城镇单位就业人员工资总额,农、林、牧、渔业城镇单位就业人员工资总额,采矿业城镇单位就业人员工资总额,制造业城镇单位就业人员工资总额,电力、燃气及水的生产和供应业城镇单位就业人员工资总额,建筑业城镇单位就业人员工资总额,交通运输、仓储和邮政业城镇单位就业人员工资总额,信息传输、计算机服务和软件业城镇单位就业人员工资总额,批发和零售业城镇单位就业人员工资总额,住宿和餐饮业城镇单位就业人员工资总额,金融业城镇单位就业人员工资总额,房地产业城镇单位就业人员工资总额,租赁和商务服务业城镇单位就业人员工资总额,科学研究、技术服务和地质勘查业城镇单位就业人员工资总额,水利、环境和公共设施管理业城镇单位就业人员工资总额,居民服务和其他服务业城镇单位就业人员工资总额,教育城镇单位就业人员工资总额,卫生、社会保障和社会福利业城镇单位就业人员工资总额,文化、体育和娱乐业城镇单位就业人员工资总额,公共管理和社会组织城镇单位就业人员工资总额
2019,154296.07035,535.11156,3388.18581,30197.49331,4030.11394,14431.71738,7913.85911,7281.12332,7402.16799,1330.4994,10711.31424,4057.44121,5727.16235,5740.51512,1491.21133,520.11005,18445.28742,10812.94916,1628.68932,18651.11833
2018,141479.99653,716.09359,3413.37746,30384.95973,3703.98498,15949.5267,7273.29617,6204.08669,6628.53895,1292.95723,8907.30113,3507.8376,4453.30613,5045.09886,1456.46676,423.82095,15928.09798,8857.78396,1450.66961,15882.79205
2017,129889.05708,949.92536,3208.58113,29740.54944,3406.56067,14283.91645,6754.08248,5198.41448,5980.05759,1211.94847,8295.03605,3059.26096,4176.03878,4491.52202,1394.34232,390.23573,14324.37979,7930.76867,1339.93673,13753.49996
2016,120074.80139,882.13938,3038.12509,29088.87956,3235.7157,13969.18978,6238.68956,4431.75443,5681.1736,1167.90207,7557.28374,2802.10107,3704.27875,4037.26872,1278.22982,357.77599,12787.0716,6825.5582,1204.44119,11787.22314
2015,112007.79029,862.58355,3318.18553,28341.61354,3137.39469,13619.3446,5897.95639,3912.71411,5324.57996,1130.04608,6730.07969,2493.03243,3399.85638,3665.75265,1177.6719,336.09705,11492.13423,5941.32191,1085.99954,10141.42606
2014,102817.23364,808.85772,3728.18988,27011.39011,2965.78454,13389.37459,5435.39691,3375.76313,4931.392,1079.10424,6017.3524,2220.53917,2985.91049,3339.7094,1049.85547,312.90865,9722.46694,5057.82262,936.76558,8448.6498
2013,93064.29104,757.96003,3833.17795,24566.6367,2715.29747,12315.08618,4834.55955,2957.72122,4451.91989,1038.33335,5269.03519,1882.30111,2629.37771,2940.32219,933.65912,277.16388,8721.14073,4397.76942,867.8104,7675.01895
2012,70914.20915,760.8293,3600.67152,17668.07181,1999.62223,7392.68096,3531.50643,1769.43681,3271.27374,824.44459,4668.98183,1271.26085,1531.16203,2259.38003,784.55539,217.10325,7850.99633,3718.45811,735.44338,7058.33056
2011,59954.66188,697.65061,3174.24163,15031.36541,1755.72758,5596.35742,3074.05876,1475.58504,2594.75017,655.21782,4007.01926,1052.54275,1325.28424,1879.5766,659.7924,197.88888,6938.81667,3078.648,642.07024,6118.0684
2010,47269.88554,627.05832,2458.83715,11140.78986,1468.27785,3471.5483,2541.94868,1171.65393,1782.9711,484.64552,3219.02839,745.5819,1198.45181,1619.29322,555.89039,168.4421,6136.53701,2506.40521,543.73504,5428.78976
2009,40288.16311,537.41095,2089.11603,9302.20022,1283.45454,2837.88514,2234.89858,996.2291,1509.21283,418.86999,2658.78758,607.7843,1021.39453,1350.60681,474.31526,146.7806,5338.6051,2095.29746,488.5121,4896.80199
2008,35289.49727,516.42272,1847.29244,8498.91198,1180.36417,2313.61581,2006.30352,862.82857,1323.94447,371.22937,2202.90336,520.84271,893.68098,1154.61445,413.80801,132.11165,4556.0961,1789.25529,429.30578,4275.96589
2007,29471.51498,464.62569,1500.48171,7241.15135,1012.72562,1946.21012,1727.85401,699.07881,1061.80058,314.5891,1670.33723,426.18093,668.89655,923.92359,352.18663,115.82357,3917.20654,1496.56804,378.1238,3553.75111
2006,24262.32307,403.33504,1259.56912,6035.77386,858.00161,1612.06319,1471.53963,587.40948,919.9983,280.04675,1292.92488,338.36544,565.56125,736.91131,289.8295,102.50126,3127.81628,1226.09317,314.85317,2839.72983
2005,20627.06573,368.65081,1031.24673,5056.62724,741.82231,1324.67621,1279.50378,491.82788,831.95536,249.8096,1047.65804,293.00566,449.78882,613.95088,257.345,85.12768,2690.81408,1047.80915,275.81204,2489.63446
2004,17615.0,351.15724,831.84185,4316.44061,646.78144,1081.27447,1144.7214,404.32372,770.51954,221.22808,866.74656,243.2537,351.37772,514.62063,226.12656,71.84477,2346.18587,902.27322,251.54983,2072.72819
2003,15329.6,335.79506,662.86428,3772.65907,551.98525,965.88643,1008.01522,355.97305,696.34488,190.91042,734.41929,202.72319,305.22782,454.43054,202.62472,66.39547,2035.87199,782.07871,217.87602,1787.5627
2002,13638.1,,,,,,,,,,,,,,,,,,,
2001,12205.4,,,,,,,,,,,,,,,,,,,
2000,10954.7,,,,,,,,,,,,,,,,,,,
