年份,国有单位就业人员,农林牧渔业国有单位就业人员,采矿业国有单位就业人员,制造业国有单位就业人员,电力、燃气及水的生产和供应业国有单位就业人员,建筑业国有单位就业人员,交通运输、仓储及邮电通信业国有单位就业人员,信息传输、计算机服务和软件业国有单位就业人员,批发和零售业国有单位就业人员,住宿和餐饮业国有单位就业人员,金融业国有单位就业人员,房地产业国有单位就业人员,租赁和商务服务业国有单位就业人员,科学研究、技术服务和地质勘查业国有单位就业人员,水利、环境和公共设施管理业国有单位就业人员,居民服务和其他服务业国有单位就业人员,教育业国有单位就业人员,卫生、社会保障和社会福利业国有单位就业人员,文化、体育和娱乐业国有单位就业人员,公共管理和社会组织国有单位就业人员
2019,5472.6668,99.9187,14.6673,38.5204,113.7575,80.353,131.8077,19.9251,42.8575,20.9178,89.3298,15.6983,98.5341,150.3006,129.8921,12.3133,1539.9775,835.1081,82.1172,1956.6708
2018,5739.7053,172.6968,17.3326,73.3405,134.066,113.0993,264.1492,24.8522,60.5558,26.0116,125.8255,19.5908,104.1743,182.7225,167.6451,19.3319,1564.7818,786.1659,91.5143,1791.8492
2017,6063.7889,236.1201,33.998,124.0226,159.8527,154.1673,353.0062,26.9094,71.9503,31.6713,143.1214,26.3479,116.7574,206.2385,195.9024,18.4734,1582.3747,773.7853,98.8295,1710.2605
2016,6169.8,242.3079,44.6465,158.8131,176.3136,184.5596,365.9582,33.5182,81.9681,35.237,148.7079,32.1135,118.1237,215.0939,203.944,21.3938,1593.8515,752.4941,102.6321,1658.1111
2015,6208.2666,248.4296,54.7769,180.7503,178.8056,192.9164,373.4437,35.5277,90.7552,37.4087,146.6213,33.1166,120.6104,213.2163,210.7067,21.9676,1607.3302,733.0915,104.4127,1624.3792
2014,6312.3127,262.9289,71.5546,207.7832,192.8591,237.1277,395.1662,37.4633,99.9016,41.8034,146.0564,36.5124,126.0415,224.799,211.9037,22.4546,1602.703,703.9338,106.25,1585.0703
2013,6365.1039,280.2934,97.2183,232.6052,198.9723,267.4925,410.2869,49.486,110.0792,45.7104,147.9215,37.1254,123.5726,223.7352,207.6963,22.8926,1573.8116,672.7438,109.8685,1553.5922
2012,6839.0322,320.4507,256.1776,369.493,218.2822,345.8278,419.4654,65.8464,148.5103,57.6149,151.9275,46.7005,116.7457,232.5047,208.8747,30.3722,1567.1696,639.459,114.9998,1528.6102
2011,6704.1993,340.8638,250.3048,397.7838,214.9892,333.1642,415.8886,67.0002,145.7254,56.3065,146.275,47.6244,127.8681,218.2396,198.0006,30.7387,1540.9383,605.9782,113.8027,1452.7072
2010,6516.4,357.4,234.1,416.5,203.9,278.7,403.3,62.5,137.3,54.6,144.3,45.4,131.5,219.6,189.9,28.9,1517.4,562.6,113.1,1415.6
2009,6420.1597,356.1203,243.6602,437.7856,198.6083,262.6615,413.9202,64.5948,144.208,55.153,145.9902,43.5384,125.4201,209.4175,178.2947,28.2965,1490.6255,529.9225,111.894,1380.0484
2008,6447.0331,392.1177,242.9139,485.4831,203.0746,267.7305,424.4915,63.0176,160.739,56.6239,155.4155,43.5283,125.9144,201.5975,172.7874,28.7749,1481.8651,501.2411,110.9034,1328.8137
2007,6423.5494,406.2816,232.8499,518.0971,202.4426,271.287,431.9623,62.5311,174.0783,58.5588,161.3588,45.1754,120.4783,197.5184,169.7984,28.7446,1462.922,483.1695,111.2898,1285.0055
2006,6430.5,414.2,241.7,554.0,208.7603,262.8375,432.9921,65.5857,186.733,63.8408,165.1013,45.0275,121.0465,193.0188,165.4167,27.721,1448.0119,466.7789,110.1085,1257.5475
2005,6488.199,,,,,,,,,,,,,,,,,,,
2004,6709.9,,,,,,,,,,,,,,,,,,,
2003,6875.6,,,,,,,,,,,,,,,,,,,
2002,7162.9,,,,,,,,,,,,,,,,,,,
2001,7639.9,,,,,,,,,,,,,,,,,,,
2000,8101.9,,,,,,,,,,,,,,,,,,,
