年份,国有单位就业人员平均工资,农、林、牧、渔业国有单位就业人员平均工资,采矿业国有单位就业人员平均工资,制造业国有单位就业人员平均工资,电力、热力、燃气及水生产和供应业国有单位就业人员平均工资,建筑业国有单位就业人员平均工资,交通运输、仓储和邮政业国有单位就业人员平均工资,信息传输、软件和信息技术服务业国有单位就业人员平均工资,批发和零售业国有单位就业人员平均工资,住宿和餐饮业国有单位就业人员平均工资,金融业国有单位就业人员平均工资,房地产业国有单位就业人员平均工资,租赁和商务服务业国有单位就业人员平均工资,科学研究和技术服务业国有单位就业人员平均工资,水利、环境和公共设施管理业国有单位就业人员平均工资,居民服务和其他服务业国有单位就业人员平均工资,教育国有单位就业人员平均工资,卫生和社会工作国有单位就业人员平均工资,文化、体育和娱乐业国有单位就业人员平均工资,公共管理、社会保障和社会组织国有单位就业人员平均工资
2019,98899,36915,89567,88864,103998,56617,84757,106432,111296,55594,137810,75984,69085,127665,64191,76690,103270,114177,110916,94640
2018,89474,35037,81234,78142,97148,57324,88833,95683,92297,54437,118497,72646,65981,112775,56971,66916,93780,101168,97613,88387
2017,81114,35886,71402,77649,91375,55623,83848,82762,81907,50816,109128,67632,62843,99164,51735,61592,84860,92796,87850,80589
2016,72538,33069,61638,71130,83931,52551,75878,77402,74088,46953,102117,62560,58828,89093,47154,54178,75710,82522,79538,71122
2015,65296,31374,59673,64931,80066,49544,70908,69858,69300,43621,100672,55922,55016,80409,42705,49144,67442,73490,73447,62452
2014,57296,27782,59765,61600,74914,46409,65417,63629,64186,40103,94943,50597,49286,73844,38008,45242,56974,64631,64245,53230
2013,52657,25444,56317,54094,68146,43849,59516,60182,55980,36298,87732,45435,46542,69501,35155,41416,52283,59200,59437,49371
2012,48357,22484,58534,47367,58589,40116,54342,57056,47377,33376,82040,43464,44875,64206,32152,37642,47995,53653,54398,46207
2011,43483,19253,53387,43031,53333,36071,47318,50401,41337,28756,74650,43814,39447,60316,28812,36923,43436,47185,48690,42230
2010,38359,16522,44904,36386,47724,31777,40097,46402,35814,23864,66014,33967,33680,53235,25478,32417,39166,41112,42367,38387
2009,34130,14160,38626,31142,42160,27750,34976,42379,30908,21177,56719,30800,30431,47277,23161,28874,34678,36575,38749,35491
2008,30287,12384,35564,27471,38567,23394,31259,38947,25983,19091,52309,27683,27418,42643,21000,26443,29925,33075,34993,32350
2007,26100,10706,29177,23671,33355,20963,27606,36277,21450,16432,43465,25073,23800,36456,18293,21744,25997,28719,31210,27790
2006,21706,9145,24827,20117,28145,18166,23723,32747,18444,14851,34727,21324,20804,30023,15517,20548,21027,24298,26374,22608
2005,18978,,,,,,,,,,,,,,,,,,,
2004,16445,,,,,,,,,,,,,,,,,,,
2003,14358,,,,,,,,,,,,,,,,,,,
2002,12701,,,,,,,,,,,,,,,,,,,
2001,11045,,,,,,,,,,,,,,,,,,,
2000,9441,,,,,,,,,,,,,,,,,,,
