年份,城镇集体单位就业人员平均工资,农、林、牧、渔业城镇集体单位就业人员平均工资,采矿业城镇集体单位就业人员平均工资,制造业城镇集体单位就业人员平均工资,电力、燃气及水的生产和供应业城镇集体单位就业人员平均工资,建筑业城镇集体单位就业人员平均工资,交通运输、仓储和邮政业城镇集体单位就业人员平均工资,信息传输、计算机服务和软件业城镇集体单位就业人员平均工资,批发和零售业城镇集体单位就业人员平均工资,住宿和餐饮业城镇集体单位就业人员平均工资,金融业城镇集体单位就业人员平均工资,房地产业城镇集体单位就业人员平均工资,租赁和商务服务业城镇集体单位就业人员平均工资,科学研究、技术服务和地质勘查业城镇集体单位就业人员平均工资,水利、环境和公共设施管理业城镇集体单位就业人员平均工资,居民服务和其他服务业城镇集体单位就业人员平均工资,教育城镇集体单位就业人员平均工资,卫生、社会保障和社会福利业城镇集体单位就业人员平均工资,文化、体育和娱乐业城镇集体单位就业人员平均工资,公共管理和社会组织城镇集体单位就业人员平均工资
2019,62612,25458,65177,54677,51051,47659,47869,74246,43064,49222,116739,54683,48448,88454,55515,53167,91164,90742,66103,87631
2018,60664,46395,55637,50643,64236,45846,46818,75603,38885,43388,109373,54359,50652,85103,45363,50593,82160,78734,66732,82918
2017,55243,44392,44930,48202,60259,42608,42549,83191,35094,44613,99635,49486,48536,75188,41348,45646,74102,70485,56948,67206
2016,50527,41121,42768,44753,57804,41141,40771,53981,33629,41873,89811,47305,45810,66959,36706,43106,64833,63920,56222,60861
2015,46607,39049,42900,42026,54395,39276,37461,50901,31804,37197,82944,44062,40731,58849,33262,41566,55810,57917,49577,55179
2014,42742,30809,41092,38350,49023,36932,35018,42253,29069,34925,77236,40429,36833,56711,31291,37642,51166,54122,41647,48465
2013,38905,26754,39007,34689,45082,33893,31772,40268,26200,39491,70249,37155,33296,52204,27855,31005,47610,48990,37715,45859
2012,33784,22592,35953,29538,39587,29607,28474,38770,23096,27535,61756,34365,29583,46890,24432,27415,41061,43265,33433,41285
2011,28791,21887,30114,25031,36122,25027,24927,40344,19982,23327,52984,29661,24499,47764,20987,24834,36355,37853,30051,35277
2010,24010,18156,23791,20841,33851,20210,19882,37576,16816,18808,44154,24617,20981,37538,18551,20818,31486,32645,24796,26957
2009,20607,15392,20075,17620,29369,17565,17538,30904,14777,16569,37453,22516,19276,33025,16891,18509,27515,27618,22177,26039
2008,18103,13546,19813,15455,27603,15641,15062,27892,12906,15149,31358,20856,17547,29988,15413,16412,22645,24028,19686,18941
2007,15444,11490,17131,12985,23237,13611,13102,24875,10686,12897,25881,18557,16329,24823,13312,14476,21010,20442,17414,17002
2006,12866,9789,13626,10978,19880,11428,11062,24058,9256,11453,21694,15625,14204,23058,11948,12170,15338,17325,14169,14129
2005,11176,,,,,,,,,,,,,,,,,,,
2004,9723,,,,,,,,,,,,,,,,,,,
2003,8627,,,,,,,,,,,,,,,,,,,
2002,7636,,,,,,,,,,,,,,,,,,,
2001,6851,,,,,,,,,,,,,,,,,,,
2000,6241,,,,,,,,,,,,,,,,,,,
