年份,城镇单位就业人员工资总额,国有城镇单位就业人员工资总额,城镇集体单位就业人员工资总额,其他城镇单位就业人员工资总额,城镇单位就业人员工资总额指数(上年=100),国有城镇单位就业人员工资总额指数(上年=100),城镇集体单位就业人员工资总额指数(上年=100),其他城镇单位就业人员工资总额指数(上年=100)
2019,154296.07035,53743.67829,1841.49,98710.90206,109.058576572189,105.118881435304,88.4345205427639,111.826968173133
2018,141479.99653,51126.5698,2082.32033,88271.1064,108.9,104.6,94.0,112.0
2017,129889.05708,48884.14741,2215.6407,78789.26897,108.2,109.9,97.7,107.4
2016,120074.80139,44462.90308,2268.63368,73343.26463,107.20218752563,110.089685270253,101.30403453024,105.711689620514
2015,112007.79029,40387.8919,2239.43073,69380.46766,108.938731693735,111.857317448336,97.2541437561547,107.720331971182
2014,102817.23364,36106.61584,2302.65842,64407.95938,110.5,108.2,104.9,112.0
2013,93064.29104,33359.58665,2195.77107,57508.93332,131.2,101.2,110.3,159.9
2012,70914.20915,32950.00751,1990.40025,35973.80139,118.3,113.8,114.6,122.9
2011,59954.66188,28954.80775,1737.44207,29262.41206,126.834793854675,116.347792505878,121.184377090871,139.679109554941
2010,47269.88554,24886.4264,1433.71787,20949.74127,117.3,113.8,112.6,122.1
2009,40288.16311,21862.69674,1273.3461,17152.12027,114.2,112.2,105.8,117.5
2008,35289.49727,19487.89587,1203.23022,14598.37118,119.741035688013,116.770292786116,108.582865583086,125.047012365296
2007,29471.51498,16689.0871,1108.12163,11674.30625,121.5,119.9,112.6,124.8
2006,24262.32307,13920.62629,983.7927,9357.90408,117.623529580019,113.252245743062,108.538470873786,125.964518508548
2005,20627.06573,12291.7,906.4,7429.0,117.09963099631,111.356018191372,103.446701666286,130.319615479072
2004,17615.0,11038.2,876.2,5700.6,114.908412483039,111.363108990204,101.049475262369,125.271392783369
2003,15329.6,9911.9,867.1,4550.6,112.402754049318,108.469030422412,100.370413242273,125.147131620923
2002,13638.1,9138.0,863.9,3636.2,111.738247005424,107.313979706877,96.1491374513077,130.250385070029
2001,12205.4,8515.2,898.5,2791.7,111.417017353282,109.945899882503,94.5093089302619,123.57576025851
2000,10954.7,7744.9,950.7,2259.1,107.86537874536,106.241512229249,95.4709781080538,120.801026683065
