年份,私营企业和个体就业人员,制造业私营企业和个体就业人员,建筑业私营企业和个体就业人员,交通运输、仓储和邮政业私营企业和个体就业人员,批发和零售业私营企业和个体就业人员,住宿和餐饮业私营企业和个体就业人员,租赁和商务服务业私营企业和个体就业人员,居民服务和其他服务业私营企业和个体就业人员
2019,40524.4284,5907.3643,2025.5613,1050.53,15390.1748,3294.9221,3388.3453,2552.8116
2018,37412.9919,5775.8418,1765.383,963.6793,14495.1661,2945.1217,3038.4282,2200.2271
2017,34106.9726,5661.7234,1569.0517,808.6139,13265.8922,2688.8334,2722.4737,2037.2347
2016,30859.1526,5424.818,1431.7563,703.802,12252.2515,2218.4503,2329.1804,1761.5797
2015,28077.0593,5236.2469,1317.031,650.3973,11277.0284,1858.8297,2086.8131,1555.4623
2014,24974.9586,5074.2501,1132.6486,629.6181,10131.8301,1547.9307,1598.4779,1400.3622
2013,21857.2979,4778.8607,976.3224,599.2166,8749.3808,1346.1626,1272.5539,1216.7722
2012,19924.4373,4467.8476,840.1518,837.6544,7721.0301,1161.9444,1119.5537,1149.1269
2011,18298.8946,4317.2493,772.6815,511.963,7425.2572,1072.398,970.1475,1083.1876
2010,16425.1404,4170.1576,723.5259,487.6284,6388.4657,996.3678,815.3828,955.9929
2009,15192.3451,3865.9892,633.5622,512.6879,5961.723,916.0043,732.7844,851.0448
2008,13680.3895,3715.5654,563.4409,451.3036,5183.7351,860.1324,613.1048,765.4982
2007,12749.2839,3645.6598,477.3126,443.6731,4771.7078,801.173,525.0162,706.5472
2006,11745.9736,3345.9051,419.3072,421.797,4407.3028,771.252,462.0342,670.2556
2005,10724.6068,2988.0844,379.623,398.8587,4065.8298,720.3381,385.9097,649.6401
2004,9604.3594,2641.9369,324.8118,385.1269,3671.2285,688.0486,285.4268,591.2213
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
