年份,城镇单位就业人员,农林牧渔业城镇单位就业人员,采矿业城镇单位就业人员,制造业城镇单位就业人员,电力、热力、燃气及水生产和供应业城镇单位就业人员,建筑业城镇单位就业人员,交通运输、仓储和邮政业城镇单位就业人员,信息传输、软件和信息技术服务业城镇单位就业人员,批发和零售业城镇单位就业人员,住宿和餐饮业城镇单位就业人员,金融业城镇单位就业人员,房地产业城镇单位就业人员,租赁和商务服务业城镇单位就业人员,科学研究和技术服务业城镇单位就业人员,水利、环境和公共设施管理业城镇单位就业人员,居民服务、修理和其他服务业城镇单位就业人员,教育业城镇单位就业人员,卫生和社会工作城镇单位就业人员,文化、体育和娱乐业城镇单位就业人员,公共管理、社会保障和社会组织城镇单位就业人员
2019,17161.7786,134.0931,367.693,3832.0304,373.1169,2270.4989,815.4941,455.2578,830.0475,265.2268,826.062,510.2621,660.3662,434.3238,244.4517,86.3239,1909.3201,1006.2298,151.162,1989.8185
2018,17258.1976,192.617,414.4315,4178.3095,369.1863,2710.8716,819.0015,424.2577,823.2771,269.8464,699.2985,466.0072,529.5228,411.5301,260.6323,77.4059,1735.5819,912.3741,146.5829,1817.4633
2017,17643.8348,255.4087,455.3768,4635.4597,376.9568,2643.2096,843.8919,395.3927,842.7934,265.9378,688.8064,444.7774,522.5646,420.4109,268.4986,78.2342,1730.3682,897.9367,152.2395,1725.5709
2016,17888.0734,263.2208,490.9177,4893.8403,387.6131,2724.7293,849.5076,364.0667,874.9994,269.7453,665.166,431.7379,488.4125,419.5578,269.5962,75.3757,1729.2418,866.9874,150.7728,1672.5851
2015,18062.4914,269.9788,545.7799,5068.7033,396.0086,2795.9982,854.3893,349.8697,883.3214,276.1231,606.8346,417.3414,474.0413,410.5829,273.3293,75.1831,1736.468,841.6482,149.0884,1637.8019
2014,18277.7776,284.5982,596.4913,5243.1393,403.6541,2921.1787,861.43,336.2732,888.569,289.2857,566.2963,402.2447,449.4463,408.0405,269.1186,75.4145,1727.326,810.4272,145.519,1599.325
2013,18108.4467,294.8334,636.45,5257.9395,404.5408,2921.8986,846.2153,327.3117,890.8129,304.3938,537.9393,373.7341,421.8913,387.7646,259.195,72.3342,1687.2273,770.0266,146.9503,1566.988
2012,15236.3715,338.8566,631.0219,4262.1887,344.5578,2010.2586,667.5203,222.7996,711.845,265.0548,527.7677,273.7129,292.285,330.6752,243.7831,62.1331,1653.3788,719.2776,137.7422,1541.5126
2011,14413.3014,359.519,611.5975,4088.3267,334.6917,1724.7782,662.7893,212.7591,647.4884,242.7382,505.3243,248.5833,286.5836,298.4714,230.3493,59.8548,1617.7726,679.0566,134.9854,1467.632
2010,13051.5034,375.7384,562.037,3637.1514,310.5096,1267.5144,631.1113,185.7708,535.088,209.2175,470.0814,211.6302,310.065,292.2915,218.9109,60.2479,1581.7543,632.5394,131.3736,1428.4708
2009,12573.035,373.6812,553.6854,3491.8986,307.6687,1177.4855,634.3697,173.8119,520.843,202.1188,449.0479,190.9221,290.495,272.5885,205.6635,58.822,1550.3524,595.7664,129.5161,1394.2983
2008,12192.5243,410.0886,540.3942,3434.2617,306.5086,1072.5783,627.2575,159.4985,514.353,193.2473,417.5503,172.678,274.6931,257.0449,197.2912,56.5306,1533.9899,563.6075,125.9592,1334.9919
2007,12024.4285,426.3086,535.0372,3465.3607,303.4119,1050.7825,623.0512,150.2277,506.8584,185.8073,389.7128,166.4653,247.2289,243.3867,193.4645,57.3878,1520.9106,542.8019,125.0123,1291.2122
2006,11713.1713,435.2472,529.6735,3351.6145,302.5425,988.6725,612.7345,138.1913,515.7284,183.9052,367.3915,153.9451,236.7468,235.4549,187.0049,56.5556,1504.4142,525.4252,122.3566,1265.5669
2005,11404.0343,446.257,509.2003,3210.8988,299.9465,926.5889,613.8734,130.0994,544.0421,181.2498,359.2851,146.5131,218.5369,227.7311,180.3923,53.9313,1483.2458,508.9034,122.5177,1240.8214
2004,11098.8867,466.0662,500.7109,3050.8231,300.578,841.0337,631.8494,123.7118,586.7311,177.1273,356.0244,133.4288,194.4262,222.1258,176.1198,54.2406,1466.785,494.687,123.3825,1199.0351
2003,10969.6966,484.5416,488.2573,2980.4919,297.5674,833.711,636.5174,116.8199,628.1474,172.1152,353.335,120.2293,183.4884,221.8738,172.5387,52.7894,1442.7715,485.7919,127.7504,1170.9591
2002,10985.2,,,,,,,,,,,,,,,,,,,
2001,11165.8,,,,,,,,,,,,,,,,,,,
2000,11612.5,,,,,,,,,,,,,,,,,,,
