年份,城镇登记失业人数,城镇登记失业率
2019,945,3.62
2018,974,3.8
2017,972,3.9
2016,982,4.02
2015,966,4.05
2014,952,4.09
2013,926,4.05
2012,917,4.1
2011,922,4.1
2010,908,4.1
2009,921,4.3
2008,886,4.2
2007,830,4.0
2006,847,4.1
2005,839,4.2
2004,827,4.2
2003,800,4.3
2002,770,4.0
2001,681,3.6
2000,595,3.1
