年份,其他单位就业人员平均工资,农、林、牧、渔业其他单位就业人员平均工资,采矿业其他单位就业人员平均工资,制造业其他单位就业人员平均工资,电力、燃气及水的生产和供应业其他单位就业人员平均工资,建筑业其他单位就业人员平均工资,交通运输、仓储和邮政业其他单位就业人员平均工资,信息传输、计算机服务和软件业其他单位就业人员平均工资,批发和零售业其他单位就业人员平均工资,住宿和餐饮业其他单位就业人员平均工资,金融业其他单位就业人员平均工资,房地产业其他单位就业人员平均工资,租赁和商务服务业其他单位就业人员平均工资,科学研究、技术服务和地质勘查业其他单位就业人员平均工资,水利、环境和公共设施管理业其他单位就业人员平均工资,居民服务和其他服务业其他单位就业人员平均工资,教育其他单位就业人员平均工资,卫生、社会保障和社会福利业其他单位就业人员平均工资,文化、体育和娱乐业其他单位就业人员平均工资,公共管理和社会组织其他单位就业人员平均工资
2019,87195,48960,91358,78238,110144,66747,100067,164030,88574,49899,130804,80820,93715,137290,57804,57702,72214,81282,104755,77153
2018,79453,48844,81701,72181,102353,61332,89064,151050,80589,47656,133812,75747,92189,132685,57156,51456,79022,79240,101118,52761
2017,71304,43907,69792,64271,90026,56291,78523,136988,71190,45068,128781,69743,89619,117092,55535,47177,66762,69649,88709,54082
2016,65531,39606,60802,59278,84245,52725,72883,127198,65237,42862,125115,66112,85638,105510,52119,45060,59216,63362,81552,50677
2015,60906,38153,59729,55162,78327,49442,68138,117076,60433,40436,123640,60976,82287,100210,49130,43131,55937,60027,72093,45462
2014,56485,35689,62481,51163,72330,46367,62749,105724,55971,36830,117537,56459,78859,93884,46682,40752,51494,54309,65926,38391
2013,51453,34310,61475,46297,66489,42476,57720,96618,50700,33400,109161,52052,74632,87590,43213,37738,47194,50173,60288,34486
2012,46360,27612,57001,41453,58293,36476,53592,90839,47882,30827,97706,47983,65637,83362,37466,33992,43473,45020,51217,28113
2011,41323,23851,52703,36360,52377,32097,48362,81005,42596,27313,88882,43183,60406,76446,33331,30287,38912,38803,44958,23891
2010,35801,21359,44907,30609,47164,27522,43176,74178,35109,23505,77445,37102,50179,67716,30217,25536,35282,34672,37107,21392
2009,31350,19456,38640,26617,41931,24325,37883,68067,30717,21064,67574,33311,45078,61697,27154,22877,32663,30579,32898,17849
2008,28552,17400,34246,24401,38968,21767,36041,65686,28358,19800,62044,31556,43406,57827,26869,20566,31211,28831,29567,21586
2007,24271,14686,28291,21210,34314,18825,30892,56392,23594,17780,51553,27004,37443,48861,23390,21014,27494,24600,25384,13994
2006,21004,12677,24513,18394,29663,16780,27578,53807,19959,15922,42687,23181,34514,40707,20388,17410,23099,21225,22712,11765
2005,18362,,,,,,,,,,,,,,,,,,,
2004,16519,,,,,,,,,,,,,,,,,,,
2003,14843,,,,,,,,,,,,,,,,,,,
2002,13486,,,,,,,,,,,,,,,,,,,
2001,12437,,,,,,,,,,,,,,,,,,,
2000,11238,,,,,,,,,,,,,,,,,,,
