年份,其他单位就业人员,农林牧渔业其他单位就业人员,采矿业其他单位就业人员,制造业其他单位就业人员,电力、燃气及水的生产和供应业其他单位就业人员,建筑业其他单位就业人员,交通运输、仓储及邮电通信业其他单位就业人员,信息传输、计算机服务和软件业其他单位就业人员,批发和零售业其他单位就业人员,住宿和餐饮业其他单位就业人员,金融业其他单位就业人员,房地产业其他单位就业人员,租赁和商务服务业其他单位就业人员,科学研究、技术服务和地质勘查业其他单位就业人员,水利、环境和公共设施管理业其他单位就业人员,居民服务和其他服务业其他单位就业人员,教育业其他单位就业人员,卫生、社会保障和社会福利业其他单位就业人员,文化、体育和娱乐业其他单位就业人员,公共管理和社会组织其他单位就业人员
2019,11393.4902,31.0162,349.8718,3761.9875,256.0916,2095.4224,675.2296,434.6456,774.2759,241.2566,727.2675,484.6542,535.5927,279.7107,109.5591,70.778,331.6423,137.922,67.5006,29.0659
2018,11171.0941,18.3639,393.0334,4066.542,232.207,2480.9866,545.5774,398.8356,744.9303,239.9754,540.3898,439.1735,402.0724,224.8986,85.0372,54.7989,147.9186,79.9981,53.7454,22.61
2017,11174.0268,17.4776,413.6371,4458.6538,213.9031,2356.0544,478.6594,367.7121,749.6302,230.0326,503.71,411.0214,378.1107,209.9881,62.5878,55.9761,129.0651,73.1692,51.7266,12.9115
2016,11264.9,18.9654,436.8538,4668.5118,207.8031,2391.0922,469.8138,329.9515,765.0601,229.6492,471.5403,391.6449,341.226,199.9107,55.0082,49.7783,116.4063,63.2731,46.2952,12.1566
2015,11372.7799,19.4201,480.337,4813.5753,213.3941,2448.4134,466.1518,313.6066,760.8713,233.2679,413.7291,376.1881,321.6617,192.5703,51.7009,48.3249,108.273,57.0295,42.8311,11.4338
2014,11428.7546,19.0966,511.6686,4947.4379,206.7723,2510.3375,448.9014,298.0258,753.62,240.7863,373.2702,356.8094,287.4063,177.8177,46.0508,47.2843,102.4478,51.5627,37.3403,12.1187
2013,11177.1725,12.066,523.4252,4927.9266,201.365,2472.8361,416.976,276.9482,742.4295,248.6938,341.295,328.3303,260.2018,158.492,40.8264,44.0651,91.6233,43.3207,35.0475,11.304
2012,7807.6719,13.4217,354.246,3778.9591,121.1493,1479.4466,230.3175,155.7012,522.4053,198.1396,325.7275,218.2889,141.8179,92.7515,24.3175,25.6781,67.2098,27.2576,20.2441,10.5927
2011,7106.0404,14.6395,340.8841,3566.423,114.2109,1204.2307,229.4057,144.4545,455.0073,176.4593,308.8567,192.3879,126.8664,76.4985,21.5415,23.1157,57.7478,21.6222,19.1667,12.522
2010,5937.6,14.0,309.1,3086.2,101.4,827.1,208.0,122.3,349.9,145.1,273.7,157.1,140.9,68.6,18.5,23.5,46.8,18.6,16.2,10.7
2009,5534.7449,12.6451,292.391,2905.5796,103.9463,751.1563,199.8761,108.0798,324.1583,136.5289,249.9086,138.6761,128.3599,58.9957,16.8342,22.3166,42.3294,15.9847,15.4244,11.5539
2008,5083.6704,13.1183,275.3052,2783.6041,98.3799,635.645,180.5687,95.7087,294.9755,125.5818,202.0466,121.7552,115.6689,52.0112,13.7076,18.9895,27.5475,12.5641,12.7425,3.7501
2007,4882.4425,14.0727,278.9768,2765.2089,95.3824,598.021,166.4458,86.7508,263.78,115.6626,167.0427,113.623,92.3103,42.4977,13.5083,19.7882,23.6766,10.9779,11.4531,3.2637
2006,4519.0677,13.9488,262.8596,2593.7468,87.8142,540.9121,152.5837,71.4649,251.5621,107.3371,140.2242,100.956,81.5843,38.9045,11.5912,19.0247,20.3852,9.7984,9.9807,4.3892
2005,4105.9024,,,,,,,,,,,,,,,,,,,
2004,3491.8,,,,,,,,,,,,,,,,,,,
2003,3094.3,,,,,,,,,,,,,,,,,,,
2002,2700.3,,,,,,,,,,,,,,,,,,,
2001,2234.9,,,,,,,,,,,,,,,,,,,
2000,2011.3,,,,,,,,,,,,,,,,,,,
