年份,非金融企业部门实物交易资金来源_净出口,非金融企业部门实物交易资金来源_增加值,非金融企业部门实物交易资金来源_劳动者报酬,非金融企业部门实物交易资金来源_工资及工资性收入,非金融企业部门实物交易资金来源_单位社会保险付款,非金融企业部门实物交易资金来源_生产税净额,非金融企业部门实物交易资金来源_生产税,非金融企业部门实物交易资金来源_生产补贴,非金融企业部门实物交易资金来源_财产收入,非金融企业部门实物交易资金来源_利息,非金融企业部门实物交易资金来源_红利,非金融企业部门实物交易资金来源_地租,非金融企业部门实物交易资金来源_其他财产收入,非金融企业部门实物交易资金来源_初次分配总收入,非金融企业部门实物交易资金来源_经常转移,非金融企业部门实物交易资金来源_收入税,非金融企业部门实物交易资金来源_社会保险缴款,非金融企业部门实物交易资金来源_社会保险福利,非金融企业部门实物交易资金来源_社会补助,非金融企业部门实物交易资金来源_其他经常转移,非金融企业部门实物交易资金来源_可支配总收入,非金融企业部门实物交易资金来源_最终消费,非金融企业部门实物交易资金来源_居民消费,非金融企业部门实物交易资金来源_政府消费,非金融企业部门实物交易资金来源_总储蓄,非金融企业部门实物交易资金来源_资本转移,非金融企业部门实物交易资金来源_投资性补助,非金融企业部门实物交易资金来源_其他资本转移,非金融企业部门实物交易资金来源_资本形成总额,非金融企业部门实物交易资金来源_固定资本形成总额,非金融企业部门实物交易资金来源_存货增加,非金融企业部门实物交易资金来源_其他非金融资产获得减处置,非金融企业部门实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,576074.860916639,,,,,,,27679.1740027168,21073.6583743777,6475.12513610328,,130.390492235776,204713.634635044,1991.08515848744,,,,,1991.08515848744,173908.566987857,,,,173908.566987857,11745.6665216678,11745.6665216678,,,,,,
2017,,507106.965567504,,,,,,,27913.0248309905,20614.7736885982,7180.55085029657,,117.700292095701,167271.588810734,1337.6312867158,,,,,1337.6312867158,138998.671399896,,,,138998.671399896,9884.90494472952,9884.90494472952,,,,,,
2016,,439384.591811445,,,,,,,24849.6793654709,20020.1911436883,4696.13702785384,,133.351193928747,142007.613667875,1587.03132872388,,,,,1587.03132872388,118441.705944903,,,,118441.705944903,9002.0361225834,9002.0361225834,,,,,,
2015,,407653.516130301,,,,,,,24602.6863252556,20403.2742265747,4068.78645902498,,130.625639655861,135612.556730654,1254.13972129963,,,,,1254.13972129963,113178.219303534,,,,113178.219303534,8750.59887493405,8750.59887493405,,,,,,
2014,,392751.112892648,,,,,,,26991.1949080344,22932.7149879464,3955.747196,,102.732724087957,137142.339830423,1233.18712417162,,,,,1233.18712417162,116262.28649402,,,,116262.28649402,8161.87595243448,8161.87595243448,,,,,,
2013,,359277.103957086,,,,,,,23497.6303375777,21041.5027556356,2378.76448709011,,77.363094852072,120826.027838797,1287.20098708682,,,,,1287.20098708682,100204.353552716,,,,100204.353552716,7707.34359611097,7707.34359611097,,,,,,
2012,,306220.341533832,,,,,,,24761.5448948394,22839.4651392211,1857.60589413788,,64.4738614803713,97023.4707350675,1161.5780945014,,,,,1161.5780945014,78875.930407055,,,,78875.930407055,6622.54401217583,6622.54401217583,,,,,,
2011,,274841.146288061,,,,,,,21175.5482939094,19571.9001411125,1541.729575596,,61.9185772008848,94853.9304400471,1069.75901367445,,,,,1069.75901367445,78990.4669392526,,,,78990.4669392526,6219.44472476208,6219.44472476208,,,,,,
2010,,232106.166869459,,,,,,,16296.2862861201,14839.255097355,1397.99882463,,59.0323641351089,83385.8162807897,949.728910031015,,,,,949.728910031015,72069.1741817417,,,,72069.1741817417,5174.52257056832,5174.52257056832,,,,,,
2009,,197392.610105609,,,,,,,14822.8858859334,8001.57292389614,6765.51707766,,55.7958843772338,73275.1793525282,969.421389887403,,,,,969.421389887403,64171.0845933083,,,,64171.0845933083,3817.29234893689,3817.29234893689,,,,,,
2008,,185950.296025578,,,,,,,15378.7589506666,8315.88298858571,6983.3466657,,79.5292963808937,74609.2433198227,1350.96753041491,,,,,1350.96753041491,65450.9350834667,,,,65450.9350834667,3162.56915715007,3162.56915715007,,,,,,
2007,,156038.441900456,,,,,,,12696.1717791386,5838.25391445139,6778.17087080911,,79.7469938780988,61525.4716431709,835.254194934308,,,,,835.254194934308,54207.9565469659,,,,54207.9565469659,2507.65918760924,2507.65918760924,,,,,,
2006,,128211.363216244,,,,,,,9012.3881034365,4198.73123306021,4786.55392937905,,27.1029409972343,48192.5576485574,687.987235546541,,,,,687.987235546541,42687.1070711785,,,,42687.1070711785,1965.08540190759,1965.08540190759,,,,,,
2005,,110125.329586251,,,,,,,6214.51461068321,2545.89965666881,3656.75409281317,,11.860861201224,41532.178197499,632.40060579443,,,,,632.40060579443,36987.8694527441,,,,36987.8694527441,1781.96573481963,1781.96573481963,,,,,,
2004,,95328.0156627965,,,,,,,4494.87265471101,2241.54244480742,2249.125549104,,4.20466079958795,36979.3359197073,563.861090234594,,,,,563.861090234594,33246.6593306427,,,,33246.6593306427,1494.47405628342,1494.47405628342,,,,,,
2003,,78679.2106714256,,,,,,,3632.92005224795,1918.62270078795,1682.59735146,,31.7,27132.2810882806,466.021150712957,,,,,466.021150712957,24339.0906503602,,,,24339.0906503602,4037.37053745726,4037.37053745726,,,,,,
2002,,69966.7392711227,,,,,,,3019.77748813311,1723.38879604311,1276.70869209,,19.68,23666.4874617846,390.343447821453,,,,,390.343447821453,21313.6204929304,,,,21313.6204929304,3651.56240519552,3651.56240519552,,,,,,
2001,,62691.5598882715,,,,,,,2502.65084506089,1726.33855576089,752.5622893,,23.75,21617.6812430769,311.368190639646,,,,,311.368190639646,19327.1857411158,,,,19327.1857411158,3442.76057631822,3442.76057631822,,,,,,
2000,,55402.6897680759,,,,,,,2817.05494041068,1778.58673173868,1022.318208672,,16.15,18529.9248805589,279.202196466742,,,,,279.202196466742,17152.6790137463,,,,17152.6790137463,2934.10519232725,2934.10519232725,,,,,,
