年份,贷方资本和金融项目,贷方资本项目,贷方金融项目,贷方金融项目中直接投资,贷方金融项目中我国在外直接投资,贷方金融项目中外国在华直接投资,贷方金融项目中证券投资,贷方金融项目中证券投资资产,贷方金融项目中证券投资的股本证券资产,贷方金融项目中证券投资的债务证券资产,贷方金融项目中证券投资的(中)长期债务证券资产,贷方金融项目中证券投资的货币市场工具债务证券资产,贷方金融项目中证券投资负债,贷方金融项目中证券投资的股本证券负债,贷方金融项目中证券投资的债务证券负债,贷方金融项目中证券投资的(中)长期债券证券负债,贷方金融项目中证券投资的货币市场工具债券证券负债,贷方金融项目中其它投资,贷方金融项目中其它投资资产,贷方金融项目中其它投资的贸易信贷资产,贷方金融项目中其它投资的长期贸易信贷资产,贷方金融项目中其它投资的短期贸易信贷资产,贷方金融项目中其它投资的贷款资产,贷方金融项目中其它投资的长期资产贷款,贷方金融项目中其它投资的短期贷款资产,贷方金融项目中其它投资的货币和存款资产,贷方金融项目中其它投资的其它资产,贷方金融项目中其它投资的中长期其它资产,贷方金融项目中其它投资的短期其它资产,贷方金融项目中其它投资的负债,贷方金融项目中其它投资的贸易信贷负债,贷方金融项目中其它投资长期贸易信贷负债,贷方金融项目中其它投资短期贸易信贷负债,贷方金融项目中其它投资贷款负债,贷方金融项目中其它投资长期贷款负债,贷方金融项目中其它投资短期贷款负债,贷方金融项目中其它投资货币和存款负债,贷方金融项目中其它投资的其它负债,贷方金融项目中其它投资的长期其它负债,贷方金融项目中其它投资的短期其它负债
2019,,21802.773332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,29680.113103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,22747.39384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,31794.027105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,51225.765574,-4906711.8806247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,257298723.937374,193949.788672,257104774.148702,43523028.4662085,5552935.076112,37970093.3900965,16644609.2537055,2932630.0550248,1703526.209057,1229103.8459678,1227886.3909498,1217.455018,13711979.1986807,7767338.61455069,5944640.58413001,4971290.42125192,973350.162878097,196937136.428788,9948717.22993659,2820628.23,56412.5645999999,2764215.6654,1770437.29952399,,1770437.29952399,5142184.23265735,215467.467755244,,215467.467755244,186988419.198851,1535822.8957,26876.90067475,1508945.99502525,174641304.901332,5114284.789451,169527020.111881,9940539.63354328,870751.768275999,637502.080156999,233249.688119
2013,175275300.0,445220.788948,174830100.0,38056100.0,3640164.479595,31144709.560091,10581700.0,2576007.21893932,1356293.312888,1219713.90605132,1219623.82605132,90.08,7838731.00291239,4068432.82186565,3770298.18104674,2038747.83604358,1731550.34500316,126192200.0,14388899.758671,648000.0,12960.0,635040.0,3739213.7793,1000000.0,2739213.7793,8902860.02637803,1098825.95299299,1000000.0,98825.9529929916,112676228.70948,4493653.7,78638.93975,4415014.76025,94926478.6884496,5692646.023828,89233832.6646216,12075960.9034337,1180135.41759712,213086.699418116,967048.718179
2012,137832172.032841,454978.578235,137377193.454606,30788666.324721,2335394.2347,28453272.090021,8294148.0827676,2366884.29622906,1198400.332483,1168483.96374606,1096683.33258106,71800.631164999,5927263.78653854,3484652.02199267,2442611.76454587,1745503.38782627,697108.376719606,98294379.0471171,14016800.9910105,41000.0000000002,820.000000000005,40180.0000000002,2438477.85748436,4341.37408436474,2434136.4834,10265852.0391507,1271471.09437546,0.0,1271471.09437546,84277578.0561066,5030000.0,88025.0,4941975.0,64798144.3242,5426124.1,59372020.2242,13394119.5272667,1055314.20463992,473931.934639915,581382.27
2011,144947429.808728,562053.396959,144385376.411769,33159171.0742215,1740744.4861,31418426.5881215,5194699.27461244,2549388.35450763,1122893.492927,1426494.86158063,1374149.7038526,52345.1577280227,2645310.92010482,1519553.5014674,1125757.41863742,614962.926942332,510794.491695084,106031506.062935,10007910.0507904,0.0,0.0,0.0,607117.312619172,76726.5021191723,530390.810499999,4141956.46569743,5258836.27247377,0.0,5258836.27247377,96023596.0121447,4542691.0,77515.365,4465175.635,73430894.1964,5384660.91,68046233.2864,17194554.4091494,855456.406595264,243376.274395264,612080.1322
2010,116665184.154006,481538.699768,116183645.454238,27298656.2273448,760682.1384,26537974.0889448,6358455.89453916,2682442.50687,1146958.646764,1535483.860106,1280995.4575,254488.402606,3676013.38766916,3452780.38766916,223233.0,223218.0,15.0,82526533.3323545,7496587.02066098,46430.0419591314,3250.10293713919,43179.9390219922,1970054.814277,0.0,1970054.814277,3032079.21556863,2448022.94885622,0.0,2448022.94885622,75029946.3116935,5826955.14438232,407886.860106762,5419068.28427556,58598471.69,2636637.68,55961834.01,10382092.5588464,222426.918464771,7087.17336477104,215339.7451
