年份,贷方经常项目,贷方经常项目中货物和服务,贷方经常项目中货物,贷方经常项目中服务,贷方经常项目中运输服务,贷方经常项目中旅游服务,贷方经常项目中通讯服务,贷方经常项目中建筑服务,贷方经常项目中保险服务,贷方经常项目中金融服务,贷方经常项目中计算机和信息服务,贷方经常项目中专有权利使用费和特许费,贷方经常项目中咨询服务,贷方经常项目中广告、宣传服务,贷方经常项目中电影、音像服务,贷方经常项目中其它商业服务,贷方经常项目中别处未提及的政府服务,贷方经常项目中收益,贷方经常项目中职工报酬收益,贷方经常项目中投资收益,贷方经常项目中经常转移,贷方经常项目中各级政府经常转移,贷方经常项目中其它部门经常转移
2019,290509428.828879,264337692.873495,239901777.344425,24435915.5290704,4617313.8302416,3583179.93003584,,1443160.443395,480017.143991,390704.847462,3494750.646731,,,,,6920071.27161,158685.157145,,1425778.265452,21976011.401408,,,
2018,292571289.788836,265100960.21689,241744280.560576,23356679.6563141,4230379.2764585,4038550.12950258,,1355114.288352,492700.817224,333501.728829,3002320.919534,,,,,6615805.396998,175729.181985,,1810918.777432,22674562.5107038,,,
2017,274501540.469623,242927735.620539,221621379.803465,21306355.8170739,3729126.3644738,3855913.72019415,,1225052.044874,406083.159363,343172.40674,2686040.182433,,,,,5930644.904275,169939.92661,,2169850.22565,26517489.9672535,,,
2016,245464100.0,219792200.0,198951900.0,20840400.0,3382713.3238309,4443158.35110657,,1266061.235068,406379.09285,317418.310459,2543248.766012,,,,,5795671.081746,121171.445293,,2688327.88938,19837423.4641974,,,
2015,261929038.042932,236015245.23091,214275341.64523,21739903.5856799,3859433.2045605,4496871.86755237,,1665246.475479,497629.520292,233440.641088,2454893.949086,,,,,5840286.251294,106417.340441,,3310467.586187,18926849.8006887,,,
2014,274340101.992969,246290203.066111,224376127.899721,21914075.1663907,3824277.8006402,4404368.06590045,181237.62204,1535496.503677,457414.646242,453091.552879,2017291.477551,67638.192365,4292292.084776,496352.056172,17483.671917,6889510.365029,105429.070026,21296122.159742,2991050.059304,20946178.988688,4112669.878866,164237.50908,3948432.369786
2013,259272953.908967,235559473.779811,214858893.510943,20700580.2688677,3764565.88633,5166400.0,166592.4717,1066303.5032,399616.6614,318508.1328,1543251.5183,88667.0295,4053562.7763,490609.93,14715.9448,5723500.94571667,122763.2156,18397300.0,1779010.5219,16618305.4402,5316164.167056,112422.822143,5203741.344913
2012,239329618.629888,217509201.237637,197351641.282449,20157559.9551878,3891216.45115,5002800.0,179336.132,1224591.8921,332923.0463,188597.42488081,1445350.7907,104410.2041,3344709.9618,475090.1986,12557.892,5102253.65615,99004.341,16044149.0773404,1706562.3287,14997142.0105154,5116713.053035,86340.300184,5030372.752851
2011,228966729.40376,208982959.059746,190382058.474323,18600900.585423,3556989.85376,4846400.0,172637.4653,1472434.4474,301772.0866,84936.065013,1218205.8938,74330.1698,2839141.8729,401793.8052,12277.6176,3544704.30065,75277.0074,14426758.8406662,1656837.1453,12769921.6953663,5557011.503347,1582.4,5555429.103347
2010,193552775.686627,174358255.464511,158141748.195748,16216507.2687634,3421051.14567,4581400.0,122006.8028,1449468.6429,172690.5784,133112.343580418,925634.4959,83048.3814,2276960.0894,288524.5976,12291.4773,2654855.746813,95462.967,14242447.4559709,1363604.0942,12878843.3617709,4952072.766145,118720.401736,4833352.364409
2009,148416965.855942,133327358.426498,120379786.929708,12947571.49679,2356894.26986,3967500.0,119826.3118,946279.1887,160301.5295,35643.1675,651170.9446,42945.252,1862250.0332,231255.1508,9726.3302,2468827.68353,94951.6351,10825087.6294,920948.9821,9904138.6473,4264519.800044,90550.05092,4173969.749124
