省份编码,省份,年份,经营单位所在地进出口总额(千美元),经营单位所在地出口总额(千美元),经营单位所在地进口总额(千美元)
110000,北京市,2019,416456751.987,75050912.309,341405839.678
110000,北京市,2018,412487938.0,74079276.0,338408661.0
110000,北京市,2017,324017423.0,58565988.0,265451435.0
110000,北京市,2016,282348960.0,52022843.0,230326117.0
110000,北京市,2015,319440570.0,54666817.0,264773752.0
110000,北京市,2014,415518593.0,62338417.0,353180176.0
110000,北京市,2013,428995812.0,63097561.0,365898251.0
110000,北京市,2012,408107320.0,59632089.0,348475229.0
110000,北京市,2011,389555977.0,58997146.0,330558831.0
110000,北京市,2010,301721548.0,55436211.0,246285337.0
110000,北京市,2009,214733053.0,48379320.0,166353730.0
110000,北京市,2008,271692899.0,57499609.0,214193290.0
110000,北京市,2007,192999761.0,48926394.0,144073367.0
110000,北京市,2006,158036627.717,37953978.576,120082649.141
110000,北京市,2005,125506425.27,30865900.635,94640524.635
110000,北京市,2004,94575725.0,20569256.0,74006469.0
110000,北京市,2003,68500170.0,16886820.0,51613350.0
110000,北京市,2002,52505290.0,12613860.0,39891420.0
110000,北京市,2001,51541310.0,11786870.0,39754440.0
110000,北京市,2000,49621890.0,11968130.0,37653760.0
120000,天津市,2019,106645670.761,43791830.049,62853840.712
120000,天津市,2018,122557291.0,48809159.0,73748132.0
120000,天津市,2017,112919165.0,43561054.0,69358110.0
120000,天津市,2016,102655947.0,44278694.0,58377253.0
120000,天津市,2015,114282803.0,51162928.0,63119875.0
120000,天津市,2014,133886075.0,52590658.0,81295417.0
120000,天津市,2013,128501788.0,49004938.0,79496850.0
120000,天津市,2012,115634270.0,48312563.0,67321709.0
120000,天津市,2011,103376166.0,44481941.0,58894225.0
120000,天津市,2010,82100050.0,37484826.0,44615224.0
120000,天津市,2009,63831234.0,29892720.0,33938520.0
120000,天津市,2008,80400836.0,42102991.0,38297846.0
120000,天津市,2007,71449733.0,38074052.0,33375681.0
120000,天津市,2006,64461939.796,33490775.912,30971163.884
120000,天津市,2005,53276804.464,27380880.827,25895923.637
120000,天津市,2004,42028606.0,20851752.0,21176854.0
120000,天津市,2003,29342440.0,14349400.0,14993040.0
120000,天津市,2002,22811400.0,11631690.0,11179720.0
120000,天津市,2001,18172090.0,9492110.0,8679980.0
120000,天津市,2000,17154000.0,8625780.0,8528220.0
130000,河北省,2019,58043282.178,34380936.832,23662345.346
130000,河北省,2018,53900873.0,33976043.0,19924830.0
130000,河北省,2017,49855543.0,31357403.0,18498140.0
130000,河北省,2016,46675380.0,30575538.0,16099842.0
130000,河北省,2015,51513748.0,32932763.0,18580985.0
130000,河北省,2014,59877359.0,35710195.0,24167163.0
130000,河北省,2013,54911571.0,30960609.0,23950962.0
130000,河北省,2012,50563060.0,29598202.0,20964853.0
130000,河北省,2011,53600835.0,28569849.0,25030986.0
130000,河北省,2010,42060370.0,22556443.0,19503927.0
130000,河北省,2009,29627252.0,15688900.0,13938350.0
130000,河北省,2008,38420533.0,24004121.0,14416412.0
130000,河北省,2007,25523410.0,17000406.0,8523009.0
130000,河北省,2006,18530877.341,12833995.61,5696881.731
130000,河北省,2005,16070353.327,10924298.623,5146054.704
130000,河北省,2004,13525851.0,9339259.0,4186592.0
130000,河北省,2003,8978250.0,5927540.0,3050710.0
130000,河北省,2002,6665250.0,4594110.0,2071140.0
130000,河北省,2001,5737310.0,3955590.0,1781720.0
130000,河北省,2000,5238620.0,3710000.0,1528620.0
140000,山西省,2019,20981625.39,11690223.621,9291401.769
140000,山西省,2018,20762372.0,12270849.0,8491523.0
140000,山西省,2017,17186875.0,10195611.0,6991263.0
140000,山西省,2016,16661411.0,9932190.0,6729222.0
140000,山西省,2015,14681315.0,8420768.0,6260547.0
140000,山西省,2014,16232813.0,8940869.0,7291944.0
140000,山西省,2013,15790979.0,7995574.0,7795405.0
140000,山西省,2012,15043110.0,7016041.0,8027068.0
140000,山西省,2011,14743057.0,5425124.0,9317933.0
140000,山西省,2010,12576225.0,4702815.0,7873410.0
140000,山西省,2009,8569032.0,2837460.0,5731580.0
140000,山西省,2008,14395057.0,9253116.0,5141940.0
140000,山西省,2007,11579483.0,6532492.0,5046991.0
140000,山西省,2006,6627098.994,4139625.021,2487473.973
140000,山西省,2005,5545654.903,3528493.916,2017160.987
140000,山西省,2004,5382487.0,4034468.0,1348019.0
140000,山西省,2003,3090130.0,2272020.0,818110.0
140000,山西省,2002,2311540.0,1661610.0,649930.0
140000,山西省,2001,1940980.0,1468240.0,472740.0
140000,山西省,2000,1764380.0,1236870.0,527510.0
150000,内蒙古自治区,2019,15939467.297,5468323.701,10471143.596
150000,内蒙古自治区,2018,15690267.0,5746596.0,9943671.0
150000,内蒙古自治区,2017,13873523.0,4877962.0,8995560.0
