省份编码,省份,年份,外商投资企业数(户),外商投资企业投资总额(百万美元),外商投资企业注册资本(百万美元),外方外商投资企业注册资本(百万美元)
110000,北京市,2019,32201,599560.56,378248.34,253160.81
110000,北京市,2018,32306,547718.41,344428.74,237884.01
110000,北京市,2017,31442,486408.6,312359.58,217418.36
110000,北京市,2016,30401,427370.6,275521.82,189487.32
110000,北京市,2015,29396,380962.6,245657.7,172233.79
110000,北京市,2014,28041,201026.52,119161.14,92347.72
110000,北京市,2013,27061,177104.68,105851.03,82817.69
110000,北京市,2012,26535,149355.19,90704.27,73883.39
110000,北京市,2011,25672,134364.27,80326.55,64648.73
110000,北京市,2010,24853,119205.82,71477.14,57861.05
110000,北京市,2009,23293,106600.0,62500.0,50700.0
110000,北京市,2008,22485,98294.71,56307.79,45642.44
110000,北京市,2007,13237,87621.43,48034.69,37900.64
110000,北京市,2006,12064,69700.0,36600.0,
110000,北京市,2005,10980,60670.0,32440.0,
110000,北京市,2004,9890,53162.0,29030.0,
110000,北京市,2003,9185,46328.1331,25603.4807,
110000,北京市,2002,9172,45495.13,25210.49,
110000,北京市,2001,8818,42924.58,23830.16,
110000,北京市,2000,8495,40245.78,21737.54,
120000,天津市,2019,15290,310543.6485,220062.1871,153673.3515
120000,天津市,2018,15089,290619.5568,204125.8642,140549.6115
120000,天津市,2017,13938,254822.8606,176258.5503,127641.6214
120000,天津市,2016,13339,222593.9671,148472.724,109238.3279
120000,天津市,2015,12278,181327.9329,112017.7348,88106.4727
120000,天津市,2014,11507,144145.5621,82485.6588,67445.964
120000,天津市,2013,11413,127422.8594,72073.5781,59878.2141
120000,天津市,2012,11491,118912.5874,64949.3687,54302.918
120000,天津市,2011,11850,114806.3674,64764.4656,54403.4848
120000,天津市,2010,12918,109623.5865,62044.1798,52111.6891
120000,天津市,2009,12288,97700.0,54900.0,46100.0
120000,天津市,2008,14536,93813.64,53254.15,45353.45
120000,天津市,2007,11429,82887.93,46373.01,39063.63
120000,天津市,2006,10753,68600.0,36300.0,
120000,天津市,2005,10933,56770.0,33280.0,
120000,天津市,2004,9938,47044.8,27506.0,
120000,天津市,2003,9792,41554.64,24520.27,
120000,天津市,2002,9020,36528.57,20343.12,
120000,天津市,2001,9473,34154.01,19050.0,
120000,天津市,2000,9942,33085.9,18509.61,
130000,河北省,2019,9700,158991.2277,78947.3754,64126.194
130000,河北省,2018,8255,108665.4575,52080.876,39687.6567
130000,河北省,2017,7956,95818.1184,46749.8186,35372.6794
130000,河北省,2016,7286,84821.2891,42651.266,31984.2262
130000,河北省,2015,6867,73624.129,38034.1801,28029.3255
130000,河北省,2014,6811,62134.5555,31065.3264,22545.8633
130000,河北省,2013,6832,54541.9798,27227.9731,19779.2313
130000,河北省,2012,7426,48959.94,25749.92,18894.8
130000,河北省,2011,8817,45699.78,24155.85,17718.62
130000,河北省,2010,9531,40347.93,21662.86,15873.62
130000,河北省,2009,9559,37000.0,19900.0,14100.0
130000,河北省,2008,10536,33841.44,18754.4,12936.37
130000,河北省,2007,3696,29113.1088,16059.7255,10469.1773
130000,河北省,2006,3819,24700.0,14100.0,
130000,河北省,2005,3637,21930.0,12450.0,
130000,河北省,2004,3497,20057.0,10628.0,
130000,河北省,2003,3454,17519.24,9791.69,
130000,河北省,2002,3396,15476.71,8815.96,
130000,河北省,2001,3621,14783.73,8565.03,
130000,河北省,2000,3812,14009.71,8290.18,
140000,山西省,2019,3520,70136.3396,36197.5696,20601.3322
140000,山西省,2018,3381,63011.2256,32620.0847,18739.5776
140000,山西省,2017,3437,49724.4875,26199.1846,13647.752
140000,山西省,2016,3699,42163.2654,22940.4832,11135.3408
140000,山西省,2015,3606,41106.8401,22763.3349,10858.056
140000,山西省,2014,3531,39119.1879,22295.8024,10178.6064
140000,山西省,2013,3535,34181.5546,19907.4418,8921.9188
140000,山西省,2012,3623,31963.0424,18667.5663,8328.263
140000,山西省,2011,3849,31898.6737,13950.9734,8396.7008
140000,山西省,2010,3665,22928.8817,11128.4638,6933.1666
140000,山西省,2009,3535,20500.0,10100.0,6400.0
140000,山西省,2008,2168,17999.99,9199.34,5167.93
140000,山西省,2007,779,17786.71,8797.59,5408.3
140000,山西省,2006,905,11100.0,6000.0,
140000,山西省,2005,776,7710.0,4030.0,
140000,山西省,2004,705,6913.0,3473.0,
140000,山西省,2003,760,6119.36,3122.21,
140000,山西省,2002,773,5768.85,2974.91,
140000,山西省,2001,827,4934.93,2532.99,
140000,山西省,2000,959,4827.49,2559.67,
150000,内蒙古自治区,2019,3504,58420.61,20817.43,13727.84
150000,内蒙古自治区,2018,3511,44853.21,19536.41,12767.52
150000,内蒙古自治区,2017,3453,45979.37,20725.99,13286.93
150000,内蒙古自治区,2016,3362,41080.03,19695.27,12585.59
150000,内蒙古自治区,2015,2967,35142.12,17301.06,10615.94
150000,内蒙古自治区,2014,3036,26449.3308,12285.6733,8341.2872
150000,内蒙古自治区,2013,2925,22911.3713,10843.6821,7296.7647
150000,内蒙古自治区,2012,3114,25802.1297,13503.5809,10428.8244
150000,内蒙古自治区,2011,3601,25519.0551,13560.8389,10510.5312
150000,内蒙古自治区,2010,3693,23242.6597,12239.9822,9101.1924
150000,内蒙古自治区,2009,3675,24000.0,13500.0,9500.0
150000,内蒙古自治区,2008,2326,22155.2655,11265.482,7633.5736
150000,内蒙古自治区,2007,1071,17148.46,8601.63,5789.49
150000,内蒙古自治区,2006,1030,14800.0,7500.0,
150000,内蒙古自治区,2005,914,12640.0,6270.0,
150000,内蒙古自治区,2004,847,10811.0,5581.0,
150000,内蒙古自治区,2003,923,3836.05,2205.18,
150000,内蒙古自治区,2002,805,2423.22,1699.34,
150000,内蒙古自治区,2001,778,2217.23,1537.7,
150000,内蒙古自治区,2000,874,2536.34,1717.73,
210000,辽宁省,2019,15996,402829.6432,228390.7537,182880.5018
210000,辽宁省,2018,17028,377494.209,216936.9777,176329.9168
210000,辽宁省,2017,16883,315850.0095,175406.9678,139076.1243
210000,辽宁省,2016,16949,213278.4412,131848.25,105738.8925
210000,辽宁省,2015,17745,206639.4788,126352.0437,102899.9116
210000,辽宁省,2014,17091,198641.1781,120353.7487,98613.058
210000,辽宁省,2013,17250,183206.8437,113599.2032,92761.7771
210000,辽宁省,2012,17960,185563.7881,117130.6995,96255.1973
210000,辽宁省,2011,18164,165969.1434,105769.5797,86489.3508
210000,辽宁省,2010,18377,147615.2217,97535.1958,80150.7543
210000,辽宁省,2009,19893,131800.0,84900.0,69300.0
210000,辽宁省,2008,22321,124755.8313,80127.1977,64206.181
210000,辽宁省,2007,14739,108766.6717,68123.946,53902.0357
210000,辽宁省,2006,16405,94500.0,59700.0,
210000,辽宁省,2005,16542,81500.0,49530.0,
210000,辽宁省,2004,14858,67915.0,40207.0,
210000,辽宁省,2003,13814,73501.317528,38688.042766,
210000,辽宁省,2002,13642,66408.37,43001.75,
210000,辽宁省,2001,13158,63797.12,40464.72,
210000,辽宁省,2000,13146,65542.53,39626.28,
220000,吉林省,2019,4118,64297.1793,28648.7031,22269.6204
220000,吉林省,2018,4018,49008.8737,23310.6178,17899.1971
220000,吉林省,2017,4044,38873.5649,14201.5591,8813.0684
220000,吉林省,2016,3853,35605.6089,12060.0262,7607.75
220000,吉林省,2015,4437,35230.2831,16692.3941,10354.0388
220000,吉林省,2014,4370,33327.5749,15783.1078,9666.8542
220000,吉林省,2013,4350,31778.5353,15333.437,9316.4116
220000,吉林省,2012,4298,23889.7475,13023.2408,8704.8113
220000,吉林省,2011,4327,23253.0164,13017.3638,8744.3022
220000,吉林省,2010,4309,22258.7104,12299.4227,8426.0769
220000,吉林省,2009,4203,19300.0,10600.0,7900.0
220000,吉林省,2008,4158,17489.3049,9795.4669,6832.3907
220000,吉林省,2007,1963,31334.0753,16510.8406,10253.6598
220000,吉林省,2006,2358,30800.0,16200.0,
220000,吉林省,2005,2488,20710.0,6920.0,
220000,吉林省,2004,2370,19351.0,6035.0,
220000,吉林省,2003,2690,18264.8,5678.99,
220000,吉林省,2002,2541,17912.27,5456.62,
220000,吉林省,2001,2753,8098.07,5525.61,
220000,吉林省,2000,2747,7660.98,5277.17,
230000,黑龙江省,2019,5296,46046.1031,28764.3928,19195.3781
230000,黑龙江省,2018,5028,42747.3787,25906.1991,17700.7127
230000,黑龙江省,2017,4444,33668.6245,20039.4754,14829.6958
230000,黑龙江省,2016,4227,28280.4653,14910.0789,11037.3905
230000,黑龙江省,2015,4149,22301.994,12685.2251,9651.1837
230000,黑龙江省,2014,5016,23983.4625,14343.1339,10950.3743
230000,黑龙江省,2013,4924,22794.2733,13107.237,9607.7931
230000,黑龙江省,2012,5039,22246.7736,12788.4849,9450.9115
230000,黑龙江省,2011,5426,20941.1216,12246.5939,9231.2588
230000,黑龙江省,2010,5814,19617.4294,12045.9759,9070.7818
230000,黑龙江省,2009,5957,18100.0,10900.0,8100.0
230000,黑龙江省,2008,5901,16169.6758,9913.9903,7409.0836
230000,黑龙江省,2007,2464,14489.39,8891.63,6356.23
230000,黑龙江省,2006,2408,13700.0,8500.0,
230000,黑龙江省,2005,2288,10980.0,6880.0,
230000,黑龙江省,2004,2202,9466.0,5739.0,
230000,黑龙江省,2003,2243,8123.28,4942.7,
230000,黑龙江省,2002,2067,7468.13,4393.97,
230000,黑龙江省,2001,2980,7650.08,5217.22,
