年份,能源消费总量,煤炭占能源消费总量的比重,石油占能源消费总量的比重,天然气占能源消费总量的比重,一次电力及其他能源占能源总量的比重,煤炭消费量,焦炭消费量,原油消费量,汽油消费量,煤油消费量,柴油消费量,燃料油消费量,天然气消费量,电力消费量
2019,487000,57.7,18.9,8.1,15.3,,,,,,,,,
2018,471925,59.0,18.9,7.6,14.5,397452.0,43717.0,63004.33,13055.3,3653.51,16409.56,4536.07,2817.09,71508.2
2017,455827,60.6,18.9,6.9,13.6,391403.0,43743.0,59402.17,12296.27,3326.36,16916.54,4887.3,2393.69,65913.97
2016,441492,62.2,18.7,6.1,13.0,388820.0,45462.0,57125.93,11866.04,2970.71,16839.04,4631.04,2078.06,61205.09
2015,434113,63.8,18.4,5.8,12.0,399834.0,44059.0,54788.28,11368.46,2663.71,17360.31,4662.01,1931.75,58019.98
2014,428334,65.8,17.3,5.6,,413633.0,46885.0,51596.95,9776.37,2335.42,17165.29,4355.47,1870.63,57829.69
2013,416913,,,,,424426.0,45852.0,48652.15,9366.35,2164.07,17150.65,3953.97,1705.37,54203.41
2012,402138,,,,,411727.0,44805.0,46678.92,8165.9,1956.6,16966.04,3683.28,1497.0,49762.64
2011,387043,,,,,388961.0,42063.0,43965.84,7595.95,1816.72,15635.1,3662.8,1341.07,47000.88
2010,360648,,,,,349008.0,38703.0,42874.55,6956.2,1765.17,14699.0,3758.02,1080.24,41934.49
2009,336126,,,,,325003.0,36350.0,38128.59,6172.69,1450.49,13551.43,2828.8,895.2,37032.14
2008,320611,,,,,281095.916334544,29900.2347483708,35498.2393286467,6145.51587460373,1294.00864732,13532.5829883634,3237.15365699,812.937593249446,34541.349261948
2007,311442,,,,,272745.8771903,29168.12,34031.5956350014,5519.09239606569,1243.7168508463,12496.6734822751,4157.48720496416,705.226662682212,32711.805248
2006,286467,,,,,255065.45380085,27892.766199,32245.1989894,5242.54556012126,1124.7385143,11835.4284889788,4368.327625,561.410722718288,28587.9708534968
2005,261369,,,,,243375.0,25106.0,30088.94,4854.91,1076.84,10974.94,4244.16,466.08,24940.32
2004,230281,,,,,207561.289571842,18067.008466,28749.31,4695.71732980092,1060.858962,9895.85885159262,4783.47383852962,396.721748044876,21971.373311
2003,197083,,,,,180587.044053596,15298.466,24922.0019827586,4072.02081649485,921.610477024354,8409.43267147053,4220.53302015243,339.08,19031.5997314456
2002,169577,,,,,152282.659478801,12343.616,22544.05,3749.31780412371,919.204337251723,7666.85815690381,3873.86873867676,291.84358974359,16465.4486686391
2001,155547,,,,,144528.107296188,11931.461,21342.74,3597.56868314815,890.27,7157.968,3850.22,274.3,14723.46
2000,146964,,,,,135690.0,10841.0,21232.01,3504.56,871.61,6806.23,3872.75,245.03,13472.38
