年份,煤进口量,焦炭进口量,原油进口量,汽油进口量,柴油进口量,煤油进口量,燃料油进口量,液化石油气进口量,其它石油制品进口量,天然气进口量,电力进口量,煤出口量,焦炭出口量,原油出口量,汽油出口量,柴油出口量,煤油出口量,燃料油出口量,液化石油气出口量,其它石油制品出口量,天然气出口量,电力出口量
2019,29952.4540585,,50567.6037748,,,,,,,,,602.5057259,652.259178,81.0025936,,,,,,,,
2018,28189.0,,46189.0,,,,,,,,,493.0,976.0,263.0,,,,,,,,
2017,27090.0,1.0,41957.0,2.0,376.0,75.0,1357.0,1922.0,2396.0,946.0,64.0,817.0,809.0,486.0,1051.0,1313.0,1719.0,1109.0,132.0,338.0,35.0,195.0
2016,25543.0,,38101.0,21.0,352.0,92.0,1174.0,1679.0,2067.0,746.0,62.0,879.0,1012.0,294.0,969.0,1310.0,1540.0,986.0,132.0,367.0,34.0,189.0
2015,20406.176189,,33550.0304734,17.0,348.0,43.0,1540.0,1244.0,2063.0,611.0,62.0,533.3677887,985.4067939,286.5567368,589.0,1237.0,716.0,1052.0,144.0,348.0,33.0,187.0
2014,29120.0629277,0.08,30837.4527391,3.38,414.12,47.37,1784.56,739.39,1677.16,591.3,67.5,574.1546904,850.7112605,60.0193262,507.53,1066.5,410.47,947.69,144.42,343.0,26.09,181.58
2013,32702.0,3.0,28174.0,0.0,669.0,27.0,2347.0,452.0,1924.0,525.0,75.0,751.0,467.0,162.0,469.0,917.0,278.0,1135.0,35.0,315.0,27.0,187.0
2012,28841.0,7.6,27103.0,,90.93,620.84,2683.18,358.51,1547.58,420.58,68.74,928.0,102.0,243.0,291.68,185.42,745.06,1161.69,128.23,328.09,28.9,176.53
2011,22220.0,12.0,25378.0,3.0,233.0,618.0,2684.0,350.0,1648.0,312.0,66.0,1466.0,330.0,252.0,406.0,202.0,656.33,1227.0,119.0,459.0,32.0,193.0
2010,16310.0,11.0,23768.0,133.0,180.0,487.0,2299.0,327.0,1731.0,165.0,56.0,1910.0,335.0,303.0,517.0,464.0,605.0,990.0,93.0,386.0,40.0,190.894
2009,12584.0,15.92,20365.0,4.44,183.64,611.85,2407.2,408.03,1153.21,76.34,60.06,2240.0,54.0,507.0,491.9,450.71,594.16,862.41,84.89,305.43,32.09,173.86
2008,4034.0,,17888.0,198.69,624.45,647.8,2186.08,259.24,665.97,46.04,38.42,4543.0,1221.0,424.0,203.35,63.05,536.44,731.66,67.85,418.64,32.45,166.4444
2007,5101.59,,16316.01,22.7,162.14,524.34,2417.07,405.43,688.9,40.2,42.51,5317.0,1529.93,389.0,464.27,66.05,448.07,379.72,33.8,416.15,26.0,145.66
2006,3810.5,,14517.0,6.09,70.52,560.89,2799.33,535.56,443.36,9.5,53.9,6327.3,1446.75,633.72,351.0,77.58,371.09,258.07,15.1,472.99,29.0,122.7
2005,2617.1,0.5,12681.7,,53.2,328.3,2608.6,617.0,443.4,,50.1,7172.4,1276.4,806.7,560.0,147.6,268.7,230.0,2.7,473.0,29.7,111.9
2004,1861.4,0.54,12272.0,,274.92,282.0,3059.22,641.0,384.21,,34.0,8666.36,1501.2,549.16,540.71,63.65,205.0,181.69,3.19,360.68,24.4,94.76
2003,1109.77,0.17,9102.01,,84.85,210.27,2395.45,636.74,432.14,,29.8,9402.89,1472.11,813.33,754.24,224.0,201.69,76.14,2.4,261.84,,103.39
2002,1081.0,,6941.0,,47.72,214.53,1659.66,626.16,384.32,,23.0,8384.0,1357.0,766.0,612.0,124.0,170.0,64.0,5.6,246.0,,97.0
2001,249.0,,6026.0,0.02,27.47,201.89,1823.6,488.86,201.31,,17.98,9012.0,1385.0,755.0,572.46,25.62,182.22,44.09,2.09,325.48,,101.92
2000,212.0,,7027.0,0.03,25.94,255.47,1480.0,481.74,161.46,,15.46,5505.0,1520.0,1031.0,455.18,55.48,198.88,33.37,1.6,280.48,,98.78
