年份,平均每天能源消费量,平均每天煤炭消费量,平均每天焦炭消费量,平均每天原油消费量,平均每天燃料油消费量,平均每天汽油消费量,平均每天煤油消费量,平均每天柴油消费量,平均每天天然气消费量,平均每天电力消费量
2019,,,,,,,,,,
2018,1292.9,1088.9,119.8,172.6,12.4,35.8,10.0,45.0,7.7,195.9
2017,1248.8,1072.3,119.8,162.7,13.4,33.7,9.1,46.3,6.6,180.6
2016,1206.3,1062.4,124.2,156.1,12.7,32.4,8.1,46.0,5.7,167.2
2015,1189.4,1095.4,120.7,150.1,12.8,31.1,7.3,47.6,5.3,159.0
2014,1173.5,1133.2,128.5,141.4,11.9,26.8,6.4,47.0,5.1,158.4
2013,1142.22744002036,1162.81079732139,125.621575073632,133.293563310208,10.8327993079611,25.6612442588143,5.92894823344637,46.9880693457494,4.67224328956487,148.502482317812
2012,1098.7,1124.9,122.4,127.5,10.0911892957814,22.3,5.3,46.4,4.10137885897785,136.0
2011,1060.3921028017,1065.64683880223,115.241870433191,120.454357830756,10.0350714536668,20.8108263445599,4.97731270303079,42.8359037987438,3.67417122255806,128.769530438494
2010,988.076341555006,956.187012391156,106.035049038249,117.464522214318,10.2959333189855,19.0580894101818,4.83609303854849,40.2712289749809,2.95957317886726,114.889008577965
2009,840.13,810.5,87.26,104.46,7.75,16.91,3.94,37.69,2.45,101.46
2008,796.3,768.0,81.7,97.0,8.8,16.8,3.5,37.0,2.2,94.4
2007,768.5,747.2,79.9,93.2,11.4,15.1,3.4,34.2,1.9,89.6
2006,708.7,698.8,76.4,88.3,12.0,14.4,3.1,32.4,1.5,78.3
2005,716.080533042202,666.78202381544,68.7831259780822,82.4354504108428,11.6278251034629,13.3011242535618,2.95025646540418,30.0683190018596,1.2769332567884,68.329642061218
2004,556.786345686452,530.399993678755,47.3068738338203,78.765233969863,13.1054125021453,12.8650951531996,2.90646168694389,27.110017798743,1.08689582427526,60.1955455767575
2003,479.31955815074,463.649441390967,39.7363258077275,68.279463547377,11.5630947895277,11.1562140688064,2.52495472959209,23.0404376593854,0.928993279096765,52.1413697634968
2002,415.881066306333,387.946657534247,33.8183150684931,61.756301369863,10.6133424657534,10.2731506849315,2.51835616438356,21.0058904109589,0.799561643835616,45.1108219178082
2001,392.326843813861,369.863150684932,30.1348767123288,58.4732602739726,10.5485479452055,9.85684931506849,2.43909589041096,19.4730136986301,0.751506849315069,40.3382465753425
2000,401.540977135658,370.736756263722,29.6195519125683,58.010956284153,10.5812841530055,9.575298354521,2.38144808743169,18.5962553133425,0.66948087431694,36.809781420765
