年份,煤炭可供量,煤炭生产量,进口煤炭量,出口煤炭量(-),年初年末煤炭库存差额,煤炭能源消费量,农、林、牧、渔业煤消费总量,工业煤炭消费总量,建筑业煤炭消费总量,交通运输、仓储和邮政业煤炭消费总量,批发和零售业、住宿和餐饮业煤消费总量,其他煤消费总量,居民生活煤总量,煤炭终端消费量,工业终端煤炭消费量,中间消费(用于加工转换),火力发电中间消费煤炭,供热中间消费煤炭,炼焦中间消费煤炭,煤制油中间消费煤炭,制气中间消费煤炭,洗选损耗煤炭,煤炭平衡差额
2019,,,,,,,,,,,,,,,,,,,,,,,
2018,394848.0,369774.0,28210.0,494.0,-2642.0,397452.0,2363.0,380696.0,650.0,321.0,2686.0,3021.0,7714.0,81171.0,64415.0,303986.0,205197.0,32388.0,61603.0,2497.0,2010.0,12295.0,-2604.0
2017,383480.0,352356.0,27093.0,809.0,4839.0,391403.0,2834.0,371160.0,733.0,353.0,3461.0,3580.0,9283.0,92841.0,72598.0,285325.0,193925.0,28983.0,58910.0,1568.0,1663.0,13237.0,-7924.0
2016,378494.0,341060.0,25555.0,879.0,12758.0,388820.0,2778.0,367435.0,805.0,404.0,3826.0,4081.0,9492.0,101569.0,80183.0,272512.0,182666.0,26577.0,60649.0,1105.0,1212.0,14740.0,-10326.0
2015,397074.0,374654.0,20406.0,534.0,2547.0,399834.0,2625.0,378190.0,878.0,492.0,3864.0,4159.0,9627.0,112975.0,91331.0,267061.0,179568.0,24115.0,60874.0,679.0,1320.0,19798.0,-2760.0
2014,411834.0,387392.0,29122.0,574.0,-4106.0,413633.0,2479.0,392567.0,914.0,558.0,3767.0,4046.0,9303.0,112804.0,91738.0,277954.0,189525.0,22445.0,63944.0,650.0,858.0,22875.0,-1800.0
2013,425015.0,397432.0,32702.0,751.0,-4368.0,424426.0,2451.0,403157.0,811.0,615.0,3966.0,4136.0,9290.0,119491.0,98222.0,282355.0,195177.0,22710.0,62536.0,459.0,846.0,22579.0,589.0
2012,418654.0,394513.0,28841.0,927.0,-3772.0,411727.0,2266.0,391191.0,767.0,614.0,3752.0,3883.0,9253.0,118957.0,98421.0,266016.0,183531.0,23780.0,56768.0,378.0,849.0,26754.0,6928.0
2011,393058.0,376444.0,22236.0,1467.0,-4155.0,388961.0,2207.0,368916.0,797.0,646.0,3572.0,3612.0,9212.0,120647.0,100602.0,252691.0,175579.0,19334.0,56060.0,346.0,870.0,15623.0,4097.0
2010,355578.0,342845.0,18307.0,1911.0,-3663.0,349008.0,2147.0,329728.0,731.0,639.0,3192.0,3412.0,9159.0,114826.0,95546.0,222948.0,153742.0,17553.0,49950.0,213.0,1040.0,11235.0,6569.0
2009,301283.8,297300.0,12584.0,2239.6,-6360.6,295833.1,1582.1,279888.5,635.6,640.9,1977.9,1986.1,9121.9,83700.5,67755.9,212132.6,143967.3,15359.7,43691.7,,1150.7,7765.5,5450.7
2008,275061.074058064,280200.0,4034.06,4543.42,-4629.565941936,281095.923490866,1522.573405,265574.196031871,603.1816,665.41,1791.389,1791.56256,9147.61089399536,81089.1925718008,65567.4651128055,200006.736703866,135351.71510328,15029.224701472,41461.65739277,,1227.209875,6757.84536061919,-6034.85521760298
2007,265543.5316657,269164.27,5101.59,5318.72,-3403.60833430001,272745.900226654,1519.572405,256202.772037611,615.33543,735.9,1868.27476,2043.4316,9760.61287830397,79676.632628654,63133.50555535,193069.267598,130548.79898,15394.21104,39658.9931,,1491.8425,5754.62272799999,-7202.36856095388
2006,251336.2525423,252855.12,3810.52,6327.2584,997.870942300004,255065.460584411,1502.6025156646,238510.226722952,651.99340455716,769.9331058,1791.455934,1802.898947472,10036.3410702038,77532.6203186976,60977.395341,177532.840265714,118763.91324875,14561.433415534,37450.094799,,1257.075,5279.3048984298,-3729.20804211128
2005,235508.0,236515.0,2622.0,7173.0,3545.0,243375.0,1802.0,224766.0,604.0,811.0,2627.0,2727.0,10039.0,86386.0,67776.0,152208.0,103663.0,13542.0,33446.0,,1277.0,4782.0,-7868.0
2004,205294.16385,212261.08,1861.4,8666.36,-161.956150000002,207561.292261,1425.8344,191864.98,571.5344,827.99,1471.786548,1630.97047,9768.196443,72459.042261,56762.73,135102.25,91961.56,11546.56,26149.58,,1316.43,3883.89,-2267.12841100001
2003,174691.82,183489.87,1109.77,9402.89,-504.93,180587.0444,1078.331,166207.477214283,527.15,958.3334,1360.42,1450.62,9004.71,60399.7744,46020.21,120187.27,81976.47,10895.45,23639.86,,1054.81,2699.3,-5895.22439999999
2002,146644.78,155040.03,1125.74,8389.56,-1131.43,152282.663,936.023,139042.35,513.55,851.96,1259.08,1267.06,8412.64,53254.543,40014.23,99028.12,68600.03,8973.73,18624.72,,973.2,1917.46,-5637.883
2001,139554.67,147152.65,266.02,9012.87,1148.87,144528.108,899.748,131446.25,504.98,841.28,1260.87,1164.73,8410.25,54239.778,41157.92,90288.33,59797.86,8951.49,17936.37,,1002.07,2650.54,-4973.438
2000,131895.0,138418.0,218.0,5506.0,-1235.0,135690.0,1051.0,121807.0,537.0,882.0,1461.0,1495.0,8457.0,50511.0,36628.0,81987.0,55811.0,8794.0,16496.0,,960.0,3191.0,-3795.0
