年份,电力可供量,电力生产量,水电生产电力量,火电生产电力量,核电生产电力量,风电生产电力量,电力进口量,电力出口量,电力能源消费总量,农、林、牧、渔业电力消费总量,工业电力消费总量,建筑业电力消费总量,交通运输、仓储和邮政业电力消费总量,批发和零售业、住宿和餐饮业电力消费总量,其他电力消费总量,居民生活电力消费总量,电力终端消费量,工业终端电力消费量,输配电损失量
2019,,,,,,,,,,,,,,,,,,,
2018,71509.1515257349,71661.3323921249,12317.870852,50963.182876,2943.585425,3659.71238160632,56.88237399,209.06324038,71508.1958301245,1242.52701037,49094.9115961343,887.82349597,1608.4972599,2900.39659038,5716.48780316,10057.5520458445,68156.4815377045,45743.19733307,3351.71429242
2017,65914.00158233,66044.46744,11978.651527,47545.950323,2480.702211,2972.296235,64.22920773,194.6950654,65913.96916414,1175.12042978,46052.8416304815,789.22239393,1417.98256923611,2526.6450876,4880.58874321,9071.56783301,62718.14326312,42857.01584138,3195.82590102
2016,61204.380522,61331.600522,11840.475661,44370.6848,2132.8735,2370.7037,61.85,189.07,61205.09,1091.91,42996.889763115,725.62,1251.4896257982,2323.78,4394.8,8420.6,58142.16,39933.96,3062.93
2015,58021.29,58145.73,11302.7,42841.88,1707.89,1857.66,62.1,186.54,58019.98,1039.83,41549.990498809,698.67,1125.61049983655,2122.04,3918.63,7565.21,55032.12,38562.13,2987.86
2014,57830.488881,57944.568881,10728.824384,44001.107947,1325.38,1599.785674,67.5,181.58,57829.69,1013.39,42248.7100152048,721.67,1059.24004223215,1995.6,3614.98,7176.1,54729.81,39148.83,3099.88
2013,54204.06,54316.37,9202.91,42470.09,1116.13,1411.97,74.38,186.69,54203.41,1026.87,39236.8806232892,675.07,1000.9194839318,1876.89,3397.62,6989.16,51062.7,36096.17,3140.71
2012,49767.74,49875.53,8721.07,38928.14,973.94,959.78,68.74,176.53,49762.64,1012.57,36232.2072451329,608.4,915.369159901984,1691.49,3083.64,6218.96,46866.48,33336.05,2896.16
2011,47002.74,47130.19,6989.45,38337.02,863.5,703.31,65.62,193.07,47000.88,1012.9,34691.5535087205,571.82,848.415894938898,1503.08,2753.05,5620.06,44300.18,31990.85,2700.7
2010,41936.46,42071.6,7221.72,33319.28,738.8,446.22,55.45,190.59,41934.49,976.49,30871.7696292073,483.24,734.52894836,1292.0,2451.83,5124.63,39366.25,28303.53,2568.24
2009,37032.7,37146.5,6156.4,29827.8,701.3,,60.1,173.9,37032.2,939.9,26854.5,421.9,617.0,1136.8,2189.9,4872.2,34773.9,24596.3,2258.2
2008,34540.8,34668.8,5851.9,27900.8,683.9,,38.42,166.44,34541.4,887.1,25388.6,367.3,571.8,1017.4,1913.0,4396.1,32403.5,23250.8,2137.9
2007,32712.38,32815.53,4852.64,27229.33,621.3,,42.51,145.66,32711.805248,878.955248,24290.81,309.0,531.91,929.82,1708.6,4062.71,30650.095248,22229.1,2061.71
2006,28588.44,28657.26,4357.86,23696.03,548.43,,53.89,122.71,28587.971714,827.040394,21267.74,271.04985,467.373739496842,847.25,1555.94,3351.58147,26729.141714,19408.91,1858.83
2005,24940.77,25002.6,3970.17,20473.36,530.88,,50.11,111.94,24940.3193791124,776.329758,18521.69,233.93,430.3396211124,752.31,1340.91,2884.81,23233.849758,16815.22,1706.47
2004,21972.34,22033.1,3535.44,17955.88,504.69,,34.0,94.76,21971.377115,768.87,16424.29,202.14,449.649828,705.353788,1036.581312,2384.488383,20550.777115,15003.69,1420.6
2003,19032.16,19105.75,2836.81,15803.61,433.42,,29.8,103.39,19031.6,693.15,14169.68,179.78,406.94,612.97,911.04,2058.04,17770.92,12909.0,1260.68
2002,16465.96,16540.0,2879.74,13381.36,251.27,,23.0,97.04,16465.45,606.23,12402.16,154.14,302.998668639053,500.0,728.5,1771.42,15296.79,11233.5,1168.66
2001,14724.09,14808.02,2774.32,11834.25,174.72,,17.98,101.91,14723.46,582.39,10944.66,154.91,309.32,459.89,663.06,1609.23,13689.99,9911.19,1033.47
2000,13472.68,13556.0,2224.14,11141.86,167.37,,15.46,98.78,13472.38,532.96,10004.62,159.77,281.2,418.68,623.2,1451.95,12535.67,9067.91,936.7
