年份,煤油消费总量,农、林、牧、渔业煤油消费总量,工业煤油消费总量,采矿业煤油消费总量,煤炭开采和洗选业煤油消费总量,石油和天然气开采业煤油消费总量,黑色金属矿采选业煤油消费总量,有色金属矿采选业煤油消费总量,非金属矿采选业煤油消费总量,开采专业及辅助性活动煤油消费总量,其他采矿业煤油消费总量,制造业煤油消费总量,农副食品加工业煤油消费总量,食品制造业煤油消费总量,酒、饮料和精制茶制造业煤油消费总量,烟草制品业煤油消费总量,纺织业煤油消费总量,纺织服装、服饰业煤油消费总量,皮革、毛皮、羽毛及其制品和制鞋业煤油消费总量,木材加工及木、竹、藤、棕、草制品业煤油消费总量,家具制造业煤油消费总量,造纸及纸制品业煤油消费总量,印刷和记录媒介复制业煤油消费总量,文教、工美、体育和娱乐用品制造业煤油消费总量,石油、煤炭及其他燃料加工业煤油消费总量,化学原料及化学制品制造业煤油消费总量,医药制造业煤油消费总量,化学纤维制造业煤油消费总量,橡胶和塑料制品业煤油消费总量,橡胶制品业煤油消费总量,塑料制品业煤油消费总量,非金属矿物制品业煤油消费总量,黑色金属冶炼及压延加工业煤油消费总量,有色金属冶炼及压延加工业煤油消费总量,金属制品业煤油消费总量,通用设备制造业煤油消费总量,专用设备制造业煤油消费总量,汽车制造业煤油消费总量,铁路、船舶、航空航天和其他运输设备制造业煤油消费总量,电气机械及器材制造业煤油消费总量,计算机、通信和其他电子设备制造业煤油消费总量,仪器仪表制造业煤油消费总量,其他制造业煤油消费总量,废弃资源综合利用业煤油消费总量,金属制品、机械和设备修理业煤油消费总量,电力、热力、燃气及水生产和供应业煤油消费总量,电力、热力的生产和供应业煤油消费总量,燃气生产和供应业煤油消费总量,水的生产和供应业煤油消费总量,建筑业煤油消费总量,交通运输、仓储和邮政业煤油消费总量,批发和零售业、住宿和餐饮业煤油消费总量,其他煤油消费总量,居民生活煤油消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3653.51,4.91,24.94,1.08,0.67,,,0.39,0.02,,,22.56,0.14,,0.06,,0.02,,0.01,0.01,0.01,,0.01,0.1,0.07,1.92,0.02,0.02,0.04,,,0.82,0.02,0.84,0.56,1.95,0.78,0.4,13.06,0.44,0.25,0.16,0.08,0.09,0.66,1.29,1.29,,,17.27,3462.53,15.47,103.81,24.59
2017,3326.36,1.52,14.55,1.3,0.81,,0.02,0.43,0.03,,,13.21,0.2,0.01,0.05,,0.05,,0.08,0.02,,0.02,0.03,0.04,0.25,2.17,0.05,0.06,0.24,,,1.0,0.09,1.08,0.63,2.11,0.93,0.43,1.82,0.69,0.19,0.25,0.02,0.03,0.67,0.04,0.04,,,9.75,3173.31,11.3,88.36,27.58
2016,2970.71,2.24,19.96,2.17,1.59,,0.05,0.37,0.14,0.01,,17.72,0.35,0.1,0.04,,0.07,0.02,0.16,0.14,0.01,0.39,0.04,0.04,0.19,3.13,0.04,0.05,0.26,,,1.58,0.2,0.94,0.76,2.4,0.92,0.5,2.61,0.7,0.2,0.28,0.94,0.02,0.65,0.07,0.07,,,10.0,2814.94,11.21,85.93,26.43
2015,2663.71,1.1,21.16,2.44,1.72,,0.07,0.43,0.22,,,18.64,0.5,0.05,0.08,,0.15,0.04,0.12,0.52,0.01,0.05,0.05,0.05,0.15,3.44,0.16,0.07,0.27,,,2.46,0.24,0.73,0.92,2.5,0.9,0.61,1.89,0.72,0.27,0.42,0.72,0.02,0.53,0.08,0.08,,,12.5,2504.88,11.68,83.27,29.13
2014,2335.42,0.75,17.36,2.52,1.89,0.01,0.02,0.39,0.21,,,14.79,0.21,0.02,0.02,,0.07,0.04,0.08,0.09,0.01,0.02,0.03,0.04,0.21,3.09,0.16,0.02,0.27,,,1.09,0.17,0.89,0.98,2.24,0.59,0.65,1.98,0.3,0.13,0.14,0.69,0.02,0.52,0.06,0.05,,,10.42,2216.03,11.28,50.73,28.85
2013,2164.07,1.19,27.41,2.94,2.43,,0.04,0.4,0.07,,,24.41,0.18,0.04,0.01,,0.16,0.06,0.11,0.12,0.05,0.13,0.13,0.06,0.17,3.22,0.3,,0.1,,,1.27,0.22,1.35,1.12,2.52,0.63,0.92,8.74,0.41,0.35,0.16,0.06,0.01,1.81,0.06,0.06,,,11.42,1998.18,13.39,84.56,27.92
2012,1956.6,1.19,32.04,2.64,2.16,,0.03,0.41,0.04,,,29.37,0.12,0.03,0.01,,0.12,0.41,0.21,0.08,0.05,0.09,0.08,0.23,0.21,3.56,0.27,,0.14,,,4.69,0.22,2.35,1.33,2.71,0.35,0.96,8.34,0.46,0.31,0.2,0.02,0.01,1.81,0.03,0.03,,,7.89,1787.09,28.64,74.17,25.58
2011,1816.72,1.47,34.21,3.22,2.3,0.0,0.16,0.64,0.12,,0.0,30.96,0.29,0.09,0.04,0.0,0.31,0.52,0.23,0.05,0.02,0.13,0.1,0.04,2.46,2.94,0.25,0.02,0.22,0.05,0.17,3.48,0.31,1.8,1.07,3.75,0.56,11.44,,0.34,0.16,0.16,0.18,0.0,,0.03,0.02,0.01,0.0,10.79,1646.35,32.18,68.24,23.48
2010,1765.17,0.9,40.2,4.41,2.53,0.0,0.35,0.67,0.24,,0.62,35.75,0.51,0.2,0.13,0.0,0.5,0.25,0.24,0.17,0.08,0.22,0.1,0.11,5.64,5.02,0.34,0.01,0.37,0.09,0.28,1.16,0.47,1.78,1.4,4.47,0.64,10.18,,0.66,0.36,0.61,0.1,0.03,,0.04,0.03,0.01,0.0,8.77,1601.08,34.98,58.73,20.52
