年份,能源工业投资,煤炭采选业投资,石油和天然气开采业投资,电力、蒸汽、热水生产和供应业投资,石油加工及炼焦业投资,煤气生产和供应业投资
2019,,,,,,
2018,,,,,,
2017,32259.0626,2648.3765,2648.9285,24284.9904,2676.7672,2229.782
2016,32837.3646,3037.6841,2330.9704,24772.4757,2696.2344,2134.799
2015,32562.1334,4006.6554,3424.9259,22591.9038,2538.6483,2331.4898
2014,31514.8909,4684.4669,3947.8658,19674.0659,3208.4923,2241.5922
2013,29008.9121,5212.5675,3820.6143,16936.5984,3039.1319,2210.2432
2012,25499.7995,5370.2389,3076.5136,14552.5953,2500.4517,1604.6667
2011,23045.5899,4907.2605,3021.9589,12847.892,2268.4785,1244.4255
2010,21627.1,3784.6615,2927.9883,12879.367,2035.0832,964.1916
2009,19477.9486,3056.9292,2791.482,11789.7211,1839.8163,650.6521
2008,16345.5377,2399.2474,2675.0724,9443.6757,1827.5052,420.0207
2007,13698.6212,1804.5849,2225.4951,8253.1606,1415.3806,346.6418
2006,11826.2998,1459.0224,1822.228,7605.764,939.2854,331.4928
2005,10205.6252,1162.9453,1463.5591,6777.8284,801.2924,274.6311
2004,7504.7956,690.42,1112.28,5064.1856,637.91,209.77
2003,5508.3627,436.4297,945.9899,3803.9029,322.0402,151.64
2002,4261.94,301.19,814.63,2822.82,235.97,87.33
2001,3818.18,222.19,809.65,2467.78,241.99,76.56
2000,3991.48,211.39,789.41,2744.47,172.55,73.66
