年份,国有经济能源工业固定资产投资,国有经济煤炭采选业固定资产投资,国有经济石油和天然气开采业固定资产投资,国有经济电力、蒸汽、热水生产和供应业固定资产投资,国有经济石油加工及炼焦业固定资产投资,国有经济煤气生产和供应业固定资产投资
2019,,,,,,
2018,,,,,,
2017,11400.0,572.0,901.0,8929.0,450.0,548.0
2016,11758.0,561.0,811.0,9318.0,573.0,494.0
2015,15419.0,1277.0,2068.0,10855.0,597.0,622.0
2014,15425.1894,1495.6472,2694.6556,9928.7739,628.438,677.6747
2013,14011.0,1657.0,2480.0,8458.0,723.0,693.0
2012,12402.3245,1783.6513,1962.6697,7670.1299,539.9269,445.9467
2011,11468.0,1635.0,2009.0,6806.0,653.0,365.0
2010,11219.4544,1476.9446,1797.597,7053.824,555.5806,335.5082
2009,10003.1731,1240.7203,1270.9644,6686.3688,561.1737,243.9459
2008,7940.3992,1014.3731,739.5025,5336.213,697.6433,152.6673
2007,6715.0442,836.1133,585.8504,4611.167,549.3604,132.5531
2006,5686.5969,759.4395,386.5135,4042.4016,369.3011,128.9412
2005,4766.0846,623.62,278.777,3451.4687,299.3284,112.8895
2004,3643.0081,419.8775,300.73,2639.7858,187.66,94.95
2003,2876.44,310.05,236.37,2158.03,89.74,82.25
2002,2626.17,233.17,157.57,2082.18,93.16,60.09
2001,2621.6,199.22,375.19,1861.44,127.36,58.39
2000,2839.59,198.9,355.55,2130.3,94.81,60.03
