年份,燃料油可供量,燃料油生产量,燃料油进口量,燃料油出口量,燃料油年初年末库存差额,燃料油能源消费总量,农、林、牧、渔业燃料油消费总量,工业燃料油消费总量,建筑业燃料油消费总量,交通运输、仓储和邮政业燃料油消费总量,批发和零售业、住宿和餐饮业燃料油消费总量,其他燃料油消费总量,居民生活燃料油消费总量,燃料油终端消费量,工业终端燃料油消费量,中间消费(用于加工转换),火力发电中间消费燃料油,供热中间消费燃料油,炼油再投入量中间消费燃料油,制气中间消费燃料油,燃料油损失量,燃料油平衡差额
2019,,,,,,,,,,,,,,,,,,,,,,
2018,4585.2,3899.7,2271.3,1673.2,87.4,4536.1,1.3,2688.2,31.8,1795.7,10.1,9.0,,2155.9,308.0,2380.2,15.1,59.5,2305.5,,,49.1
2017,4895.8,4563.5,1915.3,1516.7,-66.2,4887.3,1.3,3043.7,43.2,1771.3,15.1,12.5,,2196.9,353.4,2690.4,16.6,67.0,2606.7,,,8.5
2016,4644.5,4236.9,1743.2,1342.0,6.4,4631.0,1.0,3035.4,51.9,1511.4,17.2,14.1,,2060.4,464.8,2570.7,31.1,158.5,2381.1,,,13.5
2015,4632.8,3963.0,2068.2,1402.1,3.7,4662.0,0.9,3133.0,53.5,1439.5,19.0,16.1,,2123.7,594.8,2538.3,31.5,165.1,2341.6,,,-29.2
2014,4401.9,3541.7,2146.3,1279.9,-6.2,4355.5,1.3,2835.7,44.6,1441.4,17.4,15.1,,2058.0,538.2,2297.5,35.6,164.9,2097.0,,,46.4
2013,3926.1,2775.9,2734.3,1493.7,-90.4,3954.0,2.0,2421.1,59.5,1429.0,19.1,23.4,,2101.8,568.9,1852.1,47.3,167.2,1637.7,,,-27.8
2012,3691.0,2253.2,3102.4,1601.5,-63.1,3683.3,2.0,2241.7,27.1,1383.9,8.7,19.9,,2072.8,631.2,1610.5,43.1,187.3,1380.0,,,7.7
2011,3667.6,2281.8,3097.4,1685.6,-26.0,3662.8,1.3,2260.2,30.6,1345.2,9.3,16.2,,2230.2,827.6,1432.6,60.9,183.8,1188.0,,,4.8
2010,3765.4,2487.0,2695.2,1419.7,3.0,3758.0,1.1,2377.3,30.8,1326.7,8.6,13.5,,2403.2,1022.5,1354.8,123.9,201.3,1029.6,,,7.4
2009,2829.332639632,1353.355,2723.9,1222.41,-25.5123603679999,2827.79529,1.05,1521.52960443,34.17505,1250.638723,8.10625,12.29904,,2533.74529,1227.48,294.05,193.02,100.71,,0.32,,1.53734963199986
2008,3242.42064,1737.4,2533.18,1036.42,8.26064000000002,3237.139618,1.5,2039.47285699,37.7,1142.77,6.25,9.4608,,2757.7908,1560.11,479.348818,347.53,129.79,,2.028818,,5.28102200000012
2007,4158.3924,1967.24,2807.61,631.36,14.9024,4157.489122,1.0,2329.1904,30.740322,1759.95,24.78,11.826,,3455.456322,1627.16,702.0328,565.59,131.48,,4.9628,,0.903277999999773
2006,4371.79,1784.65,3138.11,466.87,-84.1,4368.331735,0.693726,2836.107889,16.34,1480.60506,21.44,13.14495,,3267.700025,1735.476289,1100.63171,928.048,159.19371,,13.39,,3.4582649999993
2005,4237.3,1767.4,2883.9,427.6,13.5,4244.2,0.7,2986.9,14.2,1201.0,27.5,13.9,,2989.9,1732.6,1254.3,1068.7,171.1,,14.4,,-6.9
2004,4846.592172,2029.28,3269.23,368.69,-83.227828,4783.472679,0.66,3570.397547,21.36,1150.445132,24.98,15.63,,3130.442679,1917.367547,1653.03,1429.19,213.33,,10.51,,63.1194930000001
2003,4291.13,2004.84,2589.71,188.74,-114.68,4220.53,0.6,3236.76302015243,17.8,940.29,13.0,12.08,,2882.08,1898.31,1338.45,1056.72,260.8,,20.93,,70.5999999999999
2002,3702.8,1845.5,1915.17,104.91,47.04,3873.87,0.41,2970.86,19.1,852.1,12.3,19.1,,2675.64,1772.63,1198.23,912.66,266.66,,18.91,,-171.07
2001,3836.86,1864.39,2048.68,84.87,8.66000000000003,3850.22,0.42,2949.32,16.18,855.0,12.28,17.02,,2689.3,1788.4,1160.92,838.54,299.62,,22.76,,-13.3600000000006
2000,3836.7,2053.7,1704.3,57.9,136.6,3872.8,0.4,2975.1,16.7,850.0,11.6,19.0,,2741.4,1843.7,1131.3,814.2,291.2,,25.9,,-36.1
