年份,液化石油气可供量,液化石油气生产量,液化石油气进口量,液化石油气出口量,液化石油气年初年末库存差额,液化石油气能源消费总量,农、林、牧、渔业液化石油气消费总量,工业液化石油气消费总量,建筑业液化石油气消费总量,交通运输、仓储和邮政业液化石油气消费总量,批发和零售业、住宿和餐饮业液化石油气消费总量,其他液化石油气消费总量,居民生活液化石油气消费总量,液化石油气平衡差额
2019,,,,,,,,,,,,,,
2018,5733.4,3915.6,1966.4,113.5,-35.1,5673.1,7.6,2215.5,17.0,125.1,86.2,74.4,3147.3,60.3
2017,5472.9,3677.3,1921.9,132.2,5.9,5457.8,7.1,1896.3,15.8,123.7,96.4,93.5,3225.0,15.1
2016,5034.0,3503.9,1678.5,132.3,-16.0,5015.1,6.8,1766.8,14.8,104.2,83.6,83.5,2955.4,18.9
2015,4008.2,2934.4,1244.0,144.2,-26.0,3961.2,7.2,1113.9,15.1,100.3,84.0,91.4,2549.3,47.0
2014,3292.7,2705.8,739.4,144.4,-8.0,3289.8,7.1,835.0,16.8,91.8,86.6,79.4,2173.1,2.9
2013,2836.1,2513.3,451.7,126.9,-2.0,2823.4,6.8,705.1,14.7,89.4,78.5,83.4,1845.6,12.7
2012,2496.0,2268.7,358.5,128.2,-3.0,2482.2,6.4,621.0,6.8,68.1,76.0,68.5,1635.4,13.8
2011,2474.2,2240.8,349.6,119.1,3.0,2470.2,5.6,661.1,7.2,65.5,69.0,54.8,1607.2,4.0
2010,2323.8,2092.3,327.0,93.0,-2.5,2321.9,4.7,586.8,7.2,61.0,72.6,52.6,1537.0,1.9
2009,2157.731128,1831.69,408.03,84.89,2.901128,2153.1171945365,4.077535,478.5,6.5296,56.6398373052773,63.1605,48.55,1495.6595595365,4.61393346350178
2008,2114.2616,1914.78,259.24,67.85,8.0916,2118.91693618384,3.70685,499.365875316128,6.16,56.68373613776,51.35,44.68,1456.97008618384,-4.65533618383643
2007,2320.20479,1944.74,405.43,33.8,3.83479,2327.852992254,6.23,455.631,7.2,55.5065,131.564797,33.8,1637.917195254,-7.64820225400035
2006,2252.47704,1745.3,535.56,15.1,-13.28296,2207.574297,4.69,541.166,7.549872,54.6865,113.8845,29.43,1456.16741,44.9027430000001
2005,2052.2,1432.7,617.0,2.7,5.2,2046.5,3.5,534.4,6.3,48.7,99.0,25.8,1328.7,5.7
2004,2051.073,1416.98,641.0,3.19,-3.717,2016.034948,3.584,493.11,8.71,35.92,91.31,32.92,1350.480948,35.0380519999999
2003,1836.18,1211.73,636.74,2.4,-9.89,1796.58,,541.56,8.87,36.12,64.38,32.92,1112.73,39.6000000000001
2002,1663.61,1036.79,626.16,5.62,6.28,1625.39,,520.49,12.76,28.58,62.59,31.92,969.05,38.2200000000003
2001,1428.03,952.33,488.86,2.09,-11.07,1411.16,0.3,441.67,9.51,17.03,60.4,26.21,856.04,16.8699999999999
2000,1396.2,916.6,481.7,1.6,-0.6,1389.7,0.4,426.1,8.9,16.5,55.5,24.0,858.3,6.5
