年份,能源消费总量,农、林、牧、渔业能源消费总量,工业能源消费总量,采矿业能源消费总量,煤炭开采和洗选业能源消费总量,石油和天然气开采业能源消费总量,黑色金属矿采选业能源消费总量,有色金属矿采选业能源消费总量,非金属矿采选业能源消费总量,开采专业及辅助性活动能源消费总量,其他采矿业能源消费总量,制造业能源消费总量,农副食品加工业能源消费总量,食品制造业能源消费总量,酒、饮料和精制茶制造业能源消费总量,烟草制品业能源消费总量,纺织业能源消费总量,纺织服装、服饰业能源消费总量,皮革、毛皮、羽毛及其制品和制鞋业能源消费总量,木材加工及木、竹、藤、棕、草制品业能源消费总量,家具制造业能源消费总量,造纸及纸制品业能源消费总量,印刷和记录媒介复制业能源消费总量,文教、工美、体育和娱乐用品制造业能源消费总量,石油、煤炭及其他燃料加工业能源消费总量,化学原料及化学制品制造业能源消费总量,医药制造业能源消费总量,化学纤维制造业能源消费总量,橡胶和塑料制品业能源消费总量,橡胶制品业能源消费总量,塑料制品业能源消费总量,非金属矿物制品业能源消费总量,黑色金属冶炼及压延加工业能源消费总量,有色金属冶炼及压延加工业能源消费总量,金属制品业能源消费总量,通用设备制造业能源消费总量,专用设备制造业能源消费总量,汽车制造业能源消费总量,铁路、船舶、航空航天和其他运输设备制造业能源消费总量,电气机械及器材制造业能源消费总量,计算机、通信和其他电子设备制造业能源消费总量,仪器仪表制造业能源消费总量,其他制造业能源消费总量,废弃资源综合利用业能源消费总量,金属制品、机械和设备修理业能源消费总量,电力、热力、燃气及水生产和供应业能源消费总量,电力、热力的生产和供应业能源消费总量,燃气生产和供应业能源消费总量,水的生产和供应业能源消费总量,建筑业能源消费总量,交通运输、仓储和邮政业能源消费总量,批发和零售业、住宿和餐饮业能源消费总量,其他能源消费总量,居民生活能源消费总量
2019,487000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,471925,8781.0,311151.0,18981.0,9983.0,3818.0,1566.0,1253.0,1312.0,464.0,584.0,258604.0,4036.0,1959.0,1317.0,198.0,7372.0,866.0,546.0,1059.0,367.0,4102.0,517.0,461.0,28689.0,51278.0,2179.0,2329.0,4793.0,,,32798.0,62279.0,24628.0,6283.0,3705.0,1691.0,3646.0,1821.0,2698.0,4628.0,277.0,1620.0,391.0,72.0,33566.0,30832.0,1148.0,1587.0,8685.0,43617.0,12994.0,26262.0,60436.0
2017,455827,8945.0,302308.0,18099.0,9646.0,3956.0,1537.0,1106.0,1185.0,321.0,347.0,252462.0,4145.0,1965.0,1403.0,200.0,7518.0,882.0,563.0,1082.0,353.0,4314.0,484.0,435.0,26458.0,49356.0,2251.0,2204.0,4771.0,,,33343.0,62843.0,23316.0,6366.0,3636.0,1691.0,3380.0,979.0,2582.0,3662.0,307.0,1672.0,222.0,76.0,31747.0,29258.0,994.0,1495.0,8243.0,42140.0,12456.0,24277.0,57459.0
2016,441492,8585.0,295615.0,17773.0,9436.0,3916.0,1458.0,1076.0,1260.0,286.0,341.0,247658.0,4241.0,1976.0,1496.0,206.0,7303.0,946.0,607.0,1194.0,364.0,4115.0,481.0,410.0,24165.0,49722.0,2323.0,2075.0,4538.0,,,34772.0,62879.0,21028.0,4974.0,3665.0,1739.0,3276.0,867.0,2623.0,3377.0,309.0,1708.0,228.0,52.0,30184.0,28080.0,739.0,1365.0,7847.0,39883.0,12042.0,23185.0,54336.0
2015,434113,8271.0,295953.0,19489.0,10399.0,4269.0,1663.0,1177.0,1297.0,337.0,348.0,248264.0,4266.0,1840.0,1501.0,230.0,7159.0,923.0,631.0,1306.0,376.0,4059.0,467.0,393.0,24184.0,49533.0,2263.0,1912.0,4432.0,,,35587.0,64404.0,20773.0,4645.0,3531.0,1846.0,3184.0,856.0,2589.0,3149.0,316.0,1666.0,187.0,53.0,28200.0,26191.0,718.0,1291.0,7545.0,38510.0,11447.0,21925.0,50461.0
2014,428334,8020.0,298449.0,21285.0,11376.0,4263.0,2169.0,1266.0,1401.0,397.0,414.0,248976.0,4138.0,1833.0,1522.0,238.0,6962.0,938.0,619.0,1409.0,359.0,4042.0,466.0,400.0,20139.0,47415.0,2189.0,1835.0,4458.0,,,37197.0,69296.0,21326.0,4808.0,3632.0,1986.0,3187.0,863.0,2587.0,2968.0,318.0,1597.0,194.0,54.0,28188.0,26241.0,723.0,1225.0,7377.0,36343.0,10864.0,20069.0,47211.0
2013,416913,8055.0,291130.0,23924.0,14180.0,4088.0,2224.0,1280.0,1380.0,407.0,365.0,239053.0,3905.0,1890.0,1610.0,256.0,7366.0,971.0,652.0,1522.0,247.0,4153.0,448.0,368.0,19255.0,44081.0,2179.0,1909.0,4350.0,,,36561.0,68839.0,16617.0,4704.0,3571.0,1914.0,3069.0,1045.0,2606.0,2802.0,329.0,1597.0,169.0,66.0,28153.0,26295.0,697.0,1161.0,7017.0,34819.0,10598.0,19763.0,45531.0
2012,402138,7804.0,284712.0,24532.0,15083.0,3897.0,2065.0,1231.0,1469.0,481.0,305.0,234539.0,3784.0,1841.0,1498.0,257.0,7290.0,978.0,679.0,1575.0,241.0,4275.0,428.0,344.0,18831.0,42551.0,2105.0,1840.0,4195.0,,,37799.0,67376.0,15621.0,4164.0,3619.0,1853.0,2770.0,1151.0,2511.0,2689.0,326.0,1714.0,152.0,83.0,25640.0,23837.0,689.0,1114.0,6337.0,32561.0,10012.0,18407.0,42306.0
2011,387043,7675.0,278048.0,23417.0,14497.0,3923.0,2137.0,1202.0,1374.0,,283.0,229091.0,3681.0,1935.0,1454.0,286.0,7379.0,867.0,461.0,1507.0,249.0,4596.0,417.0,257.0,18183.0,40743.0,1999.0,1819.0,3891.0,1521.16153137844,2016.72733740833,38272.0,64726.0,14831.0,3736.0,4571.0,1949.0,4014.0,,2499.0,2650.0,332.0,1648.0,139.0,,25540.0,23861.0,633.0,1045.0,6052.0,29694.0,9147.0,16843.0,39584.0
2010,360648,7266.0,261377.0,20950.0,12436.0,3987.0,2089.0,999.0,1224.0,,214.0,217329.0,3746.0,1857.0,1369.0,234.0,6988.0,848.0,475.0,1382.0,252.0,4475.0,420.0,237.0,17874.0,36741.0,1816.0,1644.0,3853.0,1461.17,2097.51,32512.0,66873.0,13628.0,3804.0,3774.0,1902.0,3782.0,,2347.0,2547.0,359.0,1459.0,129.0,,23099.0,21487.0,627.0,985.0,5533.0,27102.0,7847.0,15052.0,36470.0
