年份,原油消费总量,农、林、牧、渔业原油消费总量,工业原油消费总量,采矿业原油消费总量,煤炭开采和洗选业原油消费总量,石油和天然气开采业原油消费总量,黑色金属矿采选业原油消费总量,有色金属矿采选业原油消费总量,非金属矿采选业原油消费总量,开采专业及辅助性活动原油消费总量,其他采矿业原油消费总量,制造业原油消费总量,农副食品加工业原油消费总量,食品制造业原油消费总量,酒、饮料和精制茶制造业原油消费总量,烟草制品业原油消费总量,纺织业原油消费总量,纺织服装、服饰业原油消费总量,皮革、毛皮、羽毛及其制品和制鞋业原油消费总量,木材加工及木、竹、藤、棕、草制品业原油消费总量,家具制造业原油消费总量,造纸及纸制品业原油消费总量,印刷和记录媒介复制业原油消费总量,文教、工美、体育和娱乐用品制造业原油消费总量,石油、煤炭及其他燃料加工业原油消费总量,化学原料及化学制品制造业原油消费总量,医药制造业原油消费总量,化学纤维制造业原油消费总量,橡胶和塑料制品业原油消费总量,橡胶制品业原油消费总量,塑料制品业原油消费总量,非金属矿物制品业原油消费总量,黑色金属冶炼及压延加工业原油消费总量,有色金属冶炼及压延加工业原油消费总量,金属制品业原油消费总量,通用设备制造业原油消费总量,专用设备制造业原油消费总量,汽车制造业原油消费总量,铁路、船舶、航空航天和其他运输设备制造业原油消费总量,电气机械及器材制造业原油消费总量,计算机、通信和其他电子设备制造业原油消费总量,仪器仪表制造业原油消费总量,其他制造业原油消费总量,废弃资源综合利用业原油消费总量,金属制品、机械和设备修理业原油消费总量,电力、热力、燃气及水生产和供应业原油消费总量,电力、热力的生产和供应业原油消费总量,燃气生产和供应业原油消费总量,水的生产和供应业原油消费总量,建筑业原油消费总量,交通运输、仓储和邮政业原油消费总量,批发和零售业、住宿和餐饮业原油消费总量,其他原油消费总量,居民生活原油消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,63004.33,,62995.51,644.02,13.92,612.23,,,,17.86,,62351.28,0.06,,,,0.07,,,,,0.03,,,59673.27,2676.96,,,,,,0.46,,0.36,0.01,0.01,,0.02,0.01,0.01,,,,,,0.21,0.21,,,,8.82,,,
2017,59402.17,,59393.5,739.96,0.06,713.31,,,,26.59,,58653.34,0.02,,,,0.01,0.01,,,,0.04,,,55431.9,3220.7,,,,,,0.42,0.01,,0.01,0.01,0.09,0.06,0.01,0.02,,0.01,,,,0.2,0.2,,,,8.67,,,
2016,57125.93,,57103.59,787.88,0.01,740.82,,1.23,,45.82,,56315.45,0.02,,,,,,0.02,0.01,,0.04,,0.01,52431.24,3883.65,,,0.04,,,0.21,0.02,0.01,0.01,0.03,0.08,0.02,0.01,,0.01,0.01,,,,0.26,0.26,,,,22.34,,,
2015,54788.28,,54752.43,1024.17,0.03,987.5,,,,36.64,,53727.99,0.03,,,,,0.01,0.02,0.04,0.01,0.04,,,50191.16,3536.22,,,0.04,,,0.21,0.02,0.01,0.01,0.03,0.08,0.02,0.01,,0.01,0.01,,,,0.27,0.27,,,,35.85,,,
2014,51596.95,,51552.1,1068.23,0.09,1034.61,,,,33.52,,50483.54,0.02,,,,,0.02,0.01,0.33,,0.05,,0.01,46825.64,3656.93,,,0.01,,,0.17,0.02,0.06,0.01,0.04,0.14,0.02,0.01,0.01,,0.01,,,0.01,0.33,0.33,,,,44.85,,,
2013,48652.15,,48503.42,1059.21,0.04,1034.66,,,,24.51,,47441.96,0.24,,,,0.01,0.02,0.05,0.16,0.01,0.09,,0.01,44315.76,3123.7,,,0.02,,,1.08,0.02,0.24,0.02,0.07,0.15,0.16,0.06,0.07,,0.01,,,0.01,2.25,2.25,,0.00060822595443,,148.73,,,
2012,46678.92,,46559.52,1074.08,,1050.41,0.01,,,23.66,,45482.98,0.07,,0.01,,,0.05,0.1,0.17,,0.1,0.01,0.01,42413.38,3060.77,0.02,,0.04,,,7.78,0.01,0.23,0.01,0.03,0.04,0.07,0.01,0.07,,,,,,2.46,2.46,,0.00060822595443,,119.4,,,
2011,43965.84,,43860.44,1000.63,,1000.57,0.06,,,,,42857.7,0.14,,,,,0.05,0.09,0.13,,0.04,0.03,0.03,39157.7,3696.04,,,0.12,0.04,0.08,2.03,0.18,0.62,0.14,0.05,0.02,0.16,,0.1,0.02,0.01,,,,2.11,2.11,,0.00060822595443,,105.4,,,
2010,42874.55,,42716.55,1020.29,,1020.29,,,,,,41692.62,0.11,0.01,,,0.02,0.03,0.05,0.22,0.01,0.12,0.01,0.06,38624.99,3062.5,0.02,,0.12,0.02,0.1,2.45,0.33,0.71,0.12,0.09,0.06,0.17,,0.15,0.27,,,,,3.64,3.64,,0.00060822595443,,158.0,,,
