年份,城市天然气供气总量,城市天然气用气人口,城市人工煤气供气总量,城市人工煤气用气人口,城市液化石油气供气总量,城市液化石油气用气人口
2019,1608.556983,39024.99,27.684147,675.37,1040.811029,11297.1
2018,1443.953789,36902.14,29.7893,778.79,1015.329777,11782.47
2017,1263.754572,33933.87,27.088163,751.72,998.808822,12615.7
2016,1171.71857,30855.57,44.094383,1085.22,1078.804185,13743.77
2015,1040.79062,28561.47,47.137801,1321.73,1039.216892,13955.06
2014,964.378286,25972.94,55.951269,1757.01,1082.849026,14378.41
2013,900.990392,23783.44,62.798877,1942.99,1109.729791,15101.95
2012,795.0377,21207.53,76.9686,2442.28,1114.8032,15682.86
2011,678.799723,19027.8,84.725587,2676.33,1165.832608,16093.58
2010,487.580814,17021.22,279.938034,2801.94,1268.00535,16502.73
2009,405.099609,14543.68,361.55074,2971.0,1340.030268,16924.46
2008,368.0393,12167.09,355.828655,3369.61,1329.107187,17632.14
2007,308.6363,10189.8,322.3512,4021.7,1466.769221,18172.34
2006,244.7742,8319.4,296.45,4066.61,1263.6613,17100.27
2005,210.495114,7104.4,255.834328,4368.55,1222.014135,18012.82
2004,169.336431,5627.55,213.722481,4653.82,1126.711993,17559.17
2003,141.641533,4320.24,202.088324,4792.08,1126.35,16833.94
2002,125.9334,3686.0,198.9196,4541.0,1136.3884,15431.0
2001,105.51961,3239.87,136.914375,4349.09,975.83129,14009.18
2000,82.1,2580.98,152.4,3944.45,1053.7147,11106.62
