年份,原油可供量,原油生产量,进口原油量,出口原油量(-),年初年末原油库存差额,原油能源消费总量,农、林、牧、渔业原油消费总量,工业原油消费总量,建筑业原油消费总量,交通运输、仓储和邮政业原油消费总量,批发和零售业、住宿和餐饮业原油消费总量,其他原油消费总量,居民生活原油总量,原油终端消费量,工业终端原油消费量,中间消费(用于加工转换),发电中间消费原油,供热中间消费原油,炼油中间消费原油,油田原油损失量,原油平衡差额
2019,,,,,,,,,,,,,,,,,,,,,
2018,63849.2,18932.4,46188.5,262.7,-1009.1,63004.3,,62995.5,,8.8,,,,348.3,348.3,62627.7,15.3,,62612.4,28.3,844.8
2017,59969.0,19150.6,41946.2,486.1,-641.8,59402.2,,59393.5,,8.7,,,,364.7,364.7,58991.5,14.2,,58977.3,46.0,566.8
2016,57332.3,19968.5,38100.7,294.1,-442.8,57125.9,,57103.6,,22.3,,,,630.1,630.1,56455.4,13.1,,56442.3,40.4,206.4
2015,54593.5,21455.6,33548.3,286.6,-123.8,54788.3,,54752.4,,35.9,,,,782.7,782.7,53918.4,12.5,6.7,53899.2,87.2,-194.8
2014,51744.6,21142.9,30837.4,60.0,-175.7,51597.0,,51552.1,,44.9,,,,855.9,855.9,50633.3,8.9,7.0,50617.4,107.8,147.7
2013,48670.9,20991.9,28174.2,161.7,-333.4,48652.2,,48503.4,,148.7,,,,629.4,629.4,47810.5,10.4,3.4,47796.7,212.2,18.7
2012,46684.7,20747.8,27102.7,243.2,-922.6,46678.9,,46559.5,,119.4,,,,555.5,555.5,45945.7,10.9,1.4,45933.5,177.7,5.8
2011,43961.0,20287.6,25377.9,251.4,-1453.0,43965.8,,43860.4,,105.4,,,,522.7,522.7,43266.1,11.3,4.6,43250.2,177.0,-4.8
2010,42876.6,20301.4,23768.2,303.0,-890.0,42874.6,,42716.6,,158.0,,,,806.1,806.1,41876.4,3.7,3.3,41869.4,192.0,2.1
2009,38130.495336,18949.0,20365.29,507.25,-676.544663999999,38128.5949540544,,37975.1682295935,,153.42,,,,826.16,826.16,37115.7707316544,4.38,1.99,37109.4007316544,186.6642224,1.9003819456035
2008,35498.6052,19043.96,17888.52,423.75,-1010.1,35498.24217216,,35332.5793286467,,165.66,,,,1192.75,1192.75,34105.14177216,8.87,0.95,34095.32177216,200.3504,0.363027840004406
2007,34035.06,18631.82,16316.01,388.37,-524.4,34031.598,,33867.9356350014,,163.66,,,,984.12,984.12,32849.1276,15.92,0.59,32832.6176,198.3504,3.46199999999055
2006,32249.19,18476.57,14517.48,633.72,-111.14,32245.1989894,,32081.5389894,,163.66,,,,977.1,977.1,31069.75,22.91,0.84,31046.0,198.3504,3.98959999999499
2005,30089.2,18135.3,12681.7,806.7,78.8,30088.9,,29962.1,,126.9,,,,850.4,850.4,29084.8,41.3,3.0,29040.5,153.8,0.2
2004,29012.31,17587.32,12272.0,549.16,-297.85,28749.31,,28625.49,,123.82,,,,844.94,844.94,27755.56,18.04,0.25,27737.27,148.81,263.0
2003,25187.09,16959.98,9102.01,813.33,-61.5699999999999,24922.0,,24768.4019827586,4.0,148.31,0.09,1.2,,812.22,793.0,23949.0,93.99,11.01,23844.0,160.78,265.089999999997
2002,22768.99,16700.0,6940.64,766.46,-105.19,22544.05,,22362.5,4.2,175.94,0.12,1.29,,684.26,663.0,21671.31,78.33,12.76,21580.22,188.48,224.94
2001,21537.16,16395.87,6026.0,755.0,-129.71,21342.74,,21168.21,3.37,169.81,0.15,1.2,,654.12,630.82,20500.72,81.6,12.32,20406.8,187.9,194.419999999999
2000,21383.0,16300.0,7026.5,1030.6,-912.9,21232.0,,21052.1,3.3,175.1,0.2,1.4,,636.8,612.3,20404.3,85.0,14.0,20305.3,190.9,151.0
