年份,生活能源消费量,生活煤炭消费量,生活煤油消费量,生活液化石油气消费量,生活天然气消费量,生活煤气消费量,生活热力消费量,生活电力消费量
2019,,,,,,,,
2018,60436.0,7714.0,24.59,3147.0,468.38,47.0,121684.0,10057.55
2017,57459.0,9283.0,27.58,3225.0,420.3,52.0,106330.0,9071.57
2016,54336.0,9492.0,26.43,2955.0,379.75,63.0,98623.0,8420.6
2015,50461.0,9627.0,29.13,2549.0,359.81,80.0,93841.0,7565.21
2014,47211.0,9303.0,28.85,2173.0,342.58,97.0,86482.0,7176.1
2013,45531.0,9290.0,27.92,1845.57833490432,322.93,107.0,81471.9538771911,6989.16
2012,42306.0,9253.0,25.58,1635.38328276554,288.27,137.0,77607.5036577274,6218.96
2011,39584.0,9212.0,23.48,1607.15115577086,264.38,146.0,70043.9413470624,5620.06
2010,36470.0,9159.0,20.52,1537.00575072723,226.9,167.0,67410.2255580022,5124.63
2009,35173.0,9122.0,20.23,1495.7,177.67,166.32,67000.32,4872.16
2008,31898.3223911031,9147.61089399536,12.68095,1457.0,170.1,183.87,62765.13,4396.1
2007,30813.9,9760.61287830397,19.4806,1638.0,143.3861647,186.0,57689.0,4062.71
2006,27765.1619148339,10036.3410702038,22.728,1456.2,102.615819,166.37,56948.38,3351.58147
2005,27573.0,10039.0,25.46,1328.740942,79.43,145.0,52043.575,2884.81
2004,22768.4097995442,9768.196443,27.358962,1350.480948,67.22,138.08,41394.86,2384.488383
2003,19764.6622652708,9004.71,36.38,1292.73,51.89,131.11,33666.0,2058.04
2002,17162.4620020478,8412.64,40.7,1169.05,46.16,124.73,26613.07,1771.42
2001,16183.0697154645,8410.25,75.0,1006.04,42.11,118.98,23369.4,1609.23
2000,16695.0,8457.0,72.17,858.34,32.32,126.0,23234.03,1451.95
