年份,可供消费的能源总量,一次能源生产总量,回收能,进口量,出口量(-),年初年末库存差额,能源消费总量,农、林、牧、渔业消费总量,工业消费总量,建筑业消费总量,交通运输、仓储和邮政业消费总量,批发和零售业、住宿和餐饮业消费总量,其他消费总量,居民生活消费总量,终端消费量,工业终端消费量,能源加工转换损失量,炼焦加工转换损失量,炼油及煤制油损失量,损失量,平衡差额
2019,,,,,,,,,,,,,,,,,,,,,
2018,471686.043034601,378859.317496344,,110787.129156797,13337.3147215921,-4623.088896948,471925.146853218,8780.69115855626,311150.63131593,8684.50902698535,43617.2317880464,12994.2069438258,26261.6543119609,60436.2236320018,461019.663254191,300558.27458676,20803.1833977251,4128.69785477033,5027.2845430308,10566.9530167696,-239.103818617004
2017,450443.770958725,358867.486709399,,100039.40337308,12669.335804921,4206.216681168,455826.918287382,8944.57430063631,302308.215837507,8242.66444664191,42139.5319033302,12455.9699819653,24277.0335720363,57458.9282416116,442254.823449994,289097.636960479,19279.4830333559,3720.82273309053,4280.41629837906,10213.1771975397,-5383.14732865628
2016,434120.528972371,345953.664216811,,90234.7471774534,11956.2769398938,9888.394518,441491.812454291,8585.09578701207,295614.76340338,7846.7916291832,39882.9576027754,12041.5709290484,23185.0479845393,54335.5950030123,428341.754900281,282808.580922947,18674.1487856253,3886.53854268906,3543.493135,9848.87511638412,-7371.28348191991
2015,431635.645504188,362193.353949555,,77695.3369948042,9784.75601517124,1531.710575,434112.782709508,8271.01894674429,295952.906866112,7545.28276822332,38510.182997401,11447.2500242607,21924.8217510147,50461.330161103,420110.070445589,282290.934796637,18770.3732555464,4260.80029590091,2866.4130513,9724.04433737276,-2477.13720532041
2014,427429.666647573,362212.494048828,,78026.6857248671,8269.89943212224,-4539.613694,428333.9947084,8020.04638868458,298449.153233874,7377.2728052225,36343.0423201367,10864.3361452879,20068.7235397751,47211.419108517,415455.729304366,285947.782761478,17269.9732205529,3540.14663603117,2114.601283,10185.8974484808,-904.328060827102
2013,417415.31274057,358783.760868395,,73420.3967942356,8004.7666920604,-6784.07823,416913.065344849,8054.79716127898,291130.634329835,7016.98199585064,34819.0224254457,10598.157176715,19762.5940623085,45530.8401351548,403813.719652716,278513.507218854,15993.509493604,2433.33458224379,1898.892458,10438.988538529,502.247395720449
2012,407594.311257406,351040.751998501,,68700.6138829211,7374.40454501568,-4772.650079,402137.868382723,7803.56890082321,284711.504522983,6337.40754127389,32560.5961832019,10012.3262303078,18406.6326551238,42305.8386981445,386888.498297445,269900.31113629,16763.0,2179.23936417713,2153.453925,9725.75323291731,5456.44287468278
2011,390393.50684504,340177.506000383,,65436.7415524489,8448.53155779182,-6772.20915,387043.217971324,7675.22898019574,278047.833879682,6051.66387105645,29694.1676474925,9147.49855739487,16843.0743000342,39583.6629270935,373296.068404021,264697.518869888,15411.931165025,1833.19115056347,1791.57977299999,9199.34899227885,3350.28887371608
2010,365588.170755492,312124.754849439,8957.992623,57670.6668721808,8802.67357912773,-4362.57000999999,360647.860566022,7266.49938045324,261377.461163945,5533.19383170598,27102.0690776089,7847.09674752352,15051.9602257885,36469.6317323662,337468.729131133,238652.041517354,14294.3826227644,1595.1632884241,1959.55139700001,8884.74881212506,4940.31018946978
2009,311277.0,274619.0,7627.0,47313.0,8440.0,-9841.0,306647.0,6251.0,219197.0,4562.0,23692.0,6412.0,12690.0,33843.0,292299.0,205322.0,6283.0,1010.0,1784.0,8065.0,4630.0
2008,287011.282858616,260552.0,6510.836,36764.0,9955.0,-6860.0,291448.297603716,6013.12695882015,209302.117417352,3812.52989014229,22917.2868584684,5733.58078576632,11771.336177367,31898.3223911031,278546.140879413,196832.492320903,5166.0132663589,819.064131193074,1380.18257411819,7736.14345794361,-4437.01474509953
2007,274800.290039726,247279.192147368,6166.0,35062.0,9995.0,-3711.3443510113,280507.944016825,6228.39530831082,200531.371713411,4127.52411677889,21959.1315920993,5689.37960664055,11158.1904442654,30813.8976721445,268609.803862387,189032.273436556,4240.66602725301,853.818238072007,1325.48493956001,7657.4741271859,-5707.6539770994
