年份,焦炭消费总量,农、林、牧、渔业焦炭消费总量,工业焦炭消费总量,采矿业焦炭消费总量,煤炭开采和洗选业焦炭消费总量,石油和天然气开采业焦炭消费总量,黑色金属矿采选业焦炭消费总量,有色金属矿采选业焦炭消费总量,非金属矿采选业焦炭消费总量,开采专业及辅助性活动焦炭消费总量,其他采矿业焦炭消费总量,制造业焦炭消费总量,农副食品加工业焦炭消费总量,食品制造业焦炭消费总量,酒、饮料和精制茶制造业焦炭消费总量,烟草制品业焦炭消费总量,纺织业焦炭消费总量,纺织服装、服饰业焦炭消费总量,皮革、毛皮、羽毛及其制品和制鞋业焦炭消费总量,木材加工及木、竹、藤、棕、草制品业焦炭消费总量,家具制造业焦炭消费总量,造纸及纸制品业焦炭消费总量,印刷和记录媒介复制业焦炭消费总量,文教、工美、体育和娱乐用品制造业焦炭消费总量,石油、煤炭及其他燃料加工业焦炭消费总量,化学原料及化学制品制造业焦炭消费总量,医药制造业焦炭消费总量,化学纤维制造业焦炭消费总量,橡胶和塑料制品业焦炭消费总量,橡胶制品业焦炭消费总量,塑料制品业焦炭消费总量,非金属矿物制品业焦炭消费总量,黑色金属冶炼及压延加工业焦炭消费总量,有色金属冶炼及压延加工业焦炭消费总量,金属制品业焦炭消费总量,通用设备制造业焦炭消费总量,专用设备制造业焦炭消费总量,汽车制造业焦炭消费总量,铁路、船舶、航空航天和其他运输设备制造业焦炭消费总量,电气机械及器材制造业焦炭消费总量,计算机、通信和其他电子设备制造业焦炭消费总量,仪器仪表制造业焦炭消费总量,其他制造业焦炭消费总量,废弃资源综合利用业焦炭消费总量,金属制品、机械和设备修理业焦炭消费总量,电力、热力、燃气及水生产和供应业焦炭消费总量,电力、热力的生产和供应业焦炭消费总量,燃气生产和供应业焦炭消费总量,水的生产和供应业焦炭消费总量,建筑业焦炭消费总量,交通运输、仓储和邮政业焦炭消费总量,批发和零售业、住宿和餐饮业焦炭消费总量,其他焦炭消费总量,居民生活焦炭消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,43717.0,103.0,43561.0,174.0,34.0,,128.0,4.0,9.0,,,43346.0,137.0,1.0,,,2.0,,,,1.0,,,2.0,56.0,3744.0,2.0,18.0,,,,966.0,37152.0,403.0,450.0,328.0,20.0,31.0,1.0,2.0,,,,31.0,,40.0,39.0,2.0,,11.0,,19.0,6.0,16.0
2017,43743.0,38.0,43609.0,203.0,75.0,,116.0,3.0,8.0,,,43366.0,138.0,2.0,1.0,,1.0,1.0,,,1.0,,,4.0,41.0,3674.0,2.0,17.0,1.0,,,773.0,37521.0,518.0,60.0,444.0,64.0,69.0,1.0,5.0,13.0,1.0,2.0,10.0,,40.0,39.0,2.0,,13.0,6.0,49.0,6.0,22.0
2016,45462.0,53.0,45325.0,243.0,75.0,,153.0,5.0,10.0,,,45045.0,143.0,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,3.0,32.0,3997.0,1.0,17.0,2.0,,,881.0,38439.0,528.0,66.0,686.0,71.0,123.0,2.0,7.0,14.0,2.0,3.0,16.0,,37.0,35.0,2.0,,7.0,3.0,41.0,6.0,27.0
2015,44059.0,49.0,43923.0,236.0,63.0,,158.0,9.0,7.0,,,43646.0,141.0,3.0,1.0,,2.0,2.0,,1.0,2.0,1.0,,3.0,65.0,3579.0,1.0,,3.0,,,904.0,37336.0,565.0,100.0,684.0,68.0,129.0,3.0,12.0,14.0,3.0,,22.0,,40.0,39.0,2.0,,7.0,3.0,40.0,5.0,31.0
2014,46885.0,35.0,46750.0,292.0,88.0,,187.0,10.0,7.0,0.03,,46406.0,10.0,3.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,0.464817,4.0,46.0,3419.0,1.0,0.357205,5.0,,,1040.0,40146.0,622.0,100.0,699.0,75.0,162.0,7.0,14.0,12.0,4.0,0.25118,27.0,0.089246,51.0,49.0,2.0,0.0193,10.0,3.0,47.0,5.0,36.0
2013,45852.0,69.0,45694.0,282.0,80.0,,180.0,10.0,11.0,0.02,,45401.0,10.0,2.0,1.0,,3.0,2.0,1.0,0.39,2.0,1.0,0.27,4.0,68.0,3200.0,1.0,0.25,3.0,,,1048.0,39313.0,586.0,141.0,695.0,54.0,199.0,8.0,17.0,11.0,5.0,0.33,26.0,0.12,11.0,7.0,4.0,0.05,8.0,2.0,36.0,5.0,38.0
2012,44805.0,57.0,44695.0,251.0,65.0,,126.0,14.0,46.0,,,44436.0,12.0,2.0,1.0,,3.0,3.0,1.0,0.37,4.0,1.0,0.33,5.0,74.0,3105.0,2.0,1.0,4.0,,,987.0,38367.0,617.0,104.0,839.0,45.0,185.0,12.0,18.0,9.0,4.0,1.0,20.0,12.0,8.0,0.49,7.0,0.04,6.0,0.09,7.0,2.0,38.0
2011,42063.0,54.0,41952.0,258.0,51.0,0.0,185.0,14.0,8.0,,0.0,41670.0,14.0,3.0,1.0,0.0,4.0,5.0,1.0,1.0,5.0,2.0,0.3,4.0,84.0,2932.0,3.0,2.0,11.0,2.34234,3.88,904.0,35449.0,683.0,65.0,1182.0,78.0,176.0,,25.0,8.0,4.0,3.0,25.0,,24.0,8.0,16.0,0.3,5.0,0.09,9.0,2.0,41.0
2010,38703.0,47.0,38599.0,421.0,43.0,0.16,353.0,16.0,9.0,,0.0,38155.0,15.0,3.0,1.0,0.0,5.0,4.0,1.0,2.0,5.0,2.0,0.27,4.0,93.0,2475.0,3.0,2.0,15.0,2.93,4.04,386.0,33448.0,592.0,76.0,657.0,126.0,169.0,,27.0,12.0,6.0,2.0,25.0,,23.0,4.0,19.0,0.14,6.0,0.12,5.0,3.0,43.0
