年份,天然气消费总量,农、林、牧、渔业天然气消费总量,工业天然气消费总量,采矿业天然气消费总量,煤炭开采和洗选业天然气消费总量,石油和天然气开采业天然气消费总量,黑色金属矿采选业天然气消费总量,有色金属矿采选业天然气消费总量,非金属矿采选业天然气消费总量,开采专业及辅助性活动天然气消费总量,其他采矿业天然气消费总量,制造业天然气消费总量,农副食品加工业天然气消费总量,食品制造业天然气消费总量,酒、饮料和精制茶制造业天然气消费总量,烟草制品业天然气消费总量,纺织业天然气消费总量,纺织服装、服饰业天然气消费总量,皮革、毛皮、羽毛及其制品和制鞋业天然气消费总量,木材加工及木、竹、藤、棕、草制品业天然气消费总量,家具制造业天然气消费总量,造纸及纸制品业天然气消费总量,印刷和记录媒介复制业天然气消费总量,文教、工美、体育和娱乐用品制造业天然气消费总量,石油、煤炭及其他燃料加工业天然气消费总量,化学原料及化学制品制造业天然气消费总量,医药制造业天然气消费总量,化学纤维制造业天然气消费总量,橡胶和塑料制品业天然气消费总量,橡胶制品业天然气消费总量,塑料制品业天然气消费总量,非金属矿物制品业天然气消费总量,黑色金属冶炼及压延加工业天然气消费总量,有色金属冶炼及压延加工业天然气消费总量,金属制品业天然气消费总量,通用设备制造业天然气消费总量,专用设备制造业天然气消费总量,汽车制造业天然气消费总量,铁路、船舶、航空航天和其他运输设备制造业天然气消费总量,电气机械及器材制造业天然气消费总量,计算机、通信和其他电子设备制造业天然气消费总量,仪器仪表制造业天然气消费总量,其他制造业天然气消费总量,废弃资源综合利用业天然气消费总量,金属制品、机械和设备修理业天然气消费总量,电力、热力、燃气及水生产和供应业天然气消费总量,电力、热力的生产和供应业天然气消费总量,燃气生产和供应业天然气消费总量,水的生产和供应业天然气消费总量,建筑业天然气消费总量,交通运输、仓储和邮政业天然气消费总量,批发和零售业、住宿和餐饮业天然气消费总量,其他天然气消费总量,居民生活天然气消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2817.09,1.3,1940.07,183.73,20.86,157.01,0.01,0.5,1.03,4.32,,1259.16,21.33,19.66,15.06,1.08,37.48,6.05,1.83,3.08,1.58,25.79,4.46,10.39,188.17,324.93,11.47,10.94,17.12,,,137.65,110.44,55.87,50.2,19.35,14.97,24.01,92.05,12.42,26.01,0.95,3.7,10.46,0.68,497.19,487.32,8.87,0.99,2.49,286.19,60.79,57.87,468.38
2017,2393.69,1.14,1575.25,164.77,20.15,141.42,,0.17,0.39,2.64,,959.04,16.97,17.53,10.87,1.06,30.76,6.26,1.45,2.26,1.73,19.55,3.42,7.18,191.46,266.18,9.44,6.92,11.84,,,105.3,59.39,50.75,31.58,15.37,11.2,22.16,22.81,10.19,14.74,1.09,5.18,3.29,1.11,451.44,446.1,4.93,0.41,1.8,284.71,57.56,52.95,420.3
2016,2078.06,1.09,1338.59,153.56,17.2,132.63,0.01,0.08,0.18,3.46,,773.4,9.89,14.13,8.49,1.03,18.77,3.47,0.77,1.18,1.32,10.68,2.6,4.22,143.37,243.49,8.2,5.01,8.83,,,84.08,52.48,42.87,24.66,13.98,8.93,16.96,16.44,8.1,12.04,0.93,3.85,2.02,0.63,411.64,407.83,3.46,0.34,1.95,254.77,53.75,48.17,379.75
2015,1931.75,0.95,1234.48,163.15,14.42,143.06,0.01,1.05,0.12,4.49,,718.63,5.72,9.87,6.19,1.74,6.24,1.75,0.23,0.7,1.52,9.32,2.33,2.86,137.99,259.18,7.25,3.07,7.66,,,84.03,44.05,42.52,16.25,10.93,7.57,19.26,12.54,4.9,7.88,0.78,2.63,0.99,0.68,352.7,343.66,8.79,0.26,2.16,237.62,51.29,45.44,359.81
2014,1870.63,0.79,1223.03,166.78,12.68,147.26,0.02,0.64,0.07,6.12,,782.61,2.99,8.36,5.43,1.81,4.55,1.82,0.21,0.5,1.08,5.96,2.13,2.92,142.78,320.27,6.75,3.1,6.12,,,92.9,43.56,42.65,14.32,9.44,10.13,22.28,12.35,6.3,7.99,0.68,1.98,0.65,0.6,273.63,262.6,10.76,0.27,1.88,214.42,46.62,41.31,342.58
2013,1705.37,0.69,1129.06,156.09,9.5,138.23,0.02,0.01,0.08,8.25,,715.74,2.19,7.32,4.25,1.76,2.87,1.44,0.22,0.39,0.77,5.66,1.59,2.2,137.14,305.42,6.04,2.62,5.08,,,80.3,38.2,34.32,11.86,9.22,8.49,18.46,10.91,7.56,6.96,0.65,0.91,0.38,0.56,257.24,244.47,12.57,0.2,1.98,175.78,39.31,35.61,322.93
2012,1497.0,0.64,980.75,148.5,11.48,127.94,0.03,,0.54,8.51,,597.72,1.62,6.1,3.43,1.74,2.15,0.87,0.17,0.35,0.68,4.14,0.98,1.65,98.89,275.34,5.01,2.2,3.82,,,68.72,33.12,26.05,7.32,7.26,6.55,14.01,10.73,5.97,6.88,0.54,0.67,0.2,0.57,234.52,225.02,9.32,0.18,1.26,154.51,38.69,32.88,288.27
2011,1341.07,0.56,875.72,136.67,5.93,130.04,0.05,0.1,0.55,,,509.64,1.13,4.21,2.41,0.81,1.96,0.47,0.09,0.44,0.55,2.27,0.84,0.25,68.33,257.41,3.7,0.51,3.28,1.35,1.92,63.76,28.56,13.94,4.87,10.97,7.24,18.55,,5.42,6.44,0.51,0.63,0.1,,229.41,215.58,13.64,0.18,1.28,138.35,33.64,27.14,264.38
2010,1080.24,0.5,691.75,128.87,4.53,123.55,0.03,0.09,0.66,,0.01,373.39,0.88,2.76,1.7,0.62,1.66,0.32,0.04,0.3,0.36,1.49,0.77,0.43,44.0,191.9,2.92,0.44,2.6,0.99,1.61,45.49,21.43,9.06,3.63,8.89,6.95,12.97,,4.63,6.27,0.54,0.34,0.01,,189.48,180.81,8.49,0.19,1.16,106.7,27.24,26.0,226.9
