年份,钢材进口量,铜及铜合金进口量,铝及铝合金进口量,肥料进口量,纸浆进口量,纺织用合成纤维进口量,水泥出口量,平板玻璃出口量,钢材出口量,铜材出口量,铝材出口量,锌及锌合金出口量,纸及纸板出口量
2019,1230.4075264,447.6223808,29.1224142,1110.725361,2718.0369127,42.3387982,552.5841609,,6429.3712178,524233.33,5148423.726,64039.528,628.7446534
2018,1317.0,475.0,19.9306,950.0,2479.0,45.0,904.0,19347.0,6933.0,509868.0,5230000.0,24283.0,565.0
2017,1330.0,411.0,18.6181,918.0,2372.0,40.0,1286.0,21032.0,7541.0,477989.0,4240000.0,16445.0,652.0
2016,1322.0,439.0,26.0,832.0,2107.0,32.0,1785.0,22661.0,10853.0,452313.0,4070000.0,22642.0,683.0
2015,1278.2444391,425.0,22.0,1116.4875669,1983.9942285,33.9549329,1575.2867191,21459.9756,11239.5643132,466076.628,4195160.278,96683.0,593.4441762
2014,1443.2494359,422.0,35.0,958.7486897,1796.4210798,34.0257014,1390.7776151,21896.1924,9377.7561694,507857.533,3668647.7,132719.0,630.2003406
2013,1408.0,389.0,48.1,793.0,1685.0,38.0,1454.0,19506.0,6233.0,488978.0,3070000.0,5395.0,565.0
2012,1366.0,398.0,64.0,843.0,1646.0,33.0,1200.0,17632.0,5573.0,492980.0,2830000.0,7937.0,471.0
2011,1558.0,329.0,33.0,795.0,1445.0,35.0,1061.0,18726.0,4888.0,500347.0,3000000.0,48369.0,450.0
2010,1643.0,338.0,36.0,718.0,1137.0,37.0,1616.0,17398.0,4256.0,508580.0,2180000.0,43395.0,380.0
2009,1763.0,347.0,174.0,411.0,1368.0,35.0,1561.0,16643.0,2460.0,455136.0,1390000.0,29287.0,362.0
2008,1543.0,170.0,26.0,622.0,952.0,32.0,2604.0,27762.0,5923.0,517522.0,1900000.0,71320.0,361.0
2007,1687.0,173.0,28.0,1169.0,847.0,51.0,3301.0,30917.0,6265.0,499678.0,1853413.0,276714.0,422.0
2006,1851.0,96.9349,51.195,1129.0,796.0,62.0,3613.0,26433.0,4301.0,559122.0,1240157.0,341465.0,305.0
2005,2582.0,141.5057,63.6951,1397.0,759.0,84.0,2216.0,19925.0,2052.0,463560.0,711484.0,146845.0,167.0
2004,2930.0,138.1112,103.3422,1240.0,732.0,99.0,704.0,14464.0,1423.0,390023.0,430988.0,263149.0,101.0
2003,3717.0,156.2151,88.0735,1213.0,603.0,106.0,533.0,12427.0,696.0,232879.0,273874.0,484231.0,114.0
2002,2449.0,133.0146,58.1757,1682.0,526.0,104.0,518.0,11359.0,545.0,171710.0,188744.0,495987.0,74.0
2001,1722.0,95.4167,52.9419,1092.0,490.0,92.0,621.0,6123.0,474.0,123790.0,135630.0,562021.0,68.0
2000,1596.0,81.2126,91.4099,1189.0,335.0,100.0,605.0,5592.0,621.0,144484.0,130052.0,593336.0,65.0
