年份,石油可供量,石油生产量,进口石油量,出口石油量(-),年初年末石油库存差额,石油能源消费总量,农、林、牧、渔业石油消费总量,工业石油消费总量,建筑业石油消费总量,交通运输、仓储和邮政业石油消费总量,批发和零售业、住宿和餐饮业石油消费总量,其他石油消费总量,居民生活石油消费总量,石油终端消费量,工业终端石油消费量,中间消费(用于加工转换),火力发电中间消费石油,供热中间消费石油,制气中间消费石油,炼油损失量,石油损失量,石油平衡差额
2019,,,,,,,,,,,,,,,,,,,,,,
2018,63726.5626788,18932.4204,54094.269958,7557.4094992,-1742.71818,62245.1003843116,1724.93389270145,22460.2714490247,3935.66410399375,22738.5813810579,598.997571267788,3458.23337448996,7328.41822321961,58623.0240536296,18847.5553997635,3593.25633068202,309.3086,590.174,4.7333,2689.04043068202,28.82,1481.46229448839
2017,60810.8404959,19150.61,49141.2340393,7026.6607694,-454.342774000001,60395.9174200635,1786.36880935437,21486.7314291768,3803.50861529491,22075.8152134479,601.061890750039,3502.7004163372,7139.73152871411,56879.9880622767,17980.4719749,3468.89936505,280.553917,522.644802,4.7498,2660.95084605001,47.0299927368422,414.923075836476
2016,57710.636,19968.52,44502.89,6382.934,-377.840000000004,57692.8939974042,1730.32866408834,20382.52027,3599.10179712753,21146.0909132714,584.897163320263,3537.13730902304,6712.81782933303,54386.9639974042,17100.15,3264.32,284.56,517.75,4.79,2457.22,41.61,17.7420025957699
2015,55688.0,21455.58,39748.62,5128.15,-388.050000000003,55960.1738115499,1733.40686924686,19718.045554,3384.32604630871,20663.1120521959,615.696841554826,3683.33706698784,6162.24915618628,52945.6781255499,16739.74,2926.935686,265.54,493.21,,2168.185686,87.56,-272.173811549928
2014,52061.79,21142.92,36179.64,4213.92,-1046.84999999999,51859.3607091222,1717.6670702111,18357.4699152259,3205.2769106865,19558.4807734488,563.218192321628,3152.02918342415,5305.21852150964,49309.0307091222,15854.48,2440.0,254.09,521.3,,1664.61,110.33,202.429290877828
2013,49993.9,20991.85,34264.81,4176.66,-1086.1,49970.6333830849,1650.26871431683,17594.6358219949,3090.62829285402,18967.5849980766,565.376595178232,3349.72080183528,4752.41527367967,47458.8233830849,15235.44,2295.69,265.08,448.22,,1582.39,216.12,23.2666169150698
2012,47864.676,20747.8,33088.81,3884.294,-2087.64,47797.2623450795,1537.90514079006,17753.2358219949,2740.72755460064,17863.6337847386,542.386247442508,3067.78685801732,4291.57491014145,45080.6523450795,15160.37,2534.57,292.39,493.52,,1748.66000000001,182.04,67.4136549205282
2011,45659.222,20287.55,31593.6,4117.038,-2105.0,45378.5357551334,1466.26353396645,18005.0,2521.8,16021.0,499.977712028756,2880.47309006599,3983.93092109482,42727.3,15463.9,2469.5,319.76,525.67,,1624.1,181.74,280.686244866637
2010,44178.43,20301.4,29437.22,4079.0,-1481.19,44101.0262676291,1382.50267981206,18555.0111878774,2483.1098513902,15079.2536346331,481.00802659,2578.2347772976,3541.90557587077,41243.3762676291,15857.76,2663.25,385.33,593.12,,1684.8,194.4,77.4037323708764
2009,38462.8,18949.0,25642.4,3916.6,-2211.9,38384.5,1308.1,15692.9,1942.3,13548.5,429.7,2296.3,3166.8,35689.9,13153.7,2505.9,501.2,383.3,0.3,1621.1,188.7,78.3
2008,37318.79313,19043.96,23015.45,2945.65,-1795.0,37302.8543456742,1265.7800564,15603.0916318201,1517.48,13279.4399419946,366.42,2353.778288,2916.86941534888,34702.9010775142,13170.7933177654,2397.60286816,618.12024,413.78,2.028818,1363.67381016,202.3504,15.9387843257646
2007,36648.880931,18631.82,21139.35,2664.27,-458.019070000001,36658.743720314,1399.92144,14905.1308463212,1823.059362,12906.6540477537,426.912849,2215.9498,2981.113657154,33857.596120314,12269.24936216,2601.19720000001,884.0128,430.1,4.9628,1282.1216,199.9504,-9.86278931401466
2006,34930.029341,18476.57,19452.96,2626.19,-373.312959999999,34876.2062121,1540.2023111,14804.2834014943,1648.50564,11849.1703339392,392.210426,2077.61395,2564.230063,31614.1488541,11707.478889,3062.106958,1343.677198,427.76371,13.39,1277.27605,199.9504,53.8231289000032
2005,32539.125251,18135.29,17163.15,2888.08,128.760851,32547.0226697,1451.6948057,14030.4048599576,1502.1886,10928.4961810491,375.639226,1974.1836,2284.433456,29495.6184897,11107.528602,2895.98418,1306.42418,429.05,14.39,1146.12,155.42,-7.89741869999853
2004,32116.20572,17587.32,17291.32,2240.58,-521.854280999999,31700.540817,1231.427324,14968.767547,1392.31,9549.58715259267,348.715561,2001.6778,2208.047453,28062.650817,11455.597547,3488.18,1864.07,418.47,10.51,1195.13,149.71,415.664903000004
2003,27540.510001,16959.98,13189.61,2540.84,-68.2400000000007,27125.77,1057.53,13196.4624662237,1190.56,7916.74279385711,272.33,1756.39,1735.75,24062.51,10268.71,2901.36,1491.57,417.97,20.93,970.889999999999,161.9,414.740000999995
2002,24925.09,16700.0,10269.34,2139.19,94.9400000000001,24789.158,922.378,12309.41,1046.6,7041.681036956,273.02,1698.6,1497.47,21992.158,9674.28,2606.76,1275.57,420.7,18.91,891.579999999998,190.24,135.931999999997
2001,23204.67,16395.87,9118.15,2046.68,-262.67,22888.428,838.608,11227.16,933.83,6587.89868314815,252.41,1673.71,1374.81,20407.098,8898.39,2291.99,1213.55,438.66,22.76,617.019999999999,189.34,316.242000000006
2000,22631.37,16300.0,9748.49,2172.14,-1244.98,22495.925,788.505,11248.52,840.57,6398.99364243806,247.03,1635.86,1336.45,19950.115,8859.99,2352.92,1178.15,426.97,25.88,721.920000000001,192.89,135.445000000007
