年份,柴油消费总量,农、林、牧、渔业柴油消费总量,工业柴油消费总量,采矿业柴油消费总量,煤炭开采和洗选业柴油消费总量,石油和天然气开采业柴油消费总量,黑色金属矿采选业柴油消费总量,有色金属矿采选业柴油消费总量,非金属矿采选业柴油消费总量,开采专业及辅助性活动柴油消费总量,其他采矿业柴油消费总量,制造业柴油消费总量,农副食品加工业柴油消费总量,食品制造业柴油消费总量,酒、饮料和精制茶制造业柴油消费总量,烟草制品业柴油消费总量,纺织业柴油消费总量,纺织服装、服饰业柴油消费总量,皮革、毛皮、羽毛及其制品和制鞋业柴油消费总量,木材加工及木、竹、藤、棕、草制品业柴油消费总量,家具制造业柴油消费总量,造纸及纸制品业柴油消费总量,印刷和记录媒介复制业柴油消费总量,文教、工美、体育和娱乐用品制造业柴油消费总量,石油、煤炭及其他燃料加工业柴油消费总量,化学原料及化学制品制造业柴油消费总量,医药制造业柴油消费总量,化学纤维制造业柴油消费总量,橡胶和塑料制品业柴油消费总量,橡胶制品业柴油消费总量,塑料制品业柴油消费总量,非金属矿物制品业柴油消费总量,黑色金属冶炼及压延加工业柴油消费总量,有色金属冶炼及压延加工业柴油消费总量,金属制品业柴油消费总量,通用设备制造业柴油消费总量,专用设备制造业柴油消费总量,汽车制造业柴油消费总量,铁路、船舶、航空航天和其他运输设备制造业柴油消费总量,电气机械及器材制造业柴油消费总量,计算机、通信和其他电子设备制造业柴油消费总量,仪器仪表制造业柴油消费总量,其他制造业柴油消费总量,废弃资源综合利用业柴油消费总量,金属制品、机械和设备修理业柴油消费总量,电力、热力、燃气及水生产和供应业柴油消费总量,电力、热力的生产和供应业柴油消费总量,燃气生产和供应业柴油消费总量,水的生产和供应业柴油消费总量,建筑业柴油消费总量,交通运输、仓储和邮政业柴油消费总量,批发和零售业、住宿和餐饮业柴油消费总量,其他柴油消费总量,居民生活柴油消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,16409.56,1468.24,1259.47,467.38,163.16,40.86,50.15,24.33,52.28,136.51,0.08,739.75,25.59,9.52,6.13,1.66,7.28,5.45,2.2,5.74,3.83,15.29,4.38,4.42,61.13,40.52,9.94,2.04,16.53,,,283.27,51.19,36.71,23.64,25.07,16.76,30.01,16.98,13.45,8.47,1.48,1.28,5.08,4.73,52.34,48.68,1.58,2.08,543.37,11166.92,211.77,1107.45,652.34
2017,16916.54,1546.82,1459.94,438.84,155.83,41.34,56.43,27.65,56.29,100.87,0.42,958.35,36.35,13.31,8.24,1.32,21.29,9.83,4.04,8.73,4.96,15.89,5.82,6.55,148.78,88.84,9.64,2.16,21.18,,,280.25,60.26,38.93,22.26,29.58,21.77,37.8,16.04,17.07,11.12,2.67,1.56,4.63,7.47,62.75,58.91,1.57,2.27,596.06,11173.69,233.77,1233.3,672.96
2016,16839.04,1495.86,1412.91,436.21,153.04,49.32,62.74,32.22,64.93,73.82,0.13,917.52,42.0,14.5,10.34,1.31,12.92,12.0,4.47,10.23,5.89,17.32,5.99,7.88,36.6,118.15,9.81,2.33,22.47,,,287.61,60.4,39.62,25.28,30.98,39.93,37.0,16.71,20.67,12.28,3.3,1.54,4.33,3.69,59.17,55.0,2.03,2.14,561.26,11068.49,231.97,1307.24,761.31
2015,17360.31,1492.88,1516.37,490.51,165.03,47.5,82.87,30.6,70.8,93.6,0.13,960.45,47.78,15.99,11.22,1.78,14.76,13.82,5.37,11.86,7.26,17.79,6.58,7.86,18.31,113.3,10.51,2.03,25.03,,,293.05,68.11,44.94,29.93,36.17,47.01,37.97,19.81,24.63,13.25,4.36,1.63,4.2,4.17,65.4,60.74,2.54,2.13,555.71,11162.8,257.74,1384.15,990.66
2014,17165.29,1491.98,1595.28,574.02,196.37,53.91,105.69,31.73,68.27,117.65,0.42,952.61,49.36,16.82,11.25,2.26,15.75,14.53,5.77,12.19,7.31,19.23,6.94,8.59,19.14,69.91,10.38,1.68,25.74,,,294.03,75.21,47.66,31.15,38.5,53.04,41.0,20.59,25.82,14.09,4.27,2.14,4.29,3.98,68.65,65.16,1.91,1.58,551.95,11042.8,230.12,1268.75,984.4
2013,17150.65,1441.53,1675.88,597.21,211.58,61.01,109.96,35.09,71.67,107.61,0.29,1001.4,51.17,20.65,12.1,3.18,17.67,17.51,7.25,13.84,7.61,19.9,6.45,9.29,20.32,73.11,11.39,1.74,28.08,,,282.38,80.93,50.63,36.92,42.27,56.96,39.05,28.92,28.88,16.7,4.91,3.35,5.14,3.1,77.27,73.54,1.97,1.76,556.97,10920.53,233.51,1339.76,982.47
2012,16966.04,1335.49,1747.7,631.77,215.21,63.41,112.98,35.36,65.78,139.01,0.02,1037.7,50.83,22.62,13.9,3.36,20.2,20.85,8.69,14.32,7.68,20.71,6.18,9.38,20.87,97.63,13.63,2.41,29.28,,,260.67,89.92,55.94,38.83,44.09,34.53,45.01,37.66,32.41,19.71,5.09,3.77,3.58,3.95,78.23,74.17,2.33,1.73,518.01,10727.03,229.0,1444.72,964.09
2011,15635.1,1271.9,1824.25,614.87,212.42,192.24,113.38,36.06,60.55,,0.22,1120.39,49.52,26.0,15.26,4.13,34.66,26.02,8.53,14.43,9.2,22.37,7.41,6.59,25.44,79.89,13.82,7.92,38.06,7.1,30.96,248.73,84.14,60.76,44.98,63.44,38.07,99.63,,40.44,29.98,6.65,10.07,4.25,,88.99,84.89,2.11,1.99,518.63,9485.2,212.31,1428.07,894.74
2010,14699.0,1206.73,2089.99,500.35,141.23,185.98,62.36,20.82,89.42,,0.54,1499.34,56.78,30.47,15.91,4.5,44.63,34.34,13.7,18.06,14.53,28.43,13.57,16.39,24.53,162.69,17.15,7.95,66.87,10.26,56.61,289.95,99.88,63.98,66.29,74.65,47.63,110.55,,71.92,71.22,14.22,14.35,4.2,,90.3,83.08,2.61,4.61,490.2,8657.56,196.6,1287.19,770.73
