年份,总效率,发电及电站供热总效率,炼焦总效率,炼油总效率
2019,,,,
2018,72.3,45.5,92.4,95.6
2017,73.0,45.0,92.8,96.0
2016,73.5,44.6,92.8,96.4
2015,73.4,44.2,92.1,96.9
2014,73.1,43.5,93.7,97.5
2013,73.0,43.1,95.6,97.7
2012,72.7,42.8,95.7,97.1
2011,72.2,42.1,96.3,97.4
2010,72.5,42.0,96.4,97.0
2009,72.4,41.2,98.0,96.7
2008,71.5,40.5,98.5,96.2
2007,71.2,39.8,97.5,97.2
2006,70.9,39.1,97.0,96.9
2005,71.1,39.0,97.1,96.9
2004,70.6,38.6,97.1,96.5
2003,69.4,38.5,96.1,96.4
2002,69.0,38.7,96.6,96.7
2001,69.7,38.2,96.5,97.6
2000,69.4,37.8,96.2,97.3
